id,entity_name,entity_type,region
1,"Administração Central do Sistema de Saúde, I.P",ACSS,Nacional
2,"Administração Central do Sistema de Saúde, I.P.",ACSS,Nacional
3,"Administração Regional De Saúde Do Alentejo, I.P.",ARS,Alentejo
4,Administração Regional de Saúde do Alentejo,ARS,Alentejo
5,"Administração Regional de Saúde do Alentejo, I.P.",ARS,Alentejo
6,"Administração Regional De Saúde Do Algarve, I.P.",ARS,Algarve
7,Administração Regional de Saúde do Algarve,ARS,Algarve
8,"Administração Regional de Saúde do Algarve, I.P.",ARS,Algarve
9,"Administração Regional De Saúde Do Centro, I.P.",ARS,Centro
10,Administração Regional de Saúde do Centro,ARS,Centro
11,"Administração Regional de Saúde do Centro, I.P.",ARS,Centro
12,"Administração Regional Saúde Lisboa Vale Tejo, I.P.",ARS,LVT
13,Administração Regional de Saúde de Lisboa e Vale do Tejo,ARS,LVT
14,"Administração Regional de Saúde de Lisboa e Vale do Tejo, I.P.",ARS,LVT
15,"Administracao Regional Saúde Norte, I.P.",ARS,Norte
16,"Administração Regional Saúde Norte, I.P.",ARS,Norte
17,Administração Regional de Saúde do Norte,ARS,Norte
18,"Administração Regional de Saúde do Norte, I.P.",ARS,Norte
19,"Centro Hospitalar Alto Ave, E. P. E.",Centro Hospitalar,Centro
20,"Centro Hospitalar Barreiro Montijo, E.P.E.",Centro Hospitalar,Centro
21,"Centro Hospitalar Barreiro/Montijo, E.P.E.",Centro Hospitalar,Centro
22,"Centro Hospitalar Barreiro/Montijo, EPE",Centro Hospitalar,Centro
23,"Centro Hospitalar Cova da Beira, EPE",Centro Hospitalar,Centro
24,"Centro Hospitalar Entre Douro e Vouga, E.P.E.",Centro Hospitalar,Centro
25,"Centro Hospitalar Entre Douro e Vouga, EPE",Centro Hospitalar,Centro
26,"Centro Hospitalar Médio Ave, E. P. E.",Centro Hospitalar,Centro
27,"Centro Hospitalar Médio Ave, EPE",Centro Hospitalar,Centro
28,"Centro Hospitalar Médio Tejo, E. P. E.",Centro Hospitalar,Centro
29,"Centro Hospitalar Médio Tejo, E.P.E.",Centro Hospitalar,Centro
30,"Centro Hospitalar Médio Tejo, EPE",Centro Hospitalar,Centro
31,Centro Hospitalar Psiquiátrico de Lisboa,Centro Hospitalar,Centro
32,"Centro Hospitalar Psiquiátrico de Lisboa, SPA",Centro Hospitalar,Centro
33,"Centro Hospitalar Póvoa Varzim / Vila do Conde, E. P. E.",Centro Hospitalar,Centro
34,"Centro Hospitalar Póvoa Varzim / Vila do Conde, EPE",Centro Hospitalar,Centro
35,"Centro Hospitalar Póvoa de Varzim/Vila do Conde, E.P.E.",Centro Hospitalar,Centro
36,"Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE",Centro Hospitalar,Centro
37,"Centro Hospitalar Tondela-Viseu, E. P. E.",Centro Hospitalar,Centro
38,"Centro Hospitalar Tondela-Viseu, E.P.E.",Centro Hospitalar,Centro
39,"Centro Hospitalar Tondela-Viseu, EPE",Centro Hospitalar,Centro
40,"Centro Hospitalar Trás-os-Montes e Alto Douro, E. P. E.",Centro Hospitalar,Centro
41,"Centro Hospitalar Trás-os-Montes e Alto Douro, E.P.E.",Centro Hospitalar,Centro
42,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE",Centro Hospitalar,Centro
43,"Centro Hospitalar Tâmega e Sousa, E.P.E.",Centro Hospitalar,Centro
44,"Centro Hospitalar Tâmega e Sousa, EPE",Centro Hospitalar,Centro
45,"Centro Hospitalar Universitário Cova da Beira, E. P. E.",Centro Hospitalar,Centro
46,"Centro Hospitalar Universitário Cova da Beira, E.P.E.",Centro Hospitalar,Centro
47,"Centro Hospitalar Universitário Cova da Beira, EPE",Centro Hospitalar,Centro
48,"Centro Hospitalar Universitário Lisboa Central, E.P.E.",Centro Hospitalar,Centro
49,"Centro Hospitalar Universitário Lisboa Central, EPE",Centro Hospitalar,Centro
50,"Centro Hospitalar Universitário de Lisboa Central, E. P. E.",Centro Hospitalar,Centro
51,"Centro Hospitalar Universitário de Lisboa Central, E.P.E.",Centro Hospitalar,Centro
52,"Centro Hospitalar Universitário de Lisboa Central, EPE",Centro Hospitalar,Centro
53,"Centro Hospitalar Universitário de S. João, E.P.E.",Centro Hospitalar,Centro
54,"Centro Hospitalar Universitário de Santo António, E. P. E.",Centro Hospitalar,Centro
55,"Centro Hospitalar Universitário de Santo António, E.P.E.",Centro Hospitalar,Centro
56,"Centro Hospitalar Universitário de Santo António, EPE",Centro Hospitalar,Centro
57,"Centro Hospitalar Universitário de São João, E. P. E.",Centro Hospitalar,Centro
58,"Centro Hospitalar Universitário de São João, E.P.E.",Centro Hospitalar,Centro
59,"Centro Hospitalar Universitário de São João, EPE",Centro Hospitalar,Centro
60,Centro Hospitalar Universitário do Algarve,Centro Hospitalar,Centro
61,"Centro Hospitalar Universitário do Algarve, E.P.E",Centro Hospitalar,Centro
62,"Centro Hospitalar Universitário do Algarve, E.P.E.",Centro Hospitalar,Centro
63,"Centro Hospitalar Universitário do Algarve,EPE",Centro Hospitalar,Centro
64,"Centro Hospitalar Universitário do Porto, E. P. E.",Centro Hospitalar,Centro
65,"Centro Hospitalar Universitário do Porto, E.P.E.",Centro Hospitalar,Centro
66,"Centro Hospitalar Universitário do Porto, EPE",Centro Hospitalar,Centro
67,"Centro Hospitalar Vila Nova Gaia/Espinho, E. P. E.",Centro Hospitalar,Centro
68,"Centro Hospitalar Vila Nova Gaia/Espinho, EPE",Centro Hospitalar,Centro
69,"Centro Hospitalar Vila Nova de Gaia/Espinho, E.P.E.",Centro Hospitalar,Centro
70,"Centro Hospitalar Vila Nova de Gaia/Espinho, EPE",Centro Hospitalar,Centro
71,"Centro Hospitalar de Entre o Douro e Vouga, E. P. E.",Centro Hospitalar,Centro
72,"Centro Hospitalar de Entre o Douro e Vouga, E.P.E.",Centro Hospitalar,Centro
73,"Centro Hospitalar de Entre o Douro e Vouga, EPE",Centro Hospitalar,Centro
74,"Centro Hospitalar de Leiria, E. P. E.",Centro Hospitalar,Centro
75,"Centro Hospitalar de Leiria, E.P.E.",Centro Hospitalar,Centro
76,"Centro Hospitalar de Leiria, EPE",Centro Hospitalar,Centro
77,"Centro Hospitalar de Lisboa - Zona Ocidental, E. P. E.",Centro Hospitalar,Centro
78,"Centro Hospitalar de Lisboa - Zona Ocidental, EPE",Centro Hospitalar,Centro
79,"Centro Hospitalar de Lisboa Central, EPE",Centro Hospitalar,Centro
80,"Centro Hospitalar de Lisboa Ocidental, E.P.E.",Centro Hospitalar,Centro
81,"Centro Hospitalar de Lisboa Ocidental, EPE",Centro Hospitalar,Centro
82,"Centro Hospitalar de Setúbal, E. P. E.",Centro Hospitalar,Centro
83,"Centro Hospitalar de Setúbal, E.P.E.",Centro Hospitalar,Centro
84,"Centro Hospitalar de Setúbal, EPE",Centro Hospitalar,Centro
85,"Centro Hospitalar de São João, EPE",Centro Hospitalar,Centro
86,"Centro Hospitalar de Trás-os-Montes e Alto Douro, E.P.E.",Centro Hospitalar,Centro
87,"Centro Hospitalar de Vila Nova de Gaia/Espinho, E.P.E.",Centro Hospitalar,Centro
88,"Centro Hospitalar do Alto Ave, EPE",Centro Hospitalar,Centro
89,"Centro Hospitalar do Baixo Vouga, E. P. E.",Centro Hospitalar,Centro
90,"Centro Hospitalar do Baixo Vouga, E.P.E.",Centro Hospitalar,Centro
91,"Centro Hospitalar do Baixo Vouga, EPE",Centro Hospitalar,Centro
92,"Centro Hospitalar do Barreiro - Montijo, E. P. E.",Centro Hospitalar,Centro
93,"Centro Hospitalar do Barreiro - Montijo, EPE",Centro Hospitalar,Centro
94,"Centro Hospitalar do Médio Ave, E.P.E.",Centro Hospitalar,Centro
95,"Centro Hospitalar do Médio Ave, EPE",Centro Hospitalar,Centro
96,"Centro Hospitalar do Médio Tejo, E.P.E.",Centro Hospitalar,Centro
97,Centro Hospitalar do Oeste,Centro Hospitalar,Centro
98,"Centro Hospitalar do Oeste, E. P. E.",Centro Hospitalar,Centro
99,"Centro Hospitalar do Oeste, E.P.E.",Centro Hospitalar,Centro
100,"Centro Hospitalar do Oeste, EPE",Centro Hospitalar,Centro
101,"Centro Hospitalar do Oeste, SPA",Centro Hospitalar,Centro
