id,entity_name
1,"Administracao Regional Saúde Norte, I.P."
2,"Administração Central do Sistema de Saúde, I.P"
3,"Administração Central do Sistema de Saúde, I.P."
4,"Administração Regional De Saúde Do Alentejo, I.P."
5,"Administração Regional De Saúde Do Algarve, I.P."
6,"Administração Regional De Saúde Do Centro, I.P."
7,"Administração Regional Saúde Lisboa Vale Tejo, I.P."
8,"Administração Regional Saúde Norte, I.P."
9,Administração Regional de Saúde de Lisboa e Vale do Tejo
10,"Administração Regional de Saúde de Lisboa e Vale do Tejo, I.P."
11,Administração Regional de Saúde do Alentejo
12,"Administração Regional de Saúde do Alentejo, I.P."
13,Administração Regional de Saúde do Algarve
14,"Administração Regional de Saúde do Algarve, I.P."
15,Administração Regional de Saúde do Centro
16,"Administração Regional de Saúde do Centro, I.P."
17,Administração Regional de Saúde do Norte
18,"Administração Regional de Saúde do Norte, I.P."
19,"Autoridade Nac. Medicamento Produtos De Saúde, I.P."
20,"Autoridade Nacional Medicamento Produtos de Saúde, I.P."
21,Ação Governativa
22,Ação Governativa - MS
23,"CENTRO HOSP. UNIVERSITÁRIO SANTO ANTÓNIO, E.P.E."
24,"Centro Hospitalar Alto Ave, E. P. E."
25,"Centro Hospitalar Barreiro Montijo, E.P.E."
26,"Centro Hospitalar Barreiro/Montijo, E.P.E."
27,"Centro Hospitalar Barreiro/Montijo, EPE"
28,"Centro Hospitalar Cova da Beira, EPE"
29,"Centro Hospitalar Entre Douro e Vouga, E.P.E."
30,"Centro Hospitalar Entre Douro e Vouga, EPE"
31,"Centro Hospitalar Lisboa Norte, EPE"
32,"Centro Hospitalar Médio Ave, E. P. E."
33,"Centro Hospitalar Médio Ave, EPE"
34,"Centro Hospitalar Médio Tejo, E. P. E."
35,"Centro Hospitalar Médio Tejo, E.P.E."
36,"Centro Hospitalar Médio Tejo, EPE"
37,Centro Hospitalar Psiquiátrico de Lisboa
38,"Centro Hospitalar Psiquiátrico de Lisboa, SPA"
39,"Centro Hospitalar Póvoa Varzim / Vila do Conde, E. P. E."
40,"Centro Hospitalar Póvoa Varzim / Vila do Conde, EPE"
41,"Centro Hospitalar Póvoa de Varzim/Vila do Conde, E.P.E."
42,"Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE"
43,"Centro Hospitalar Tondela-Viseu, E. P. E."
44,"Centro Hospitalar Tondela-Viseu, E.P.E."
45,"Centro Hospitalar Tondela-Viseu, EPE"
46,"Centro Hospitalar Trás-os-Montes e Alto Douro, E. P. E."
47,"Centro Hospitalar Trás-os-Montes e Alto Douro, E.P.E."
48,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE"
49,"Centro Hospitalar Tâmega e Sousa, E.P.E."
50,"Centro Hospitalar Tâmega e Sousa, EPE"
51,"Centro Hospitalar Universitário Cova da Beira, E. P. E."
52,"Centro Hospitalar Universitário Cova da Beira, E.P.E."
53,"Centro Hospitalar Universitário Cova da Beira, EPE"
54,"Centro Hospitalar Universitário Lisboa Central, E.P.E."
55,"Centro Hospitalar Universitário Lisboa Central, EPE"
56,"Centro Hospitalar Universitário Lisboa Norte, E. P. E."
57,"Centro Hospitalar Universitário Lisboa Norte, EPE"
58,"Centro Hospitalar Universitário de Lisboa Central, E. P. E."
59,"Centro Hospitalar Universitário de Lisboa Central, E.P.E."
60,"Centro Hospitalar Universitário de Lisboa Central, EPE"
61,"Centro Hospitalar Universitário de Lisboa Norte, E.P.E."
62,"Centro Hospitalar Universitário de Lisboa Norte, EPE"
63,"Centro Hospitalar Universitário de S. João, E.P.E."
64,"Centro Hospitalar Universitário de Santo António, E. P. E."
65,"Centro Hospitalar Universitário de Santo António, E.P.E."
66,"Centro Hospitalar Universitário de Santo António, EPE"
67,"Centro Hospitalar Universitário de São João, E. P. E."
68,"Centro Hospitalar Universitário de São João, E.P.E."
69,"Centro Hospitalar Universitário de São João, EPE"
