id,entidade
1,"Administracao Regional Saúde Norte, I.P."
2,"Administração Central do Sistema de Saúde, I.P"
3,"Administração Central do Sistema de Saúde, I.P."
4,"Administração Regional De Saúde Do Alentejo, I.P."
5,"Administração Regional De Saúde Do Algarve, I.P."
6,"Administração Regional De Saúde Do Centro, I.P."
7,"Administração Regional Saúde Lisboa Vale Tejo, I.P."
8,"Administração Regional Saúde Norte, I.P."
9,Administração Regional de Saúde de Lisboa e Vale do Tejo
10,Administração Regional de Saúde do Alentejo
11,"Administração Regional de Saúde do Alentejo, I.P."
12,Administração Regional de Saúde do Algarve
13,"Administração Regional de Saúde do Algarve, I.P."
14,Administração Regional de Saúde do Centro
15,Administração Regional de Saúde do Norte
16,"Autoridade Nac. Medicamento Produtos De Saúde, I.P."
17,"Autoridade Nacional Medicamento Produtos de Saúde, I.P."
18,Ação Governativa - MS
19,"CENTRO HOSP. UNIVERSITÁRIO SANTO ANTÓNIO, E.P.E."
20,"Centro Hospitalar Alto Ave, E. P. E."
21,"Centro Hospitalar Barreiro/Montijo, E.P.E."
22,"Centro Hospitalar Entre Douro e Vouga, E.P.E."
23,"Centro Hospitalar Médio Ave, E. P. E."
24,"Centro Hospitalar Médio Ave, EPE"
25,"Centro Hospitalar Médio Tejo, E. P. E."
26,"Centro Hospitalar Médio Tejo, E.P.E."
27,"Centro Hospitalar Médio Tejo, EPE"
28,Centro Hospitalar Psiquiátrico de Lisboa
29,"Centro Hospitalar Psiquiátrico de Lisboa, SPA"
30,"Centro Hospitalar Póvoa Varzim / Vila do Conde, E. P. E."
31,"Centro Hospitalar Póvoa Varzim / Vila do Conde, EPE"
32,"Centro Hospitalar Póvoa de Varzim/Vila do Conde, E.P.E."
33,"Centro Hospitalar Tondela-Viseu, E. P. E."
34,"Centro Hospitalar Tondela-Viseu, E.P.E."
35,"Centro Hospitalar Tondela-Viseu, EPE"
36,"Centro Hospitalar Trás-os-Montes e Alto Douro, E. P. E."
37,"Centro Hospitalar Trás-os-Montes e Alto Douro, E.P.E."
38,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE"
39,"Centro Hospitalar Tâmega e Sousa, E.P.E."
40,"Centro Hospitalar Universitário Cova da Beira, E. P. E."
41,"Centro Hospitalar Universitário Cova da Beira, E.P.E."
42,"Centro Hospitalar Universitário Cova da Beira, EPE"
43,"Centro Hospitalar Universitário Lisboa Central, E.P.E."
44,"Centro Hospitalar Universitário Lisboa Norte, E. P. E."
45,"Centro Hospitalar Universitário Lisboa Norte, EPE"
46,"Centro Hospitalar Universitário de Lisboa Central, E. P. E."
47,"Centro Hospitalar Universitário de Lisboa Central, EPE"
48,"Centro Hospitalar Universitário de Lisboa Norte, E.P.E."
49,"Centro Hospitalar Universitário de Santo António, E. P. E."
50,"Centro Hospitalar Universitário de Santo António, EPE"
51,"Centro Hospitalar Universitário de São João, E. P. E."
52,"Centro Hospitalar Universitário de São João, E.P.E."
53,"Centro Hospitalar Universitário de São João, EPE"
54,Centro Hospitalar Universitário do Algarve
55,"Centro Hospitalar Universitário do Algarve, E.P.E"
56,"Centro Hospitalar Universitário do Porto, E. P. E."
57,"Centro Hospitalar Universitário do Porto, E.P.E."
58,"Centro Hospitalar Universitário do Porto, EPE"
59,"Centro Hospitalar Vila Nova Gaia/Espinho, E. P. E."
60,"Centro Hospitalar Vila Nova Gaia/Espinho, EPE"
61,"Centro Hospitalar Vila Nova de Gaia/Espinho, E.P.E."
62,"Centro Hospitalar de Entre o Douro e Vouga, E. P. E."
63,"Centro Hospitalar de Entre o Douro e Vouga, EPE"
64,"Centro Hospitalar de Leiria, E. P. E."
65,"Centro Hospitalar de Leiria, E.P.E."
66,"Centro Hospitalar de Leiria, EPE"
67,"Centro Hospitalar de Lisboa - Zona Ocidental, E. P. E."
68,"Centro Hospitalar de Lisboa - Zona Ocidental, EPE"
