date,year,month,amount_millions_eur,recipients,purpose,source_type,source_url,notes
2009-12-31,2009,12,70,15 hospitals EPE,Capital injection,Press,https://www.publico.pt/2009/12/29/jornal/governo-injecta-70-milhoes-de-euros-em-15-hospitais-epe-18492434,Early EPE model intervention
2019-12-31,2019,12,800,SNS hospitals,Overdue debt payment (suppliers),Press,https://www.publico.pt/2019/12/11/sociedade/noticia/governo-assume-suborcamentacao-sns-anuncia-reforco-800-milhoes-1896977,550M available in 2019; govt acknowledged underbudgeting
2020-12-31,2020,12,560,SNS entities,Debt payment reinforcement,Press,https://www.jornaldenegocios.pt/economia/saude/detalhe/governo-vai-injetar-mais-de-1000-milhoes-de-euros-em-hospitais-do-sns-para-pagamentos-em-atraso,COVID-19 pandemic year baseline
2021-12-31,2021,12,1064,SNS entities,Debt payment (double 2020),Press,https://www.jornaldenegocios.pt/economia/saude/detalhe/governo-vai-injetar-mais-de-1000-milhoes-de-euros-em-hospitais-do-sns-para-pagamentos-em-atraso,Maximum in 2017-2021 period; 5-year total 3.3B
2022-01-31,2022,1,84,SNS hospitals,Financial reinforcement,Press,https://www.publico.pt/2022/01/03/sociedade/noticia/governo-reforca-financeiramente-hospitais-sns-84-milhoes-euros-1990567,Regular reinforcement
2022-12-31,2022,12,1022,SNS hospitals,Liquidate overdue payments >90d,Press,https://www.publico.pt/2022/12/24/sociedade/noticia/governo-injecta-mil-milhoes-hospitais-sns-pagamento-fornecedores-2032619,Reduced overdue to 18.9M (decade low); 2.3B owed at pandemic peak
2023-12-31,2023,12,1200,SNS entities,Reduce supplier payment volume,Multiple,Multiple sources,Year-end pattern continues
2024-11-30,2024,11,975.587,SNS entities (ULS + IPO),Settle overdue debts >90d,Press + Joint Ministerial Order,https://www.jornaldenegocios.pt/economia/saude/detalhe/governo-injeta-quase-mil-milhoes-no-sns-para-pagar-dividas-a-fornecedores,Published Dec 11 2024; Exact amount: 975.587.251€; Nov 2024 overdue: 554.5M; No hospital breakdown in DR
2025-07-31,2025,7,200,ULS + IPO,Debt payment,Press,https://www.publico.pt/2025/12/31/sociedade/noticia/governo-aprova-600-milhoes-euros-regularizar-dividas-uls-ipo-2159745,First 2025 transfer
2025-10-31,2025,10,500,ULS + IPO (42 entities),Pay overdue debts >90d,Press,https://observador.pt/2025/10/24/governo-transfere-500-milhoes-de-euros-para-pagar-dividas-a-fornecedores-no-setor-da-saude/,Top: São José 72.1M; Gaia/Espinho 32M; Santa Maria 31.3M
2025-11-30,2025,11,678,ULS + IPO,HR + goods/services budget,Government,https://www.portugal.gov.pt/pt/gc25/comunicacao/noticia?i=governo-reforca-ipo-e-uls-com-678-milhoes-de-euros-em-novembro,Budget increase not debt payment
2025-12-31,2025,12,600,ULS + IPO,Regularize overdue debts,Press,https://www.publico.pt/2025/12/31/sociedade/noticia/governo-aprova-600-milhoes-euros-regularizar-dividas-uls-ipo-2159745,Payment by seniority; monitored by ACSS + IGF
