entity,amount_eur,dr_number,date,purpose
Unidade Local de Saúde da Cova da Beira,8519341.20,Despacho 12497/2025,2025-10-24,Overdue supplier payments >90d
Unidade Local de Saúde do Médio Tejo,10475374.26,Despacho 12497/2025,2025-10-24,Overdue supplier payments >90d
Unidade Local de Saúde do Baixo Mondego,1149006.03,Despacho 12497/2025,2025-10-24,Overdue supplier payments >90d
Unidade Local de Saúde de Barcelos/Esposende,25796.21,Despacho 12497/2025,2025-10-24,Overdue supplier payments >90d
Unidade Local de Saúde da Lezíria,16907303.61,Despacho 12497/2025,2025-10-24,Overdue supplier payments >90d
Unidade Local de Saúde de Almada-Seixal,2850136.99,Despacho 12497/2025,2025-10-24,Overdue supplier payments >90d
Unidade Local de Saúde de Matosinhos,12785730.65,Despacho 12497/2025,2025-10-24,Overdue supplier payments >90d
Instituto Português de Oncologia de Coimbra,8307907.25,Despacho 12497/2025,2025-10-24,Overdue supplier payments >90d
Instituto Português de Oncologia de Lisboa,14768549.27,Despacho 12497/2025,2025-10-24,Overdue supplier payments >90d
Instituto Português de Oncologia do Porto,2988617.11,Despacho 12497/2025,2025-10-24,Overdue supplier payments >90d
Unidade Local de Saúde de Lisboa Ocidental,23616547.57,Despacho 12497/2025,2025-10-24,Overdue supplier payments >90d
Unidade Local de Saúde da Arrábida,19922588.88,Despacho 12497/2025,2025-10-24,Overdue supplier payments >90d
Unidade Local de Saúde do Alentejo Central,5314691.38,Despacho 12497/2025,2025-10-24,Overdue supplier payments >90d
Unidade Local de Saúde de São José,72103581.29,Despacho 12497/2025,2025-10-24,Overdue supplier payments >90d
Unidade Local de Saúde de Trás-os-Montes e Alto Douro,23562780.99,Despacho 12497/2025,2025-10-24,Overdue supplier payments >90d
Unidade Local de Saúde do Médio Ave,5320039.05,Despacho 12497/2025,2025-10-24,Overdue supplier payments >90d
Unidade Local de Saúde de Gaia/Espinho,32038682.49,Despacho 12497/2025,2025-10-24,Overdue supplier payments >90d
Unidade Local de Saúde do Alto Alentejo,5836798.53,Despacho 12497/2025,2025-10-24,Overdue supplier payments >90d
Unidade Local de Saúde do Tâmega e Sousa,6302374.75,Despacho 12497/2025,2025-10-24,Overdue supplier payments >90d
Unidade Local de Saúde de Santa Maria,31291187.45,Despacho 12497/2025,2025-10-24,Overdue supplier payments >90d
Unidade Local de Saúde Póvoa de Varzim/Vila do Conde,2488869.15,Despacho 12497/2025,2025-10-24,Overdue supplier payments >90d
Unidade Local de Saúde do Alto Minho,2575428.82,Despacho 12497/2025,2025-10-24,Overdue supplier payments >90d
Unidade Local de Saúde da Guarda,2513456.38,Despacho 12497/2025,2025-10-24,Overdue supplier payments >90d
Unidade Local de Saúde do Baixo Alentejo,4655475.43,Despacho 12497/2025,2025-10-24,Overdue supplier payments >90d
Unidade Local de Saúde de Entre Douro e Vouga,15602169.80,Despacho 12497/2025,2025-10-24,Overdue supplier payments >90d
Unidade Local de Saúde de Amadora/Sintra,5506114.60,Despacho 12497/2025,2025-10-24,Overdue supplier payments >90d
Unidade Local de Saúde do Arco Ribeirinho,10848379.18,Despacho 12497/2025,2025-10-24,Overdue supplier payments >90d
Unidade Local de Saúde de Castelo Branco,5854472.02,Despacho 12497/2025,2025-10-24,Overdue supplier payments >90d
Unidade Local de Saúde de São João,1250309.39,Despacho 12497/2025,2025-10-24,Overdue supplier payments >90d
Unidade Local de Saúde de Coimbra,22263692.71,Despacho 12497/2025,2025-10-24,Overdue supplier payments >90d
Unidade Local de Saúde da Região de Aveiro,3678506.58,Despacho 12497/2025,2025-10-24,Overdue supplier payments >90d
Unidade Local de Saúde de Viseu DãoLafões,17658060.84,Despacho 12497/2025,2025-10-24,Overdue supplier payments >90d
Unidade Local de Saúde da Região de Leiria,208285.90,Despacho 12497/2025,2025-10-24,Overdue supplier payments >90d
Unidade Local de Saúde do Nordeste,10498575.20,Despacho 12497/2025,2025-10-24,Overdue supplier payments >90d
Unidade Local de Saúde do Litoral Alentejano,9095218.45,Despacho 12497/2025,2025-10-24,Overdue supplier payments >90d
Unidade Local de Saúde do Algarve,29910376.67,Despacho 12497/2025,2025-10-24,Overdue supplier payments >90d
Unidade Local de Saúde do Alto Ave,12669655.02,Despacho 12497/2025,2025-10-24,Overdue supplier payments >90d
Unidade Local de Saúde do Oeste,11350934.05,Despacho 12497/2025,2025-10-24,Overdue supplier payments >90d
Unidade Local de Saúde de Braga,17487553.17,Despacho 12497/2025,2025-10-24,Overdue supplier payments >90d
Unidade Local de Saúde do Estuário do Tejo,7344586.31,Despacho 12497/2025,2025-10-24,Overdue supplier payments >90d
Unidade Local de Saúde de Loures-Odivelas,1266215.87,Despacho 12497/2025,2025-10-24,Overdue supplier payments >90d
Unidade Local de Saúde de Santo António,1186629.50,Despacho 12497/2025,2025-10-24,Overdue supplier payments >90d
