year,minister_name,start_date,end_date,political_party,party_abbreviation,ideology,months_served
2017,Adalberto Campos Fernandes,2015-11-26,2018-10-15,Partido Socialista,PS,Left,12
2018,Adalberto Campos Fernandes,2015-11-26,2018-10-15,Partido Socialista,PS,Left,10
2018,Marta Temido,2018-10-15,2022-09-10,Independent,IND,Center,2
2019,Marta Temido,2018-10-15,2022-09-10,Independent,IND,Center,12
2020,Marta Temido,2018-10-15,2022-09-10,Independent,IND,Center,12
2021,Marta Temido (Jan-Jul),2018-10-15,2021-08-01,Independent,IND,Center,7
2021,Marta Temido (Aug-Dec),2021-08-01,2022-09-10,Partido Socialista,PS,Left,5
2022,Marta Temido,2021-08-01,2022-09-10,Partido Socialista,PS,Left,9
2022,Manuel Pizarro,2022-09-10,2024-04-02,Partido Socialista,PS,Left,3
2023,Manuel Pizarro,2022-09-10,2024-04-02,Partido Socialista,PS,Left,12
2024,Manuel Pizarro,2022-09-10,2024-04-02,Partido Socialista,PS,Left,3
2024,Ana Paula Martins,2024-04-02,present,Partido Social Democrata,PSD,Right,9
