uls_name,uls_id
ALTO MINHO,1
Alentejo Central,2
Algarve,3
Almada-Seixal,4
Almada/Seixal,5
Alto Alentejo,6
Alto Ave,7
Alto Minho,8
Amadora/Sintra,9
Arco Ribeirinho,10
Arrábida,11
Baixo Alentejo,12
Baixo Mondego,13
Barcelos/Esposende,14
Braga,15
Castelo Branco,16
Coimbra,17
Cova da Beira,18
Dão-Lafões,19
Entre Douro e Vouga,20
Estuário do Tejo,21
GUARDA,22
Gaia/Espinho,23
Guarda,24
Lezíria,25
Lisboa Ocidental,26
Litoral Alentejano,27
Loures-Odivelas,28
Loures/Odivelas,29
MATOSINHOS,30
Matosinhos,31
Médio Ave,32
Médio Tejo,33
Nordeste,34
Norte Alentejano,35
Oeste,36
Póvoa de Varzim/Vila do Conde,37
Região de Aveiro,38
Região de Leiria,39
Santa Maria,40
Santo António,41
São José,42
São João,43
Trás-os-Montes e Alto Douro,44
Tâmega e Sousa,45
Vila Nova de Gaia/Espinho,46
Viseu Dão-Lafões,47
