entity_name,entity_type,integration_status,integration_year,parent_uls,notes
"Unidade Local de Saúde de Santo António, E.P.E.",ULS,Integrated,2024.0,"Unidade Local de Saúde de Santo António, E.P.E.",Current ULS entity (post-2024)
"Unidade Local de Saúde de Castelo Branco, E. P. E.",ULS,Integrated,2024.0,"Unidade Local de Saúde de Castelo Branco, E. P. E.",Current ULS entity (post-2024)
"UNIDADE LOCAL DE SAÚDE ALTO MINHO, EPE",ULS,Integrated,2024.0,"UNIDADE LOCAL DE SAÚDE ALTO MINHO, EPE",Current ULS entity (post-2024)
"UNIDADE LOCAL DE SAÚDE DE MATOSINHOS, EPE",ULS,Integrated,2024.0,"UNIDADE LOCAL DE SAÚDE DE MATOSINHOS, EPE",Current ULS entity (post-2024)
"Unidade Local de Saúde de Coimbra, E. P. E.",ULS,Integrated,2024.0,"Unidade Local de Saúde de Coimbra, E. P. E.",Current ULS entity (post-2024)
"Unidade Local de Saúde do Médio Ave, E.P.E.",ULS,Integrated,2024.0,"Unidade Local de Saúde do Médio Ave, E.P.E.",Current ULS entity (post-2024)
"Unidade Local de Saúde do Litoral Alentejano, E.P.E.",ULS,Integrated,2024.0,"Unidade Local de Saúde do Litoral Alentejano, E.P.E.",Current ULS entity (post-2024)
"Unidade Local de Saúde do Alto Alentejo, EPE",ULS,Integrated,2024.0,"Unidade Local de Saúde do Alto Alentejo, EPE",Current ULS entity (post-2024)
"Unidade Local de Saúde de Loures-Odivelas, E. P. E.",ULS,Integrated,2024.0,"Unidade Local de Saúde de Loures-Odivelas, E. P. E.",Current ULS entity (post-2024)
"Unidade Local de Saúde de Matosinhos, EPE",ULS,Integrated,2024.0,"Unidade Local de Saúde de Matosinhos, EPE",Current ULS entity (post-2024)
"Unidade Local de Saúde de São José, E. P. E.",ULS,Integrated,2024.0,"Unidade Local de Saúde de São José, E. P. E.",Current ULS entity (post-2024)
"Unidade Local de Saúde de Viseu Dão-Lafões, E. P. E.",ULS,Integrated,2024.0,"Unidade Local de Saúde de Viseu Dão-Lafões, E. P. E.",Current ULS entity (post-2024)
"Unidade Local de Saúde de Santo António, EPE",ULS,Integrated,2024.0,"Unidade Local de Saúde de Santo António, EPE",Current ULS entity (post-2024)
"Unidade Local de Saúde da Lezíria, E. P. E",ULS,Integrated,2024.0,"Unidade Local de Saúde da Lezíria, E. P. E",Current ULS entity (post-2024)
"Unidade Local de Saúde da Lezíria, E.P.E.",ULS,Integrated,2024.0,"Unidade Local de Saúde da Lezíria, E.P.E.",Current ULS entity (post-2024)
"Unidade Local de Saúde da Região de Leiria, EPE",ULS,Integrated,2024.0,"Unidade Local de Saúde da Região de Leiria, EPE",Current ULS entity (post-2024)
"Unidade Local de Saúde Litoral Alentejano, E. P. E.",ULS,Integrated,2024.0,"Unidade Local de Saúde Litoral Alentejano, E. P. E.",Current ULS entity (post-2024)
"Unidade Local de Saúde de Castelo Branco, EPE",ULS,Integrated,2024.0,"Unidade Local de Saúde de Castelo Branco, EPE",Current ULS entity (post-2024)
"Unidade Local de Saúde de Coimbra, E.P.E.",ULS,Integrated,2024.0,"Unidade Local de Saúde de Coimbra, E.P.E.",Current ULS entity (post-2024)
"Unidade Local de Saúde do Nordeste, E.P.E.",ULS,Integrated,2024.0,"Unidade Local de Saúde do Nordeste, E.P.E.",Current ULS entity (post-2024)
"Unidade Local de Saúde de Almada-Seixal, EPE",ULS,Integrated,2024.0,"Unidade Local de Saúde de Almada-Seixal, EPE",Current ULS entity (post-2024)
"Unidade Local de Saúde de Lisboa Ocidental, E.P.E.",ULS,Integrated,2024.0,"Unidade Local de Saúde de Lisboa Ocidental, E.P.E.",Current ULS entity (post-2024)
"Unidade Local de Saúde de Viseu Dão-Lafões, E.P.E.",ULS,Integrated,2024.0,"Unidade Local de Saúde de Viseu Dão-Lafões, E.P.E.",Current ULS entity (post-2024)
"Unidade Local de Saúde de Barcelos/Esposende, E. P. E.",ULS,Integrated,2024.0,"Unidade Local de Saúde de Barcelos/Esposende, E. P. E.",Current ULS entity (post-2024)
"Unidade Local de Saúde de Santa Maria, E.P.E.",ULS,Integrated,2024.0,"Unidade Local de Saúde de Santa Maria, E.P.E.",Current ULS entity (post-2024)
"Unidade Local de Saúde de São José, EPE",ULS,Integrated,2024.0,"Unidade Local de Saúde de São José, EPE",Current ULS entity (post-2024)
"Unidade Local de Saúde do Nordeste, EPE",ULS,Integrated,2024.0,"Unidade Local de Saúde do Nordeste, EPE",Current ULS entity (post-2024)
"Unidade Local de Saúde do Alto Ave, E.P.E.",ULS,Integrated,2024.0,"Unidade Local de Saúde do Alto Ave, E.P.E.",Current ULS entity (post-2024)
"Unidade Local de Saúde do Norte Alentejano, E. P. E.",ULS,Integrated,2024.0,"Unidade Local de Saúde do Norte Alentejano, E. P. E.",Current ULS entity (post-2024)
"Unidade Local de Saúde do Algarve, EPE",ULS,Integrated,2024.0,"Unidade Local de Saúde do Algarve, EPE",Current ULS entity (post-2024)
"Unidade Local de Saúde de Lisboa Ocidental, E. P. E.",ULS,Integrated,2024.0,"Unidade Local de Saúde de Lisboa Ocidental, E. P. E.",Current ULS entity (post-2024)
"Unidade Local de Saúde do Nordeste, E. P. E.",ULS,Integrated,2024.0,"Unidade Local de Saúde do Nordeste, E. P. E.",Current ULS entity (post-2024)
"Unidade Local de Saúde do Algarve, E.P.E.",ULS,Integrated,2024.0,"Unidade Local de Saúde do Algarve, E.P.E.",Current ULS entity (post-2024)
"Unidade Local de Saúde do Algarve, E. P. E.",ULS,Integrated,2024.0,"Unidade Local de Saúde do Algarve, E. P. E.",Current ULS entity (post-2024)
"Unidade Local de Saúde do Baixo Mondego, E. P. E.",ULS,Integrated,2024.0,"Unidade Local de Saúde do Baixo Mondego, E. P. E.",Current ULS entity (post-2024)
"Unidade Local de Saúde de Braga, E.P.E.",ULS,Integrated,2024.0,"Unidade Local de Saúde de Braga, E.P.E.",Current ULS entity (post-2024)
"Unidade Local de Saúde da Póvoa de Varzim/Vila do Conde, EPE",ULS,Integrated,2024.0,"Unidade Local de Saúde da Póvoa de Varzim/Vila do Conde, EPE",Current ULS entity (post-2024)
"Unidade Local de Saúde do Norte Alentejano, EPE",ULS,Integrated,2024.0,"Unidade Local de Saúde do Norte Alentejano, EPE",Current ULS entity (post-2024)
"Unidade Local de Saúde de Gaia/Espinho, E. P. E.",ULS,Integrated,2024.0,"Unidade Local de Saúde de Gaia/Espinho, E. P. E.",Current ULS entity (post-2024)
"Unidade Local de Saúde do Estuário do Tejo, E. P. E.",ULS,Integrated,2024.0,"Unidade Local de Saúde do Estuário do Tejo, E. P. E.",Current ULS entity (post-2024)
"Unidade Local de Saúde de Amadora/Sintra, E. P. E.",ULS,Integrated,2024.0,"Unidade Local de Saúde de Amadora/Sintra, E. P. E.",Current ULS entity (post-2024)
"Unidade Local de Saúde de São João, E. P. E.",ULS,Integrated,2024.0,"Unidade Local de Saúde de São João, E. P. E.",Current ULS entity (post-2024)
"Unidade Local de Saúde do Tâmega e Sousa, EPE",ULS,Integrated,2024.0,"Unidade Local de Saúde do Tâmega e Sousa, EPE",Current ULS entity (post-2024)
"Unidade Local de Saúde de Barcelos / Esposende, E.P.E.",ULS,Integrated,2024.0,"Unidade Local de Saúde de Barcelos / Esposende, E.P.E.",Current ULS entity (post-2024)
"Unidade Local de Saúde de Trás-os-Montes e Alto Douro, E.P.E.",ULS,Integrated,2024.0,"Unidade Local de Saúde de Trás-os-Montes e Alto Douro, E.P.E.",Current ULS entity (post-2024)
"Unidade Local de Saúde da Região de Aveiro, E. P. E.",ULS,Integrated,2024.0,"Unidade Local de Saúde da Região de Aveiro, E. P. E.",Current ULS entity (post-2024)
"Unidade Local de Saúde de Matosinhos, E. P. E.",ULS,Integrated,2024.0,"Unidade Local de Saúde de Matosinhos, E. P. E.",Current ULS entity (post-2024)
"Unidade Local de Saúde da Região de Leiria, E. P. E.",ULS,Integrated,2024.0,"Unidade Local de Saúde da Região de Leiria, E. P. E.",Current ULS entity (post-2024)
"Unidade Local de Saúde do Litoral Alentejano, E. P. E.",ULS,Integrated,2024.0,"Unidade Local de Saúde do Litoral Alentejano, E. P. E.",Current ULS entity (post-2024)
"Unidade Local de Saúde do Alto Alentejo, E. P. E.",ULS,Integrated,2024.0,"Unidade Local de Saúde do Alto Alentejo, E. P. E.",Current ULS entity (post-2024)
"Unidade Local de Saúde da Arrábida, EPE",ULS,Integrated,2024.0,"Unidade Local de Saúde da Arrábida, EPE",Current ULS entity (post-2024)
"Unidade Local de Saúde de Amadora/Sintra, EPE",ULS,Integrated,2024.0,"Unidade Local de Saúde de Amadora/Sintra, EPE",Current ULS entity (post-2024)
"Unidade Local de Saúde Castelo Branco, EPE",ULS,Integrated,2024.0,"Unidade Local de Saúde Castelo Branco, EPE",Current ULS entity (post-2024)
"Unidade Local de Saúde do Arco Ribeirinho, EPE",ULS,Integrated,2024.0,"Unidade Local de Saúde do Arco Ribeirinho, EPE",Current ULS entity (post-2024)
"Unidade Local de Saúde de Castelo Branco, E.P.E.",ULS,Integrated,2024.0,"Unidade Local de Saúde de Castelo Branco, E.P.E.",Current ULS entity (post-2024)
"Unidade Local de Saúde do Arco Ribeirinho, E.P.E.",ULS,Integrated,2024.0,"Unidade Local de Saúde do Arco Ribeirinho, E.P.E.",Current ULS entity (post-2024)
"Unidade Local de Saúde de Gaia / Espinho, E.P.E.",ULS,Integrated,2024.0,"Unidade Local de Saúde de Gaia / Espinho, E.P.E.",Current ULS entity (post-2024)
"Unidade Local de Saúde de Braga, EPE",ULS,Integrated,2024.0,"Unidade Local de Saúde de Braga, EPE",Current ULS entity (post-2024)
"Unidade Local de Saúde do Tâmega e Sousa, E. P. E.",ULS,Integrated,2024.0,"Unidade Local de Saúde do Tâmega e Sousa, E. P. E.",Current ULS entity (post-2024)
"Unidade Local de Saúde da Cova da Beira, EPE",ULS,Integrated,2024.0,"Unidade Local de Saúde da Cova da Beira, EPE",Current ULS entity (post-2024)
"Unidade Local de Saúde de Santo António, E. P. E.",ULS,Integrated,2024.0,"Unidade Local de Saúde de Santo António, E. P. E.",Current ULS entity (post-2024)
"Unidade Local de Saúde de Lisboa Ocidental, EPE",ULS,Integrated,2024.0,"Unidade Local de Saúde de Lisboa Ocidental, EPE",Current ULS entity (post-2024)
"Unidade Local de Saúde do Litoral Alentejano, EPE",ULS,Integrated,2024.0,"Unidade Local de Saúde do Litoral Alentejano, EPE",Current ULS entity (post-2024)
"Unidade Local de Saúde do Alto Minho, EPE",ULS,Integrated,2024.0,"Unidade Local de Saúde do Alto Minho, EPE",Current ULS entity (post-2024)
"Unidade Local de Saúde de Entre Douro e Vouga, E. P. E.",ULS,Integrated,2024.0,"Unidade Local de Saúde de Entre Douro e Vouga, E. P. E.",Current ULS entity (post-2024)
"Unidade Local de Saúde do Baixo Alentejo, E.P.E.",ULS,Integrated,2024.0,"Unidade Local de Saúde do Baixo Alentejo, E.P.E.",Current ULS entity (post-2024)
"Unidade Local de Saúde da Arrábida, E.P.E.",ULS,Integrated,2024.0,"Unidade Local de Saúde da Arrábida, E.P.E.",Current ULS entity (post-2024)
"Unidade Local de Saúde da Região de Aveiro, E.P.E.",ULS,Integrated,2024.0,"Unidade Local de Saúde da Região de Aveiro, E.P.E.",Current ULS entity (post-2024)
"Unidade Local de Saúde de São João, E.P.E.",ULS,Integrated,2024.0,"Unidade Local de Saúde de São João, E.P.E.",Current ULS entity (post-2024)
"Unidade Local de Saúde do Baixo Alentejo, E. P. E.",ULS,Integrated,2024.0,"Unidade Local de Saúde do Baixo Alentejo, E. P. E.",Current ULS entity (post-2024)
"Unidade Local de Saúde do Alentejo Central, E. P. E.",ULS,Integrated,2024.0,"Unidade Local de Saúde do Alentejo Central, E. P. E.",Current ULS entity (post-2024)
"Unidade Local de Saúde da Região de Aveiro, EPE",ULS,Integrated,2024.0,"Unidade Local de Saúde da Região de Aveiro, EPE",Current ULS entity (post-2024)
"Unidade Local de Saúde do Baixo Alentejo, EPE",ULS,Integrated,2024.0,"Unidade Local de Saúde do Baixo Alentejo, EPE",Current ULS entity (post-2024)
"Unidade Local de Saúde do Alto Ave, EPE",ULS,Integrated,2024.0,"Unidade Local de Saúde do Alto Ave, EPE",Current ULS entity (post-2024)
"Unidade Local de Saúde do Médio Tejo, E.P.E.",ULS,Integrated,2024.0,"Unidade Local de Saúde do Médio Tejo, E.P.E.",Current ULS entity (post-2024)
"Unidade Local de Saúde de Loures-Odivelas, EPE",ULS,Integrated,2024.0,"Unidade Local de Saúde de Loures-Odivelas, EPE",Current ULS entity (post-2024)
"Unidade Local de Saúde de Barcelos/Esposende, EPE",ULS,Integrated,2024.0,"Unidade Local de Saúde de Barcelos/Esposende, EPE",Current ULS entity (post-2024)
"Unidade Local de Saúde de Braga, E. P. E.",ULS,Integrated,2024.0,"Unidade Local de Saúde de Braga, E. P. E.",Current ULS entity (post-2024)
"Unidade Local de Saúde de Amadora / Sintra, E.P.E.",ULS,Integrated,2024.0,"Unidade Local de Saúde de Amadora / Sintra, E.P.E.",Current ULS entity (post-2024)
"Unidade Local de Saúde Alto Minho, E. P. E.",ULS,Integrated,2024.0,"Unidade Local de Saúde Alto Minho, E. P. E.",Current ULS entity (post-2024)
"Unidade Local de Saúde da Guarda, E. P. E.",ULS,Integrated,2024.0,"Unidade Local de Saúde da Guarda, E. P. E.",Current ULS entity (post-2024)
"Unidade Local de Saúde da Lezíria, EPE",ULS,Integrated,2024.0,"Unidade Local de Saúde da Lezíria, EPE",Current ULS entity (post-2024)
"Unidade Local de Saúde da Guarda, EPE",ULS,Integrated,2024.0,"Unidade Local de Saúde da Guarda, EPE",Current ULS entity (post-2024)
"UNIDADE LOCAL DE SAUDE DO NORDESTE, EPE",ULS,Integrated,2024.0,"UNIDADE LOCAL DE SAUDE DO NORDESTE, EPE",Current ULS entity (post-2024)
"UNIDADE LOCAL DE SAÚDE DA GUARDA, EPE",ULS,Integrated,2024.0,"UNIDADE LOCAL DE SAÚDE DA GUARDA, EPE",Current ULS entity (post-2024)
"Unidade Local de Saúde de Loures / Odivelas, E.P.E.",ULS,Integrated,2024.0,"Unidade Local de Saúde de Loures / Odivelas, E.P.E.",Current ULS entity (post-2024)
"UNIDADE LOCAL DE SAUDE DO LITORAL ALENTEJANO, EPE",ULS,Integrated,2024.0,"UNIDADE LOCAL DE SAUDE DO LITORAL ALENTEJANO, EPE",Current ULS entity (post-2024)
"Unidade Local de Saúde da Guarda, E.P.E.",ULS,Integrated,2024.0,"Unidade Local de Saúde da Guarda, E.P.E.",Current ULS entity (post-2024)
"Unidade Local de Saúde do Baixo Mondego, EPE",ULS,Integrated,2024.0,"Unidade Local de Saúde do Baixo Mondego, EPE",Current ULS entity (post-2024)
"Unidade Local de Saúde da Arrábida, E. P. E.",ULS,Integrated,2024.0,"Unidade Local de Saúde da Arrábida, E. P. E.",Current ULS entity (post-2024)
"Unidade Local de Saúde de Matosinhos, E.P.E.",ULS,Integrated,2024.0,"Unidade Local de Saúde de Matosinhos, E.P.E.",Current ULS entity (post-2024)
"Unidade Local de Saúde do Alto Minho, E. P. E.",ULS,Integrated,2024.0,"Unidade Local de Saúde do Alto Minho, E. P. E.",Current ULS entity (post-2024)
"Unidade Local de Saúde de Santa Maria, E. P. E.",ULS,Integrated,2024.0,"Unidade Local de Saúde de Santa Maria, E. P. E.",Current ULS entity (post-2024)
"Unidade Local de Saúde do Baixo Mondego, E.P.E.",ULS,Integrated,2024.0,"Unidade Local de Saúde do Baixo Mondego, E.P.E.",Current ULS entity (post-2024)
"Unidade Local de Saúde do Médio Tejo, EPE",ULS,Integrated,2024.0,"Unidade Local de Saúde do Médio Tejo, EPE",Current ULS entity (post-2024)
"Unidade Local de Saúde de Almada / Seixal, E.P.E.",ULS,Integrated,2024.0,"Unidade Local de Saúde de Almada / Seixal, E.P.E.",Current ULS entity (post-2024)
"Unidade Local de Saúde da Cova da Beira, E.P.E.",ULS,Integrated,2024.0,"Unidade Local de Saúde da Cova da Beira, E.P.E.",Current ULS entity (post-2024)
"Unidade Local de Saúde do Oeste, E. P. E.",ULS,Integrated,2024.0,"Unidade Local de Saúde do Oeste, E. P. E.",Current ULS entity (post-2024)
