entity_name,entity_type,integration_status,integration_year,parent_uls,notes,entity_name_standardized,uls_base_name,ipo_location
"Unidade Local de Saúde de Santo António, E.P.E.",ULS,Integrated,2024.0,"Unidade Local de Saúde de Santo António, E.P.E.",Current ULS entity (post-2024),"Unidade Local de Saúde de Santo António, EPE",Santo António,
"Unidade Local de Saúde de Castelo Branco, E. P. E.",ULS,Integrated,2024.0,"Unidade Local de Saúde de Castelo Branco, E. P. E.",Current ULS entity (post-2024),"Unidade Local de Saúde de Castelo Branco, EPE",Castelo Branco,
"UNIDADE LOCAL DE SAÚDE ALTO MINHO, EPE",ULS,Integrated,2024.0,"UNIDADE LOCAL DE SAÚDE ALTO MINHO, EPE",Current ULS entity (post-2024),"UNIDADE LOCAL DE SAÚDE ALTO MINHO, EPE",ALTO MINHO,
"UNIDADE LOCAL DE SAÚDE DE MATOSINHOS, EPE",ULS,Integrated,2024.0,"UNIDADE LOCAL DE SAÚDE DE MATOSINHOS, EPE",Current ULS entity (post-2024),"UNIDADE LOCAL DE SAÚDE DE MATOSINHOS, EPE",MATOSINHOS,
"Unidade Local de Saúde de Coimbra, E. P. E.",ULS,Integrated,2024.0,"Unidade Local de Saúde de Coimbra, E. P. E.",Current ULS entity (post-2024),"Unidade Local de Saúde de Coimbra, EPE",Coimbra,
"Unidade Local de Saúde do Médio Ave, E.P.E.",ULS,Integrated,2024.0,"Unidade Local de Saúde do Médio Ave, E.P.E.",Current ULS entity (post-2024),"Unidade Local de Saúde do Médio Ave, EPE",Médio Ave,
"Unidade Local de Saúde do Litoral Alentejano, E.P.E.",ULS,Integrated,2024.0,"Unidade Local de Saúde do Litoral Alentejano, E.P.E.",Current ULS entity (post-2024),"Unidade Local de Saúde do Litoral Alentejano, EPE",Litoral Alentejano,
"Unidade Local de Saúde do Alto Alentejo, EPE",ULS,Integrated,2024.0,"Unidade Local de Saúde do Alto Alentejo, EPE",Current ULS entity (post-2024),"Unidade Local de Saúde do Alto Alentejo, EPE",Alto Alentejo,
"Unidade Local de Saúde de Loures-Odivelas, E. P. E.",ULS,Integrated,2024.0,"Unidade Local de Saúde de Loures-Odivelas, E. P. E.",Current ULS entity (post-2024),"Unidade Local de Saúde de Loures-Odivelas, EPE",Loures-Odivelas,
"Unidade Local de Saúde de Matosinhos, EPE",ULS,Integrated,2024.0,"Unidade Local de Saúde de Matosinhos, EPE",Current ULS entity (post-2024),"Unidade Local de Saúde de Matosinhos, EPE",Matosinhos,
"Unidade Local de Saúde de São José, E. P. E.",ULS,Integrated,2024.0,"Unidade Local de Saúde de São José, E. P. E.",Current ULS entity (post-2024),"Unidade Local de Saúde de São José, EPE",São José,
"Unidade Local de Saúde de Viseu Dão-Lafões, E. P. E.",ULS,Integrated,2024.0,"Unidade Local de Saúde de Viseu Dão-Lafões, E. P. E.",Current ULS entity (post-2024),"Unidade Local de Saúde de Viseu Dão-Lafões, EPE",Viseu Dão-Lafões,
"Unidade Local de Saúde de Santo António, EPE",ULS,Integrated,2024.0,"Unidade Local de Saúde de Santo António, EPE",Current ULS entity (post-2024),"Unidade Local de Saúde de Santo António, EPE",Santo António,
"Unidade Local de Saúde da Lezíria, E. P. E",ULS,Integrated,2024.0,"Unidade Local de Saúde da Lezíria, E. P. E",Current ULS entity (post-2024),"Unidade Local de Saúde da Lezíria, EPE",Lezíria,
"Unidade Local de Saúde da Lezíria, E.P.E.",ULS,Integrated,2024.0,"Unidade Local de Saúde da Lezíria, E.P.E.",Current ULS entity (post-2024),"Unidade Local de Saúde da Lezíria, EPE",Lezíria,
"Unidade Local de Saúde da Região de Leiria, EPE",ULS,Integrated,2024.0,"Unidade Local de Saúde da Região de Leiria, EPE",Current ULS entity (post-2024),"Unidade Local de Saúde da Região de Leiria, EPE",Região de Leiria,
"Unidade Local de Saúde Litoral Alentejano, E. P. E.",ULS,Integrated,2024.0,"Unidade Local de Saúde Litoral Alentejano, E. P. E.",Current ULS entity (post-2024),"Unidade Local de Saúde Litoral Alentejano, EPE",Litoral Alentejano,
"Unidade Local de Saúde de Castelo Branco, EPE",ULS,Integrated,2024.0,"Unidade Local de Saúde de Castelo Branco, EPE",Current ULS entity (post-2024),"Unidade Local de Saúde de Castelo Branco, EPE",Castelo Branco,
"Unidade Local de Saúde de Coimbra, E.P.E.",ULS,Integrated,2024.0,"Unidade Local de Saúde de Coimbra, E.P.E.",Current ULS entity (post-2024),"Unidade Local de Saúde de Coimbra, EPE",Coimbra,
"Unidade Local de Saúde do Nordeste, E.P.E.",ULS,Integrated,2024.0,"Unidade Local de Saúde do Nordeste, E.P.E.",Current ULS entity (post-2024),"Unidade Local de Saúde do Nordeste, EPE",Nordeste,
"Unidade Local de Saúde de Almada-Seixal, EPE",ULS,Integrated,2024.0,"Unidade Local de Saúde de Almada-Seixal, EPE",Current ULS entity (post-2024),"Unidade Local de Saúde de Almada-Seixal, EPE",Almada-Seixal,
"Unidade Local de Saúde de Lisboa Ocidental, E.P.E.",ULS,Integrated,2024.0,"Unidade Local de Saúde de Lisboa Ocidental, E.P.E.",Current ULS entity (post-2024),"Unidade Local de Saúde de Lisboa Ocidental, EPE",Lisboa Ocidental,
"Unidade Local de Saúde de Viseu Dão-Lafões, E.P.E.",ULS,Integrated,2024.0,"Unidade Local de Saúde de Viseu Dão-Lafões, E.P.E.",Current ULS entity (post-2024),"Unidade Local de Saúde de Viseu Dão-Lafões, EPE",Viseu Dão-Lafões,
"Unidade Local de Saúde de Barcelos/Esposende, E. P. E.",ULS,Integrated,2024.0,"Unidade Local de Saúde de Barcelos/Esposende, E. P. E.",Current ULS entity (post-2024),"Unidade Local de Saúde de Barcelos/Esposende, EPE",Barcelos/Esposende,
"Unidade Local de Saúde de Santa Maria, E.P.E.",ULS,Integrated,2024.0,"Unidade Local de Saúde de Santa Maria, E.P.E.",Current ULS entity (post-2024),"Unidade Local de Saúde de Santa Maria, EPE",Santa Maria,
