parent_uls_std,year,month,divida_total_fornecedores_externos,divida_vencida_fornecedores_externos,pagamentos_em_atraso,taxa_internamento,dias_internamento,taxa_mortalidade,mortalidade_avc_hemorragico_30_dias,mortalidade_avc_isquemico_30_dias,resultado_liquido,resultados_operacionais,covid_period,election_month,uls_integrated,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,entidade,parent_uls,entidade_std
"Administração Central Do Sistema De Saúde, I.P",2017.0,1.0,42715.34,42715.34,0.0,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Administração Central do Sistema de Saúde, I.P","Administração Central do Sistema de Saúde, I.P",
"Administração Central Do Sistema De Saúde, I.P",2017.0,2.0,-5577.86,-5577.86,0.0,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Administração Central do Sistema de Saúde, I.P","Administração Central do Sistema de Saúde, I.P",
"Administração Central Do Sistema De Saúde, I.P",2017.0,3.0,-7622.11,-7622.11,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Administração Central do Sistema de Saúde, I.P","Administração Central do Sistema de Saúde, I.P",
"Administração Central Do Sistema De Saúde, I.P",2017.0,4.0,4729.83,4729.83,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Administração Central do Sistema de Saúde, I.P","Administração Central do Sistema de Saúde, I.P",
"Administração Central Do Sistema De Saúde, I.P",2017.0,5.0,137295.56,137295.56,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Administração Central do Sistema de Saúde, I.P","Administração Central do Sistema de Saúde, I.P",
"Administração Central Do Sistema De Saúde, I.P",2017.0,6.0,160698.95,160698.95,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"Administração Central do Sistema de Saúde, I.P","Administração Central do Sistema de Saúde, I.P",
"Administração Central Do Sistema De Saúde, I.P",2017.0,7.0,10835.96,10835.96,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"Administração Central do Sistema de Saúde, I.P","Administração Central do Sistema de Saúde, I.P",
"Administração Central Do Sistema De Saúde, I.P",2017.0,8.0,119236.72,119236.72,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"Administração Central do Sistema de Saúde, I.P","Administração Central do Sistema de Saúde, I.P",
"Administração Central Do Sistema De Saúde, I.P",2017.0,9.0,80156.68,80156.68,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"Administração Central do Sistema de Saúde, I.P","Administração Central do Sistema de Saúde, I.P",
"Administração Central Do Sistema De Saúde, I.P",2017.0,10.0,81769.76,81769.76,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"Administração Central do Sistema de Saúde, I.P","Administração Central do Sistema de Saúde, I.P",
