entidade,year,month,year_month,divida_total_fornecedores_externos,divida_vencida_fornecedores_externos,pagamentos_em_atraso,taxa_internamento,dias_internamento,taxa_mortalidade,mortalidade_avc_hemorragico_30_dias,mortalidade_avc_isquemico_30_dias,resultado_liquido,resultados_operacionais,covid_period,election_month,uls_integrated,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,parent_uls,taxa_mortalidade_quality,taxa_internamento_quality,dias_internamento_quality
"Administração Central do Sistema de Saúde, I.P",2017.0,1.0,2017-01,42715.34,42715.34,0.0,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Administração Central do Sistema de Saúde, I.P",,,
"Administração Central do Sistema de Saúde, I.P",2017.0,2.0,2017-02,-5577.86,-5577.86,0.0,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Administração Central do Sistema de Saúde, I.P",,,
"Administração Central do Sistema de Saúde, I.P",2017.0,3.0,2017-03,-7622.11,-7622.11,0.0,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Administração Central do Sistema de Saúde, I.P",,,
"Administração Central do Sistema de Saúde, I.P",2017.0,4.0,2017-04,4729.83,4729.83,0.0,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Administração Central do Sistema de Saúde, I.P",,,
"Administração Central do Sistema de Saúde, I.P",2017.0,5.0,2017-05,137295.56,137295.56,0.0,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Administração Central do Sistema de Saúde, I.P",,,
"Administração Central do Sistema de Saúde, I.P",2017.0,6.0,2017-06,160698.95,160698.95,0.0,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Administração Central do Sistema de Saúde, I.P",,,
"Administração Central do Sistema de Saúde, I.P",2017.0,7.0,2017-07,10835.96,10835.96,0.0,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Administração Central do Sistema de Saúde, I.P",,,
"Administração Central do Sistema de Saúde, I.P",2017.0,8.0,2017-08,119236.72,119236.72,0.0,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Administração Central do Sistema de Saúde, I.P",,,
"Administração Central do Sistema de Saúde, I.P",2017.0,9.0,2017-09,80156.68,80156.68,0.0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Administração Central do Sistema de Saúde, I.P",,,
"Administração Central do Sistema de Saúde, I.P",2017.0,10.0,2017-10,81769.76,81769.76,0.0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Administração Central do Sistema de Saúde, I.P",,,
"Administração Central do Sistema de Saúde, I.P",2017.0,11.0,2017-11,190210.41,190210.41,0.0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Administração Central do Sistema de Saúde, I.P",,,
"Administração Central do Sistema de Saúde, I.P",2017.0,12.0,2017-12,15235.87,15235.87,0.0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Administração Central do Sistema de Saúde, I.P",,,
"Administração Central do Sistema de Saúde, I.P",2018.0,1.0,2018-01,36292.4,36292.4,0.0,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Administração Central do Sistema de Saúde, I.P",,,
"Administração Central do Sistema de Saúde, I.P",2018.0,2.0,2018-02,58621.98,58621.98,0.0,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Administração Central do Sistema de Saúde, I.P",,,
"Administração Central do Sistema de Saúde, I.P",2018.0,3.0,2018-03,57685.4,57685.4,0.0,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Administração Central do Sistema de Saúde, I.P",,,
"Administração Central do Sistema de Saúde, I.P",2018.0,4.0,2018-04,98607.2,98607.2,0.0,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Administração Central do Sistema de Saúde, I.P",,,
"Administração Central do Sistema de Saúde, I.P",2018.0,5.0,2018-05,16727.83,16727.83,0.0,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Administração Central do Sistema de Saúde, I.P",,,
"Administração Central do Sistema de Saúde, I.P",2018.0,6.0,2018-06,28726.5,1829.66,0.0,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Administração Central do Sistema de Saúde, I.P",,,
"Administração Central do Sistema de Saúde, I.P",2018.0,7.0,2018-07,16548.78,0.0,0.0,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Administração Central do Sistema de Saúde, I.P",,,
"Administração Central do Sistema de Saúde, I.P",2018.0,8.0,2018-08,49006.85,24691.21,0.0,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Administração Central do Sistema de Saúde, I.P",,,
"Administração Central do Sistema de Saúde, I.P",2018.0,9.0,2018-09,68718.36,26087.91,0.0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Administração Central do Sistema de Saúde, I.P",,,
"Administração Central do Sistema de Saúde, I.P",2018.0,10.0,2018-10,66655.42,35325.35,0.0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Administração Central do Sistema de Saúde, I.P",,,
"Administração Central do Sistema de Saúde, I.P",2018.0,11.0,2018-11,73987.38,61419.47,0.0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Administração Central do Sistema de Saúde, I.P",,,
"Administração Central do Sistema de Saúde, I.P",2018.0,12.0,2018-12,1659.28,1659.28,0.0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Administração Central do Sistema de Saúde, I.P",,,
"Administração Central do Sistema de Saúde, I.P",2019.0,1.0,2019-01,36324.4,32672.4,0.0,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Administração Central do Sistema de Saúde, I.P",,,
