ano,trimestre,regiao,instituicao,cod_capitulo,desc_capitulo,taxa_internamento,dias_internamento,taxa_mortalidade,year,month,year_month,tempo,localizacao_geografica,mortalidade_avc_hemorragico_30_dias,mortalidade_avc_isquemico_30_dias
2020-01-01,Terceiro,Região de Saúde do Algarve,"Unidade Local de Saúde do Algarve, E.P.E.",15.0,"Gravidez, parto e puerpério",15.42,4082.0,0.0,2020.0,1.0,2020-01,,,,
2020-01-01,Terceiro,Região de Saúde do Algarve,"Unidade Local de Saúde do Algarve, E.P.E.",19.0,"Lesões, envenenamento e algumas outras consequências de causas externas",9.37,9677.0,3.59,2020.0,1.0,2020-01,,,,
2020-01-01,Terceiro,Região de Saúde do Centro,"Instituto Português Oncologia  F. Gentil - Coimbra, E.P.E.",2.0,Neoplasias,70.58,7617.0,7.73,2020.0,1.0,2020-01,,,,
2020-01-01,Terceiro,Região de Saúde do Centro,"Instituto Português Oncologia  F. Gentil - Coimbra, E.P.E.",10.0,Doenças do aparelho respiratório,1.69,106.0,0.0,2020.0,1.0,2020-01,,,,
2020-01-01,Terceiro,Região de Saúde do Centro,"Unidade Local de Saúde da Cova da Beira, E.P.E.",1.0,Algumas doenças infecciosas e parasitárias,2.8,1015.0,9.68,2020.0,1.0,2020-01,,,,
2020-01-01,Terceiro,Região de Saúde do Centro,"Unidade Local de Saúde da Cova da Beira, E.P.E.",9.0,Doenças do aparelho circulatório,14.76,3265.0,4.28,2020.0,1.0,2020-01,,,,
2020-01-01,Primeiro,Região de Saúde do Norte,"Unidade Local de Saúde do Alto Ave, E.P.E.",5.0,"Transtornos mentais, comportamentais e de neurodesenvolvimento",1.17,1002.0,0.0,2020.0,1.0,2020-01,,,,
2020-01-01,Primeiro,Região de Saúde do Norte,"Unidade Local de Saúde do Alto Ave, E.P.E.",21.0,Fatores que influenciam o estado de saúde e o contacto com os serviços de saúde,11.95,2861.0,1.47,2020.0,1.0,2020-01,,,,
2020-01-01,Primeiro,Região de Saúde do Norte,"Unidade Local de Saúde do Alto Minho, E.P.E.",1.0,Algumas doenças infecciosas e parasitárias,2.96,1589.0,26.92,2020.0,1.0,2020-01,,,,
2020-01-01,Primeiro,Região de Saúde do Norte,"Unidade Local de Saúde do Alto Minho, E.P.E.",9.0,Doenças do aparelho circulatório,10.13,4618.0,12.36,2020.0,1.0,2020-01,,,,
2020-01-01,Primeiro,Região de Saúde do Norte,"Unidade Local de Saúde do Alto Minho, E.P.E.",16.0,Algumas condições originadas no período perinatal,0.34,145.0,0.0,2020.0,1.0,2020-01,,,,
2020-01-01,Primeiro,Região de Saúde do Norte,"Unidade Local de Saúde do Alto Minho, E.P.E.",17.0,"Malformações congénitas, deformações e anomalias cromossómicas",0.18,24.0,0.0,2020.0,1.0,2020-01,,,,
2020-01-01,Primeiro,Região de Saúde do Norte,"Unidade Local de Saúde do Alto Minho, E.P.E.",22.0,Códigos para fins especiais,0.2,49.0,11.11,2020.0,1.0,2020-01,,,,
2020-01-01,Primeiro,Região de Saúde do Norte,"Unidade Local de Saúde do Médio Ave, E.P.E.",4.0,"Doenças endócrinas, nutricionais e metabólicas",1.11,294.0,3.7,2020.0,1.0,2020-01,,,,
2020-01-01,Quarto,Região de Saúde do Norte,"Unidade Local de Saúde de Entre Douro e Vouga, E.P.E.",8.0,Doenças do ouvido e da apófise mastóide,0.5,44.0,0.0,2020.0,1.0,2020-01,,,,
2020-01-01,Quarto,Região de Saúde do Norte,"Unidade Local de Saúde de Entre Douro e Vouga, E.P.E.",10.0,Doenças do aparelho respiratório,9.44,4264.0,14.56,2020.0,1.0,2020-01,,,,
2020-01-01,Quarto,Região de Saúde do Norte,"Unidade Local de Saúde de Gaia / Espinho, E.P.E.",1.0,Algumas doenças infecciosas e parasitárias,2.32,1817.0,36.3,2020.0,1.0,2020-01,,,,
2020-01-01,Quarto,Região de Saúde do Norte,"Unidade Local de Saúde de Gaia / Espinho, E.P.E.",10.0,Doenças do aparelho respiratório,7.55,3387.0,20.68,2020.0,1.0,2020-01,,,,
2020-01-01,Quarto,Região de Saúde do Norte,"Unidade Local de Saúde de Gaia / Espinho, E.P.E.",12.0,Doenças da pele e do tecido subcutâneo,1.12,747.0,4.62,2020.0,1.0,2020-01,,,,
2020-01-01,Quarto,Região de Saúde do Norte,"Unidade Local de Saúde de Gaia / Espinho, E.P.E.",14.0,Doenças do aparelho geniturinário,6.57,2759.0,5.74,2020.0,1.0,2020-01,,,,
2020-01-01,Quarto,Região de Saúde do Norte,"Unidade Local de Saúde de Matosinhos, E.P.E.",2.0,Neoplasias,7.45,2574.0,11.58,2020.0,1.0,2020-01,,,,
2020-01-01,Quarto,Região de Saúde do Norte,"Unidade Local de Saúde de Matosinhos, E.P.E.",3.0,Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários,0.47,168.0,11.11,2020.0,1.0,2020-01,,,,
2020-01-01,Segundo,Região de Saúde do Centro,"Unidade Local de Saúde de Viseu Dão-Lafões, E.P.E.",2.0,Neoplasias,8.37,4267.0,15.14,2020.0,1.0,2020-01,,,,
2020-01-01,Segundo,Região de Saúde do Centro,"Unidade Local de Saúde de Viseu Dão-Lafões, E.P.E.",3.0,Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários,0.69,202.0,6.9,2020.0,1.0,2020-01,,,,
2020-01-01,Segundo,Região de Saúde do Centro,"Unidade Local de Saúde de Viseu Dão-Lafões, E.P.E.",4.0,"Doenças endócrinas, nutricionais e metabólicas",2.34,1120.0,4.08,2020.0,1.0,2020-01,,,,
2020-01-01,Segundo,Região de Saúde do Centro,"Unidade Local de Saúde de Viseu Dão-Lafões, E.P.E.",5.0,"Transtornos mentais, comportamentais e de neurodesenvolvimento",1.31,1902.0,0.0,2020.0,1.0,2020-01,,,,
2020-01-01,Segundo,Região de Saúde do Centro,"Unidade Local de Saúde de Viseu Dão-Lafões, E.P.E.",10.0,Doenças do aparelho respiratório,9.44,4171.0,25.82,2020.0,1.0,2020-01,,,,
2020-01-01,Segundo,Região de Saúde do Centro,"Unidade Local de Saúde de Viseu Dão-Lafões, E.P.E.",21.0,Fatores que influenciam o estado de saúde e o contacto com os serviços de saúde,12.43,2779.0,2.88,2020.0,1.0,2020-01,,,,
2020-01-01,Segundo,Região de Saúde do Centro,"Unidade Local de Saúde do Baixo Mondego, E.P.E.",1.0,Algumas doenças infecciosas e parasitárias,4.52,528.0,30.61,2020.0,1.0,2020-01,,,,
2020-01-01,Segundo,Região de Saúde do Centro,"Unidade Local de Saúde do Baixo Mondego, E.P.E.",9.0,Doenças do aparelho circulatório,15.14,1540.0,14.02,2020.0,1.0,2020-01,,,,
2020-01-01,Terceiro,Região de Saúde do Centro,"Unidade Local de Saúde da Cova da Beira, E.P.E.",19.0,"Lesões, envenenamento e algumas outras consequências de causas externas",8.53,2625.0,3.17,2020.0,1.0,2020-01,,,,
2020-01-01,Terceiro,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, E.P.E.",2.0,Neoplasias,7.54,1615.0,28.89,2020.0,1.0,2020-01,,,,
2020-01-01,Terceiro,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, E.P.E.",4.0,"Doenças endócrinas, nutricionais e metabólicas",1.84,525.0,15.15,2020.0,1.0,2020-01,,,,
2020-01-01,Terceiro,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, E.P.E.",15.0,"Gravidez, parto e puerpério",8.49,549.0,0.0,2020.0,1.0,2020-01,,,,
2020-01-01,Terceiro,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, E.P.E.",16.0,Algumas condições originadas no período perinatal,0.34,24.0,0.0,2020.0,1.0,2020-01,,,,
2020-01-01,Terceiro,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, E.P.E.",19.0,"Lesões, envenenamento e algumas outras consequências de causas externas",11.56,2397.0,3.38,2020.0,1.0,2020-01,,,,
2020-01-01,Terceiro,Região de Saúde do Centro,"Unidade Local de Saúde da Região de Aveiro, E.P.E.",2.0,Neoplasias,7.36,2842.0,23.89,2020.0,1.0,2020-01,,,,
2020-01-01,Terceiro,Região de Saúde do Centro,"Unidade Local de Saúde da Região de Aveiro, E.P.E.",5.0,"Transtornos mentais, comportamentais e de neurodesenvolvimento",2.94,3052.0,5.13,2020.0,1.0,2020-01,,,,
2020-01-01,Terceiro,Região de Saúde do Centro,"Unidade Local de Saúde da Região de Aveiro, E.P.E.",9.0,Doenças do aparelho circulatório,12.29,4825.0,11.25,2020.0,1.0,2020-01,,,,
2020-01-01,Terceiro,Região de Saúde do Centro,"Unidade Local de Saúde da Região de Aveiro, E.P.E.",16.0,Algumas condições originadas no período perinatal,0.43,145.0,0.0,2020.0,1.0,2020-01,,,,
2020-01-01,Terceiro,Região de Saúde do Centro,"Unidade Local de Saúde da Região de Aveiro, E.P.E.",22.0,Códigos para fins especiais,0.38,110.0,6.67,2020.0,1.0,2020-01,,,,
2020-01-01,Terceiro,Região de Saúde do Centro,"Unidade Local de Saúde da Região de Leiria, E.P.E.",1.0,Algumas doenças infecciosas e parasitárias,3.42,2235.0,22.22,2020.0,1.0,2020-01,,,,
2020-01-01,Primeiro,Região de Saúde do Norte,"Unidade Local de Saúde do Médio Ave, E.P.E.",13.0,Doenças do aparelho osteomuscular e do tecido conjuntivo,0.74,236.0,0.0,2020.0,1.0,2020-01,,,,
2020-01-01,Primeiro,Região de Saúde do Norte,"Unidade Local de Saúde do Médio Ave, E.P.E.",14.0,Doenças do aparelho geniturinário,6.6,1189.0,9.32,2020.0,1.0,2020-01,,,,
2020-01-01,Primeiro,Região de Saúde do Norte,"Unidade Local de Saúde do Médio Ave, E.P.E.",15.0,"Gravidez, parto e puerpério",13.33,1006.0,0.0,2020.0,1.0,2020-01,,,,
2020-01-01,Primeiro,Região de Saúde do Norte,"Unidade Local de Saúde do Nordeste, E.P.E.",3.0,Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários,0.81,217.0,4.55,2020.0,1.0,2020-01,,,,
2020-01-01,Primeiro,Região de Saúde do Norte,"Unidade Local de Saúde do Nordeste, E.P.E.",6.0,Doenças do sistema nervoso,1.7,551.0,15.22,2020.0,1.0,2020-01,,,,
2020-01-01,Primeiro,Região de Saúde do Norte,"Unidade Local de Saúde do Nordeste, E.P.E.",12.0,Doenças da pele e do tecido subcutâneo,0.74,148.0,0.0,2020.0,1.0,2020-01,,,,
2020-01-01,Primeiro,Região de Saúde do Norte,"Unidade Local de Saúde do Nordeste, E.P.E.",13.0,Doenças do aparelho osteomuscular e do tecido conjuntivo,8.44,1409.0,0.44,2020.0,1.0,2020-01,,,,
2020-01-01,Primeiro,Região de Saúde do Norte,"Unidade Local de Saúde do Nordeste, E.P.E.",15.0,"Gravidez, parto e puerpério",4.76,366.0,0.0,2020.0,1.0,2020-01,,,,
2020-01-01,Primeiro,Região de Saúde do Norte,"Unidade Local de Saúde do Tâmega e Sousa, E.P.E.",3.0,Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários,0.37,176.0,14.29,2020.0,1.0,2020-01,,,,
2020-01-01,Primeiro,Região de Saúde do Norte,"Unidade Local de Saúde do Tâmega e Sousa, E.P.E.",6.0,Doenças do sistema nervoso,1.49,946.0,13.1,2020.0,1.0,2020-01,,,,
2020-01-01,Primeiro,Região de Saúde do Norte,"Unidade Local de Saúde do Tâmega e Sousa, E.P.E.",9.0,Doenças do aparelho circulatório,13.64,9086.0,11.8,2020.0,1.0,2020-01,,,,
