"id";"title";"slug";"acronym";"url";"organization";"organization_id";"owner";"owner_id";"description";"frequency";"license";"temporal_coverage.start";"temporal_coverage.end";"spatial.granularity";"spatial.zones";"featured";"created_at";"last_modified";"tags";"archived";"resources_count";"main_resources_count";"resources_formats";"harvest.backend";"harvest.domain";"harvest.created_at";"harvest.modified_at";"harvest.remote_url";"quality_score";"metric.discussions";"metric.reuses";"metric.reuses_by_months";"metric.followers";"metric.followers_by_months";"metric.views";"metric.resources_downloads"
"649d01ca078190ea9c217703";"Cirurgias em Ambulatório";"cirurgias-em-ambulatorio";"";"https://dados.gov.pt/pt/datasets/cirurgias-em-ambulatorio/";"Administração Central do Sistema de Saúde (ACSS), I.P";"5b03f67bc8d8c939b9576397";"";"";"Percentagem de cirurgias realizadas em ambulatório no total de cirurgias programadas (GDH) - para procedimentos ambulatorizáveis.";"unknown";"Creative Commons Attribution 4.0 - CC BY 4.0";"";"";"";"";False;"2023-06-29T05:00:10.944000";"2023-06-29T05:00:10.944000";"cirurgia,cirurgias-em-ambulatorio,qualidade,transparencia-sns-gov-pt";False;4;4;"json,shp,csv";"";"";"";"";"";"0.56";0;0;"{'2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0, '2025-09': 0, '2025-10': 0, '2025-11': 0, '2025-12': 0}";0;0;0;0
"649d01ca078190ea9d217706";"Intervenções Cirúrgicas nos Cuidados de Saúde Hospitalares";"intervencoes-cirurgicas-nos-cuidados-de-saude-hospitalares";"";"https://dados.gov.pt/pt/datasets/intervencoes-cirurgicas-nos-cuidados-de-saude-hospitalares/";"Administração Central do Sistema de Saúde (ACSS), I.P";"5b03f67bc8d8c939b9576397";"";"";"Monitorizar mensalmente o número de intervenções cirúrgicas nos cuidados hospitalares, para os diferentes tipos: Programadas, Programadas Ambulatórias, Programadas Convencionais e Urgentes.

Intervenção Cirúrgica: Um ou mais atos cirúrgicos com o mesmo objectivo terapêutico e/ou diagnóstico, realizado(s) por cirurgião(ões) em sala operatória, na mesma sessão.

**Métricas:**

  * **Intervenções Cirúrgicas Convencionais:** programadas efectuadas em regime de internamento.
  * **Intervenções Cirúrgicas de Ambulatório:** programadas, efectuadas em regime de admissão e alta num período inferior a 24 horas.
  * **Intervenções Cirúrgicas Urgentes:** decorrente de admissão urgente ou de situação de saúde percepcionada como critica, no âmbito de internamento.
  * **Intervenções Cirúrgicas Programadas:** decorrente de admissão programada.";"unknown";"Creative Commons Attribution 4.0 - CC BY 4.0";"";"";"";"";False;"2023-06-29T05:00:10.811000";"2023-06-29T05:00:10.811000";"acesso,cirurgia,cuidados,intervencao,transparencia-sns-gov-pt";False;4;4;"json,shp,csv";"";"";"";"";"";"0.56";0;0;"{'2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0, '2025-09': 0, '2025-10': 0, '2025-11': 0, '2025-12': 0}";0;0;0;0
"649d01ca078190ea91217707";"Prestadores de Serviços Médicos";"prestadores-de-servicos-medicos-1";"";"https://dados.gov.pt/pt/datasets/prestadores-de-servicos-medicos-1/";"Administração Central do Sistema de Saúde (ACSS), I.P";"5b03f67bc8d8c939b9576397";"";"";"Acompanhar a prestação de serviços médicos, apresentando as horas prestadas e encargos cobrados.

Detalha as prestações de serviços nas instituições do SNS, seja a título individual ou através de empresas de prestações de serviços, com indicação das horas prestadas no 1.º semestre de 2016 e respetivos encargos.

Os dados recolhidos foram alvo de tratamento sendo necessário uma distribuição proporcional nos casos em que os registos estavam incompletos. Persistem ainda alguns casos em que não foi possível recolher dados.

 **Observações:** Os valores indicados para o volume de horas de prestações de serviços para as instituições CH Setúbal, CH S.João, Inst. Oft. Gama Pinto, ULS Alto Minho, ULS Matosinhos, H Dist. Santarém **,** CH Barreiro-Montijo e CH Cova da Beira não incluem todas as horas relativas a prestações de serviços contratadas por ato (por ausência de informação relativa a nº de horas em alguns casos), estando no entanto considerados os respetivos encargos dessas mesmas prestações de serviços.

 **Data de extração:**  20 dezembro 2017.";"unknown";"Creative Commons Attribution 4.0 - CC BY 4.0";"";"";"";"";False;"2023-06-29T05:00:10.734000";"2023-06-29T05:00:10.734000";"contratacao,eficiencia,empresas,prestacao-de-servicos-medicos,prestadores,transparencia-sns-gov-pt";False;4;4;"json,shp,csv";"";"";"";"";"";"0.56";0;0;"{'2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0, '2025-09': 0, '2025-10': 0, '2025-11': 0, '2025-12': 0}";0;0;0;0
"649d01ca078190ea92217701";"Consultas Médicas Hospitalares";"consultas-medicas-hospitalares";"";"https://dados.gov.pt/pt/datasets/consultas-medicas-hospitalares/";"Administração Central do Sistema de Saúde (ACSS), I.P";"5b03f67bc8d8c939b9576397";"";"";"Monitorizar mensalmente o número de consultas médicas hospitalares em território nacional, por entidade hospitalar.

Primeiras Consultas médicas são as consultas externas em que o utente é examinado pela primeira vez num serviço de especialidade, referente a um episódio clínico.

Consultas Subsequentes são as consultas médicas para verificação da evolução do estado de saúde do doente, prescrição terapêutica e/ou preventiva, tendo como referência a primeira consulta.

 **Observações:** Não inclui as consultas de medicina no trabalho. Os dados referentes ao mês n-1 publicados no dia 26 do mês n.";"unknown";"Creative Commons Attribution 4.0 - CC BY 4.0";"";"";"";"";False;"2023-06-29T05:00:10.672000";"2023-06-29T05:00:10.672000";"acesso,consultas-medicas,cuidados-hospitalares,transparencia-sns-gov-pt";False;4;4;"json,shp,csv";"";"";"";"";"";"0.56";0;0;"{'2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0, '2025-09': 0, '2025-10': 0, '2025-11': 0, '2025-12': 0}";0;0;0;0
"649d01c9078190ea9c217702";"Utentes Inscritos em Cuidados de Saúde Primários";"utentes-inscritos-em-cuidados-de-saude-primarios";"";"https://dados.gov.pt/pt/datasets/utentes-inscritos-em-cuidados-de-saude-primarios/";"Administração Central do Sistema de Saúde (ACSS), I.P";"5b03f67bc8d8c939b9576397";"";"";"Monitoriza a informação dos utentes inscritos por ARS e a nível Nacional (Portugal Continental), para utentes inscritos em unidades funcionais dos ACES. 

O BI do indicador está disponível em [https://sdm.min-saude.pt/bi.aspx?id=2&cl](https://sdm.min-saude.pt/bi.aspx?id=2&cl).

 **Observações:** Não inclui informação referente a utentes inscritos em ""postos empresa"".";"unknown";"Creative Commons Attribution 4.0 - CC BY 4.0";"";"";"";"";False;"2023-06-29T05:00:09.429000";"2023-06-29T05:00:09.429000";"acesso,cuidados-de-saude-primarios,medicos-de-familia,transparencia-sns-gov-pt,utentes";False;4;4;"json,shp,csv";"";"";"";"";"";"0.56";0;0;"{'2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0, '2025-09': 0, '2025-10': 0, '2025-11': 0, '2025-12': 0}";0;0;0;0
"649d01c9078190ea96217701";"Morbilidade e Mortalidade Hospitalar para Diabetes";"morbilidade-e-mortalidade-hospitalar-para-diabetes-1";"";"https://dados.gov.pt/pt/datasets/morbilidade-e-mortalidade-hospitalar-para-diabetes-1/";"Administração Central do Sistema de Saúde (ACSS), I.P";"5b03f67bc8d8c939b9576397";"";"";"Evolução trimestral da taxa de internamento e taxa de mortalidade, por instituição, diabetes

Taxa de internamento e Taxa de mortalidade, considerando:

  * Ano e Trimestre de alta; 
  * Região da Inst. Hospitalar e Instituição Hospitalar;
  * Diabetes.



  


 **Observações:**  Calculado tendo em consideração a portaria 207/2017, o âmbito de análise de Estatística e tipo de produção Internamento. Os indicadores apresentados correspondem a indicadores contratualizados com as ULS e reconhecidos internacionalmente como sendo internamentos evitáveis.

Os dados resultam da codificação clínica efetuada pelos hospitais em ICD9CM/ICD10CM/PCS após a alta do doente, podendo existir em algumas instituições maior atraso nesta codificação (o que pode resultar numa diminuição temporária dos episódios reportados). Os registos administrativos e de codificação clínica são da exclusiva responsabilidade de cada instituição hospitalar. A codificação clínica ICD9CM/ICD10CM/PCS não corresponde à classificação de causas de morte, em sede de certificados de óbito.

As instituições apresentadas correspondem às instituições presentes no site de Benchmarking Hospitais da ACSS (Grupos B,C, D, E e F, https://benchmarking-acss.min-saude.pt/BH_Enquadramento/GrupoInstituicoes).";"unknown";"Creative Commons Attribution 4.0 - CC BY 4.0";"";"";"";"";False;"2023-06-29T05:00:09.398000";"2023-06-29T05:00:09.398000";"diabetes,internamento-hospitalar,morbilidade,mortalidade,saude-dos-portugueses,transparencia-sns-gov-pt";False;2;2;"json,csv";"";"";"";"";"";"0.56";0;0;"{'2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0, '2025-09': 0, '2025-10': 0, '2025-11': 0, '2025-12': 0}";0;0;0;0
"649d01c8078190ea93217706";"Atividade nos Cuidados Saúde Primários - Monitorização Sazonal";"atividade-nos-cuidados-saude-primarios-monitorizacao-sazonal-1";"";"https://dados.gov.pt/pt/datasets/atividade-nos-cuidados-saude-primarios-monitorizacao-sazonal-1/";"Administração Central do Sistema de Saúde (ACSS), I.P";"5b03f67bc8d8c939b9576397";"";"";"Monitorizar a evolução, o acesso, e a procura nos Cuidados de Saúde Primários e disponibilizar a informação em tempo útil.

 **Observações:**

  * Não foram consideradas as consultas registadas em MedicineOne.
  * Os dados relativos a este indicador são de caráter temporário para o mês publicado mais recente. Por regra, no último dia do mês N+1 (N=""último mês publicado""), existirá uma atualização dos mesmos, sendo provável o seu aumento a nível nacional.";"unknown";"Creative Commons Attribution 4.0 - CC BY 4.0";"";"";"";"";False;"2023-06-29T05:00:08.742000";"2023-06-29T05:00:08.742000";"acesso,csp,transparencia-sns-gov-pt";False;2;2;"json,csv";"";"";"";"";"";"0.56";0;0;"{'2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0, '2025-09': 0, '2025-10': 0, '2025-11': 0, '2025-12': 0}";0;0;0;0
"649d01c7078190ea9521770e";"Primeiras Consultas em Tempo Adequado";"primeiras-consultas-em-tempo-adequado";"";"https://dados.gov.pt/pt/datasets/primeiras-consultas-em-tempo-adequado/";"Administração Central do Sistema de Saúde (ACSS), I.P";"5b03f67bc8d8c939b9576397";"";"";"Percentagem de primeiras consultas realizadas em tempo adequado.

O objetivo deste indicador é apresentar a proporção de utentes referenciados (CTH) para a primeira consulta externa (CE), com consulta externa prestada dentro do Tempo Máximo de Resposta Garantido (TMRG), no total de primeiras consultas externas prestadas no período em análise.";"unknown";"Creative Commons Attribution 4.0 - CC BY 4.0";"";"";"";"";False;"2023-06-29T05:00:07.630000";"2023-06-29T05:00:07.630000";"acesso,consulta-externa,consultas,transparencia-sns-gov-pt";False;4;4;"json,shp,csv";"";"";"";"";"";"0.56";0;0;"{'2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0, '2025-09': 0, '2025-10': 0, '2025-11': 0, '2025-12': 0}";0;0;0;0
"649d01c7078190ea97217700";"Demora Média antes da Cirurgia";"demora-media-antes-da-cirurgia";"";"https://dados.gov.pt/pt/datasets/demora-media-antes-da-cirurgia/";"Administração Central do Sistema de Saúde (ACSS), I.P";"5b03f67bc8d8c939b9576397";"";"";"Acompanhar os valores de Demora Média antes da Cirurgia.";"unknown";"Creative Commons Attribution 4.0 - CC BY 4.0";"";"";"";"";False;"2023-06-29T05:00:07.620000";"2023-06-29T05:00:07.620000";"cirurgia,demora-media,eficiencia,transparencia-sns-gov-pt";False;4;4;"json,shp,csv";"";"";"";"";"";"0.44";0;0;"{'2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0, '2025-09': 0, '2025-10': 0, '2025-11': 0, '2025-12': 0}";0;0;0;0
"649d01c7078190ea98217705";"Contactos de Enfermagem nos Cuidados de Saúde Primários";"contactos-de-enfermagem-nos-cuidados-de-saude-primarios-1";"";"https://dados.gov.pt/pt/datasets/contactos-de-enfermagem-nos-cuidados-de-saude-primarios-1/";"Administração Central do Sistema de Saúde (ACSS), I.P";"5b03f67bc8d8c939b9576397";"";"";"Evolução dos contactos de enfermagem realizados nos cuidados de saúde primários.

 **Fórmula:**

  1. Nº de contactos de enfermagem presenciais: soma dos contactos de enfermagem presenciais por ACES. 
  2. Nº de contactos de enfermagem não presenciais: soma dos contactos de enfermagem não presenciais por ACES



**Observações:**

  * Devido a questões técnicas, para os registos de novembro 2016, os dados não incluem registos da Região de Saúde LVT. Os dados fornecidos dizem respeito aos sistemas SAM/Sclinico e Medicine 1. As regras de contabilização são as seguintes: só são contabilizados contactos a utentes e apenas se contabiliza um contacto por utente/dia/profissional/local.
  * Os dados relativos a este indicador são de caráter temporário para o mês publicado mais recente. Por regra, no último dia do mês N+1 (N=""último mês publicado""), existirá uma atualização dos mesmos, sendo provável o seu aumento a nível nacional.";"unknown";"Creative Commons Attribution 4.0 - CC BY 4.0";"";"";"";"";False;"2023-06-29T05:00:07.529000";"2023-06-29T05:00:07.528000";"acesso,cuidados-de-saude-primarios,enfermagem,transparencia-sns-gov-pt";False;4;4;"json,shp,csv";"";"";"";"";"";"0.56";0;0;"{'2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0, '2025-09': 0, '2025-10': 0, '2025-11': 0, '2025-12': 0}";0;0;0;0
