freq;freq_label;unit;unit_label;sector;sector_label;na_item;na_item_label;geo;geo_label;time;time_label;value
A;Annual;MIO_EUR;Million euro;S1;Total economy;D11PAY;Wages and salaries, expenditure;PT;Portugal;1975;1975;
A;Annual;MIO_NAC;Million units of national currency;S1;Total economy;D11PAY;Wages and salaries, expenditure;PT;Portugal;1975;1975;
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S1;Total economy;D11PAY;Wages and salaries, expenditure;PT;Portugal;1975;1975;
A;Annual;MIO_EUR;Million euro;S13;General government;D11PAY;Wages and salaries, expenditure;PT;Portugal;1975;1975;
A;Annual;MIO_NAC;Million units of national currency;S13;General government;D11PAY;Wages and salaries, expenditure;PT;Portugal;1975;1975;
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S13;General government;D11PAY;Wages and salaries, expenditure;PT;Portugal;1975;1975;
A;Annual;MIO_EUR;Million euro;S1311;Central government;D11PAY;Wages and salaries, expenditure;PT;Portugal;1975;1975;
A;Annual;MIO_NAC;Million units of national currency;S1311;Central government;D11PAY;Wages and salaries, expenditure;PT;Portugal;1975;1975;
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S1311;Central government;D11PAY;Wages and salaries, expenditure;PT;Portugal;1975;1975;
A;Annual;MIO_EUR;Million euro;S1312;State government;D11PAY;Wages and salaries, expenditure;PT;Portugal;1975;1975;
A;Annual;MIO_NAC;Million units of national currency;S1312;State government;D11PAY;Wages and salaries, expenditure;PT;Portugal;1975;1975;
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S1312;State government;D11PAY;Wages and salaries, expenditure;PT;Portugal;1975;1975;
A;Annual;MIO_EUR;Million euro;S1313;Local government;D11PAY;Wages and salaries, expenditure;PT;Portugal;1975;1975;
A;Annual;MIO_NAC;Million units of national currency;S1313;Local government;D11PAY;Wages and salaries, expenditure;PT;Portugal;1975;1975;
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S1313;Local government;D11PAY;Wages and salaries, expenditure;PT;Portugal;1975;1975;
A;Annual;MIO_EUR;Million euro;S1314;Social security funds;D11PAY;Wages and salaries, expenditure;PT;Portugal;1975;1975;
A;Annual;MIO_NAC;Million units of national currency;S1314;Social security funds;D11PAY;Wages and salaries, expenditure;PT;Portugal;1975;1975;
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S1314;Social security funds;D11PAY;Wages and salaries, expenditure;PT;Portugal;1975;1975;
A;Annual;MIO_EUR;Million euro;S212;Institutions of the EU;D11PAY;Wages and salaries, expenditure;PT;Portugal;1975;1975;
A;Annual;MIO_NAC;Million units of national currency;S212;Institutions of the EU;D11PAY;Wages and salaries, expenditure;PT;Portugal;1975;1975;
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S212;Institutions of the EU;D11PAY;Wages and salaries, expenditure;PT;Portugal;1975;1975;
A;Annual;MIO_EUR;Million euro;S1;Total economy;D12PAY;Employers' social contributions, expenditures;PT;Portugal;1975;1975;
A;Annual;MIO_NAC;Million units of national currency;S1;Total economy;D12PAY;Employers' social contributions, expenditures;PT;Portugal;1975;1975;
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S1;Total economy;D12PAY;Employers' social contributions, expenditures;PT;Portugal;1975;1975;
A;Annual;MIO_EUR;Million euro;S13;General government;D12PAY;Employers' social contributions, expenditures;PT;Portugal;1975;1975;
A;Annual;MIO_NAC;Million units of national currency;S13;General government;D12PAY;Employers' social contributions, expenditures;PT;Portugal;1975;1975;
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S13;General government;D12PAY;Employers' social contributions, expenditures;PT;Portugal;1975;1975;
A;Annual;MIO_EUR;Million euro;S1311;Central government;D12PAY;Employers' social contributions, expenditures;PT;Portugal;1975;1975;
A;Annual;MIO_NAC;Million units of national currency;S1311;Central government;D12PAY;Employers' social contributions, expenditures;PT;Portugal;1975;1975;
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S1311;Central government;D12PAY;Employers' social contributions, expenditures;PT;Portugal;1975;1975;
A;Annual;MIO_EUR;Million euro;S1312;State government;D12PAY;Employers' social contributions, expenditures;PT;Portugal;1975;1975;
A;Annual;MIO_NAC;Million units of national currency;S1312;State government;D12PAY;Employers' social contributions, expenditures;PT;Portugal;1975;1975;
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S1312;State government;D12PAY;Employers' social contributions, expenditures;PT;Portugal;1975;1975;
A;Annual;MIO_EUR;Million euro;S1313;Local government;D12PAY;Employers' social contributions, expenditures;PT;Portugal;1975;1975;
A;Annual;MIO_NAC;Million units of national currency;S1313;Local government;D12PAY;Employers' social contributions, expenditures;PT;Portugal;1975;1975;
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S1313;Local government;D12PAY;Employers' social contributions, expenditures;PT;Portugal;1975;1975;
A;Annual;MIO_EUR;Million euro;S1314;Social security funds;D12PAY;Employers' social contributions, expenditures;PT;Portugal;1975;1975;
A;Annual;MIO_NAC;Million units of national currency;S1314;Social security funds;D12PAY;Employers' social contributions, expenditures;PT;Portugal;1975;1975;
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S1314;Social security funds;D12PAY;Employers' social contributions, expenditures;PT;Portugal;1975;1975;
A;Annual;MIO_EUR;Million euro;S212;Institutions of the EU;D12PAY;Employers' social contributions, expenditures;PT;Portugal;1975;1975;
A;Annual;MIO_NAC;Million units of national currency;S212;Institutions of the EU;D12PAY;Employers' social contributions, expenditures;PT;Portugal;1975;1975;
