freq;freq_label;unit;unit_label;sector;sector_label;na_item;na_item_label;geo;geo_label;time;time_label;value
A;Annual;MIO_EUR;Million euro;S1;Total economy;IGL_F4_EA20;Intergovernmental lending within EA20 (from 2023);PT;Portugal;1995;1995;
A;Annual;MIO_NAC;Million units of national currency;S1;Total economy;IGL_F4_EA20;Intergovernmental lending within EA20 (from 2023);PT;Portugal;1995;1995;
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S1;Total economy;IGL_F4_EA20;Intergovernmental lending within EA20 (from 2023);PT;Portugal;1995;1995;68496.1
A;Annual;MIO_EUR;Million euro;S13;General government;IGL_F4_EA20;Intergovernmental lending within EA20 (from 2023);PT;Portugal;1995;1995;81418.9
A;Annual;MIO_NAC;Million units of national currency;S13;General government;IGL_F4_EA20;Intergovernmental lending within EA20 (from 2023);PT;Portugal;1995;1995;89892.4
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S13;General government;IGL_F4_EA20;Intergovernmental lending within EA20 (from 2023);PT;Portugal;1995;1995;100194.7
A;Annual;MIO_EUR;Million euro;S1311;Central government;IGL_F4_EA20;Intergovernmental lending within EA20 (from 2023);PT;Portugal;1995;1995;
A;Annual;MIO_NAC;Million units of national currency;S1311;Central government;IGL_F4_EA20;Intergovernmental lending within EA20 (from 2023);PT;Portugal;1995;1995;
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S1311;Central government;IGL_F4_EA20;Intergovernmental lending within EA20 (from 2023);PT;Portugal;1995;1995;
A;Annual;MIO_EUR;Million euro;S1312;State government;IGL_F4_EA20;Intergovernmental lending within EA20 (from 2023);PT;Portugal;1995;1995;
A;Annual;MIO_NAC;Million units of national currency;S1312;State government;IGL_F4_EA20;Intergovernmental lending within EA20 (from 2023);PT;Portugal;1995;1995;
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S1312;State government;IGL_F4_EA20;Intergovernmental lending within EA20 (from 2023);PT;Portugal;1995;1995;
A;Annual;MIO_EUR;Million euro;S1313;Local government;IGL_F4_EA20;Intergovernmental lending within EA20 (from 2023);PT;Portugal;1995;1995;
A;Annual;MIO_NAC;Million units of national currency;S1313;Local government;IGL_F4_EA20;Intergovernmental lending within EA20 (from 2023);PT;Portugal;1995;1995;
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S1313;Local government;IGL_F4_EA20;Intergovernmental lending within EA20 (from 2023);PT;Portugal;1995;1995;
