freq;freq_label;unit;unit_label;icha11_hc;icha11_hc_label;geo;geo_label;time;time_label;value
A;Annual;MIO_EUR;Million euro;TOT_HC;Current health care expenditure (CHE);PT;Portugal;1992;1992;278.11
A;Annual;EUR_HAB;Euro per inhabitant;TOT_HC;Current health care expenditure (CHE);PT;Portugal;1992;1992;325.17
A;Annual;MIO_NAC;Million units of national currency;TOT_HC;Current health care expenditure (CHE);PT;Portugal;1992;1992;423.08
A;Annual;NAC_HAB;National currency per inhabitant;TOT_HC;Current health care expenditure (CHE);PT;Portugal;1992;1992;408.53
A;Annual;MIO_PPS;Million purchasing power standards (PPS);TOT_HC;Current health care expenditure (CHE);PT;Portugal;1992;1992;391.08
A;Annual;PPS_HAB;Purchasing power standard (PPS) per inhabitant;TOT_HC;Current health care expenditure (CHE);PT;Portugal;1992;1992;441.61
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);TOT_HC;Current health care expenditure (CHE);PT;Portugal;1992;1992;438.83
A;Annual;PC_CHE;Percentual share of total current health expenditure (CHE);TOT_HC;Current health care expenditure (CHE);PT;Portugal;1992;1992;493.41
A;Annual;MIO_EUR;Million euro;HC1_2;Curative care and rehabilitative care;PT;Portugal;1992;1992;492.82
A;Annual;EUR_HAB;Euro per inhabitant;HC1_2;Curative care and rehabilitative care;PT;Portugal;1992;1992;541.45
A;Annual;MIO_NAC;Million units of national currency;HC1_2;Curative care and rehabilitative care;PT;Portugal;1992;1992;565.78
A;Annual;NAC_HAB;National currency per inhabitant;HC1_2;Curative care and rehabilitative care;PT;Portugal;1992;1992;634.12
A;Annual;MIO_PPS;Million purchasing power standards (PPS);HC1_2;Curative care and rehabilitative care;PT;Portugal;1992;1992;745.45
A;Annual;PPS_HAB;Purchasing power standard (PPS) per inhabitant;HC1_2;Curative care and rehabilitative care;PT;Portugal;1992;1992;920.69
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);HC1_2;Curative care and rehabilitative care;PT;Portugal;1992;1992;938.57
A;Annual;PC_CHE;Percentual share of total current health expenditure (CHE);HC1_2;Curative care and rehabilitative care;PT;Portugal;1992;1992;1211.17
A;Annual;MIO_EUR;Million euro;HC1;Curative care;PT;Portugal;1992;1992;1414.95
A;Annual;EUR_HAB;Euro per inhabitant;HC1;Curative care;PT;Portugal;1992;1992;1576.78
A;Annual;MIO_NAC;Million units of national currency;HC1;Curative care;PT;Portugal;1992;1992;
A;Annual;NAC_HAB;National currency per inhabitant;HC1;Curative care;PT;Portugal;1992;1992;
A;Annual;MIO_PPS;Million purchasing power standards (PPS);HC1;Curative care;PT;Portugal;1992;1992;
A;Annual;PPS_HAB;Purchasing power standard (PPS) per inhabitant;HC1;Curative care;PT;Portugal;1992;1992;
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);HC1;Curative care;PT;Portugal;1992;1992;
A;Annual;PC_CHE;Percentual share of total current health expenditure (CHE);HC1;Curative care;PT;Portugal;1992;1992;
A;Annual;MIO_EUR;Million euro;HC11_21;Inpatient curative and rehabilitative care;PT;Portugal;1992;1992;
A;Annual;EUR_HAB;Euro per inhabitant;HC11_21;Inpatient curative and rehabilitative care;PT;Portugal;1992;1992;
A;Annual;MIO_NAC;Million units of national currency;HC11_21;Inpatient curative and rehabilitative care;PT;Portugal;1992;1992;
A;Annual;NAC_HAB;National currency per inhabitant;HC11_21;Inpatient curative and rehabilitative care;PT;Portugal;1992;1992;
A;Annual;MIO_PPS;Million purchasing power standards (PPS);HC11_21;Inpatient curative and rehabilitative care;PT;Portugal;1992;1992;
A;Annual;PPS_HAB;Purchasing power standard (PPS) per inhabitant;HC11_21;Inpatient curative and rehabilitative care;PT;Portugal;1992;1992;
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);HC11_21;Inpatient curative and rehabilitative care;PT;Portugal;1992;1992;
A;Annual;PC_CHE;Percentual share of total current health expenditure (CHE);HC11_21;Inpatient curative and rehabilitative care;PT;Portugal;1992;1992;
A;Annual;MIO_EUR;Million euro;HC11;Inpatient curative care;PT;Portugal;1992;1992;
A;Annual;EUR_HAB;Euro per inhabitant;HC11;Inpatient curative care;PT;Portugal;1992;1992;
A;Annual;MIO_NAC;Million units of national currency;HC11;Inpatient curative care;PT;Portugal;1992;1992;
A;Annual;NAC_HAB;National currency per inhabitant;HC11;Inpatient curative care;PT;Portugal;1992;1992;
A;Annual;MIO_PPS;Million purchasing power standards (PPS);HC11;Inpatient curative care;PT;Portugal;1992;1992;
A;Annual;PPS_HAB;Purchasing power standard (PPS) per inhabitant;HC11;Inpatient curative care;PT;Portugal;1992;1992;
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);HC11;Inpatient curative care;PT;Portugal;1992;1992;643.17
A;Annual;PC_CHE;Percentual share of total current health expenditure (CHE);HC11;Inpatient curative care;PT;Portugal;1992;1992;630.64
A;Annual;MIO_EUR;Million euro;HC12_22;Day curative and rehabilitative care;PT;Portugal;1992;1992;655.04
A;Annual;EUR_HAB;Euro per inhabitant;HC12_22;Day curative and rehabilitative care;PT;Portugal;1992;1992;695.43
A;Annual;MIO_NAC;Million units of national currency;HC12_22;Day curative and rehabilitative care;PT;Portugal;1992;1992;711.39
A;Annual;NAC_HAB;National currency per inhabitant;HC12_22;Day curative and rehabilitative care;PT;Portugal;1992;1992;746.47
A;Annual;MIO_PPS;Million purchasing power standards (PPS);HC12_22;Day curative and rehabilitative care;PT;Portugal;1992;1992;785.78
A;Annual;PPS_HAB;Purchasing power standard (PPS) per inhabitant;HC12_22;Day curative and rehabilitative care;PT;Portugal;1992;1992;851.06
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);HC12_22;Day curative and rehabilitative care;PT;Portugal;1992;1992;919.79
A;Annual;PC_CHE;Percentual share of total current health expenditure (CHE);HC12_22;Day curative and rehabilitative care;PT;Portugal;1992;1992;968.7
A;Annual;MIO_EUR;Million euro;HC12;Day curative care;PT;Portugal;1992;1992;1081.82
A;Annual;EUR_HAB;Euro per inhabitant;HC12;Day curative care;PT;Portugal;1992;1992;1152.21
A;Annual;MIO_NAC;Million units of national currency;HC12;Day curative care;PT;Portugal;1992;1992;1285.44
A;Annual;NAC_HAB;National currency per inhabitant;HC12;Day curative care;PT;Portugal;1992;1992;1468.41
A;Annual;MIO_PPS;Million purchasing power standards (PPS);HC12;Day curative care;PT;Portugal;1992;1992;
A;Annual;PPS_HAB;Purchasing power standard (PPS) per inhabitant;HC12;Day curative care;PT;Portugal;1992;1992;
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);HC12;Day curative care;PT;Portugal;1992;1992;
A;Annual;PC_CHE;Percentual share of total current health expenditure (CHE);HC12;Day curative care;PT;Portugal;1992;1992;
A;Annual;MIO_EUR;Million euro;HC13_23;Outpatient curative and rehabilitative care;PT;Portugal;1992;1992;
A;Annual;EUR_HAB;Euro per inhabitant;HC13_23;Outpatient curative and rehabilitative care;PT;Portugal;1992;1992;
A;Annual;MIO_NAC;Million units of national currency;HC13_23;Outpatient curative and rehabilitative care;PT;Portugal;1992;1992;
A;Annual;NAC_HAB;National currency per inhabitant;HC13_23;Outpatient curative and rehabilitative care;PT;Portugal;1992;1992;
A;Annual;MIO_PPS;Million purchasing power standards (PPS);HC13_23;Outpatient curative and rehabilitative care;PT;Portugal;1992;1992;
A;Annual;PPS_HAB;Purchasing power standard (PPS) per inhabitant;HC13_23;Outpatient curative and rehabilitative care;PT;Portugal;1992;1992;
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);HC13_23;Outpatient curative and rehabilitative care;PT;Portugal;1992;1992;
A;Annual;PC_CHE;Percentual share of total current health expenditure (CHE);HC13_23;Outpatient curative and rehabilitative care;PT;Portugal;1992;1992;
A;Annual;MIO_EUR;Million euro;HC13;Outpatient curative care;PT;Portugal;1992;1992;
A;Annual;EUR_HAB;Euro per inhabitant;HC13;Outpatient curative care;PT;Portugal;1992;1992;
A;Annual;MIO_NAC;Million units of national currency;HC13;Outpatient curative care;PT;Portugal;1992;1992;1618.78
A;Annual;NAC_HAB;National currency per inhabitant;HC13;Outpatient curative care;PT;Portugal;1992;1992;1621.23
A;Annual;MIO_PPS;Million purchasing power standards (PPS);HC13;Outpatient curative care;PT;Portugal;1992;1992;1629.64
A;Annual;PPS_HAB;Purchasing power standard (PPS) per inhabitant;HC13;Outpatient curative care;PT;Portugal;1992;1992;1467.64
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);HC13;Outpatient curative care;PT;Portugal;1992;1992;1693.3
A;Annual;PC_CHE;Percentual share of total current health expenditure (CHE);HC13;Outpatient curative care;PT;Portugal;1992;1992;1728.18
A;Annual;MIO_EUR;Million euro;HC131;General outpatient curative care;PT;Portugal;1992;1992;1706.25
A;Annual;EUR_HAB;Euro per inhabitant;HC131;General outpatient curative care;PT;Portugal;1992;1992;1754.69
A;Annual;MIO_NAC;Million units of national currency;HC131;General outpatient curative care;PT;Portugal;1992;1992;1739.99
A;Annual;NAC_HAB;National currency per inhabitant;HC131;General outpatient curative care;PT;Portugal;1992;1992;1771.04
A;Annual;MIO_PPS;Million purchasing power standards (PPS);HC131;General outpatient curative care;PT;Portugal;1992;1992;1829.3
A;Annual;PPS_HAB;Purchasing power standard (PPS) per inhabitant;HC131;General outpatient curative care;PT;Portugal;1992;1992;1914.26
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);HC131;General outpatient curative care;PT;Portugal;1992;1992;1993.92
A;Annual;PC_CHE;Percentual share of total current health expenditure (CHE);HC131;General outpatient curative care;PT;Portugal;1992;1992;2079.97
A;Annual;MIO_EUR;Million euro;HC132;Dental outpatient curative care;PT;Portugal;1992;1992;2189.45
A;Annual;EUR_HAB;Euro per inhabitant;HC132;Dental outpatient curative care;PT;Portugal;1992;1992;2566.07
A;Annual;MIO_NAC;Million units of national currency;HC132;Dental outpatient curative care;PT;Portugal;1992;1992;2731.66
A;Annual;NAC_HAB;National currency per inhabitant;HC132;Dental outpatient curative care;PT;Portugal;1992;1992;2981.83
A;Annual;MIO_PPS;Million purchasing power standards (PPS);HC132;Dental outpatient curative care;PT;Portugal;1992;1992;
A;Annual;PPS_HAB;Purchasing power standard (PPS) per inhabitant;HC132;Dental outpatient curative care;PT;Portugal;1992;1992;
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);HC132;Dental outpatient curative care;PT;Portugal;1992;1992;
A;Annual;PC_CHE;Percentual share of total current health expenditure (CHE);HC132;Dental outpatient curative care;PT;Portugal;1992;1992;
A;Annual;MIO_EUR;Million euro;HC133;Specialised outpatient curative care;PT;Portugal;1992;1992;
A;Annual;EUR_HAB;Euro per inhabitant;HC133;Specialised outpatient curative care;PT;Portugal;1992;1992;
A;Annual;MIO_NAC;Million units of national currency;HC133;Specialised outpatient curative care;PT;Portugal;1992;1992;
A;Annual;NAC_HAB;National currency per inhabitant;HC133;Specialised outpatient curative care;PT;Portugal;1992;1992;
A;Annual;MIO_PPS;Million purchasing power standards (PPS);HC133;Specialised outpatient curative care;PT;Portugal;1992;1992;
A;Annual;PPS_HAB;Purchasing power standard (PPS) per inhabitant;HC133;Specialised outpatient curative care;PT;Portugal;1992;1992;
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);HC133;Specialised outpatient curative care;PT;Portugal;1992;1992;
A;Annual;PC_CHE;Percentual share of total current health expenditure (CHE);HC133;Specialised outpatient curative care;PT;Portugal;1992;1992;
A;Annual;MIO_EUR;Million euro;HC139;All other outpatient curative care n.e.c.;PT;Portugal;1992;1992;
A;Annual;EUR_HAB;Euro per inhabitant;HC139;All other outpatient curative care n.e.c.;PT;Portugal;1992;1992;
A;Annual;MIO_NAC;Million units of national currency;HC139;All other outpatient curative care n.e.c.;PT;Portugal;1992;1992;
A;Annual;NAC_HAB;National currency per inhabitant;HC139;All other outpatient curative care n.e.c.;PT;Portugal;1992;1992;
A;Annual;MIO_PPS;Million purchasing power standards (PPS);HC139;All other outpatient curative care n.e.c.;PT;Portugal;1992;1992;
