freq;freq_label;unit;unit_label;na_item;na_item_label;geo;geo_label;time;time_label;value
A;Annual;PC_EU27_2020_HAB_MEUR_CP;Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices;B1GQ;Gross domestic product at market prices;PT;Portugal;1975;1975;
A;Annual;PC_EU27_2020_HAB_MPPS_CP;Percentage of EU27 (from 2020) total per capita (based on million purchasing power standards, EU27 from 2020), current prices;B1GQ;Gross domestic product at market prices;PT;Portugal;1975;1975;
A;Annual;CP_EUR_HAB;Current prices, euro per capita;B1GQ;Gross domestic product at market prices;PT;Portugal;1975;1975;
A;Annual;CP_NAC_HAB;Current prices, units of national currency per capita;B1GQ;Gross domestic product at market prices;PT;Portugal;1975;1975;
A;Annual;CP_PPS_EU27_2020_HAB;Current prices, purchasing power standard (PPS, EU27 from 2020) per capita;B1GQ;Gross domestic product at market prices;PT;Portugal;1975;1975;
A;Annual;CLV_I20_HAB;Chain linked volumes, Index 2020=100, per capita;B1GQ;Gross domestic product at market prices;PT;Portugal;1975;1975;
A;Annual;CLV_I15_HAB;Chain linked volumes, Index 2015=100, per capita;B1GQ;Gross domestic product at market prices;PT;Portugal;1975;1975;
A;Annual;CLV_I10_HAB;Chain linked volumes, Index 2010=100, per capita;B1GQ;Gross domestic product at market prices;PT;Portugal;1975;1975;
A;Annual;CLV20_EUR_HAB;Chain linked volumes (2020), euro per capita;B1GQ;Gross domestic product at market prices;PT;Portugal;1975;1975;
A;Annual;CLV15_EUR_HAB;Chain linked volumes (2015), euro per capita;B1GQ;Gross domestic product at market prices;PT;Portugal;1975;1975;
A;Annual;CLV10_EUR_HAB;Chain linked volumes (2010), euro per capita;B1GQ;Gross domestic product at market prices;PT;Portugal;1975;1975;
A;Annual;CLV_PCH_PRE_HAB;Chain linked volumes, percentage change on previous period, per capita;B1GQ;Gross domestic product at market prices;PT;Portugal;1975;1975;
A;Annual;PC_EU27_2020_HAB_MEUR_CP;Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices;P3;Final consumption expenditure;PT;Portugal;1975;1975;74.7
A;Annual;PC_EU27_2020_HAB_MPPS_CP;Percentage of EU27 (from 2020) total per capita (based on million purchasing power standards, EU27 from 2020), current prices;P3;Final consumption expenditure;PT;Portugal;1975;1975;76.8
A;Annual;CP_EUR_HAB;Current prices, euro per capita;P3;Final consumption expenditure;PT;Portugal;1975;1975;80.9
A;Annual;CP_NAC_HAB;Current prices, units of national currency per capita;P3;Final consumption expenditure;PT;Portugal;1975;1975;79.3
A;Annual;CP_PPS_EU27_2020_HAB;Current prices, purchasing power standard (PPS, EU27 from 2020) per capita;P3;Final consumption expenditure;PT;Portugal;1975;1975;81.6
A;Annual;CLV_I20_HAB;Chain linked volumes, Index 2020=100, per capita;P3;Final consumption expenditure;PT;Portugal;1975;1975;77.8
A;Annual;CLV_I15_HAB;Chain linked volumes, Index 2015=100, per capita;P3;Final consumption expenditure;PT;Portugal;1975;1975;79.6
A;Annual;CLV_I10_HAB;Chain linked volumes, Index 2010=100, per capita;P3;Final consumption expenditure;PT;Portugal;1975;1975;82.6
A;Annual;CLV20_EUR_HAB;Chain linked volumes (2020), euro per capita;P3;Final consumption expenditure;PT;Portugal;1975;1975;86.0
A;Annual;CLV15_EUR_HAB;Chain linked volumes (2015), euro per capita;P3;Final consumption expenditure;PT;Portugal;1975;1975;89.2
A;Annual;CLV10_EUR_HAB;Chain linked volumes (2010), euro per capita;P3;Final consumption expenditure;PT;Portugal;1975;1975;90.8
A;Annual;CLV_PCH_PRE_HAB;Chain linked volumes, percentage change on previous period, per capita;P3;Final consumption expenditure;PT;Portugal;1975;1975;92.1
A;Annual;PC_EU27_2020_HAB_MEUR_CP;Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices;P3_S13;Final consumption expenditure of general government;PT;Portugal;1975;1975;95.2
A;Annual;PC_EU27_2020_HAB_MPPS_CP;Percentage of EU27 (from 2020) total per capita (based on million purchasing power standards, EU27 from 2020), current prices;P3_S13;Final consumption expenditure of general government;PT;Portugal;1975;1975;97.7
A;Annual;CP_EUR_HAB;Current prices, euro per capita;P3_S13;Final consumption expenditure of general government;PT;Portugal;1975;1975;100.6
A;Annual;CP_NAC_HAB;Current prices, units of national currency per capita;P3_S13;Final consumption expenditure of general government;PT;Portugal;1975;1975;92.3
A;Annual;CP_PPS_EU27_2020_HAB;Current prices, purchasing power standard (PPS, EU27 from 2020) per capita;P3_S13;Final consumption expenditure of general government;PT;Portugal;1975;1975;84.5
A;Annual;CLV_I20_HAB;Chain linked volumes, Index 2020=100, per capita;P3_S13;Final consumption expenditure of general government;PT;Portugal;1975;1975;77.6
A;Annual;CLV_I15_HAB;Chain linked volumes, Index 2015=100, per capita;P3_S13;Final consumption expenditure of general government;PT;Portugal;1975;1975;72.7
A;Annual;CLV_I10_HAB;Chain linked volumes, Index 2010=100, per capita;P3_S13;Final consumption expenditure of general government;PT;Portugal;1975;1975;70.6
A;Annual;CLV20_EUR_HAB;Chain linked volumes (2020), euro per capita;P3_S13;Final consumption expenditure of general government;PT;Portugal;1975;1975;69.0
A;Annual;CLV15_EUR_HAB;Chain linked volumes (2015), euro per capita;P3_S13;Final consumption expenditure of general government;PT;Portugal;1975;1975;67.4
A;Annual;CLV10_EUR_HAB;Chain linked volumes (2010), euro per capita;P3_S13;Final consumption expenditure of general government;PT;Portugal;1975;1975;66.8
A;Annual;CLV_PCH_PRE_HAB;Chain linked volumes, percentage change on previous period, per capita;P3_S13;Final consumption expenditure of general government;PT;Portugal;1975;1975;65.7
A;Annual;PC_EU27_2020_HAB_MEUR_CP;Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices;P31_S13;Individual consumption expenditure of general government;PT;Portugal;1975;1975;65.8
A;Annual;PC_EU27_2020_HAB_MPPS_CP;Percentage of EU27 (from 2020) total per capita (based on million purchasing power standards, EU27 from 2020), current prices;P31_S13;Individual consumption expenditure of general government;PT;Portugal;1975;1975;64.9
A;Annual;CP_EUR_HAB;Current prices, euro per capita;P31_S13;Individual consumption expenditure of general government;PT;Portugal;1975;1975;64.2
A;Annual;CP_NAC_HAB;Current prices, units of national currency per capita;P31_S13;Individual consumption expenditure of general government;PT;Portugal;1975;1975;66.6
A;Annual;CP_PPS_EU27_2020_HAB;Current prices, purchasing power standard (PPS, EU27 from 2020) per capita;P31_S13;Individual consumption expenditure of general government;PT;Portugal;1975;1975;66.6
A;Annual;CLV_I20_HAB;Chain linked volumes, Index 2020=100, per capita;P31_S13;Individual consumption expenditure of general government;PT;Portugal;1975;1975;66.3
A;Annual;CLV_I15_HAB;Chain linked volumes, Index 2015=100, per capita;P31_S13;Individual consumption expenditure of general government;PT;Portugal;1975;1975;
A;Annual;CLV_I10_HAB;Chain linked volumes, Index 2010=100, per capita;P31_S13;Individual consumption expenditure of general government;PT;Portugal;1975;1975;
A;Annual;CLV20_EUR_HAB;Chain linked volumes (2020), euro per capita;P31_S13;Individual consumption expenditure of general government;PT;Portugal;1975;1975;
A;Annual;CLV15_EUR_HAB;Chain linked volumes (2015), euro per capita;P31_S13;Individual consumption expenditure of general government;PT;Portugal;1975;1975;
A;Annual;CLV10_EUR_HAB;Chain linked volumes (2010), euro per capita;P31_S13;Individual consumption expenditure of general government;PT;Portugal;1975;1975;
A;Annual;CLV_PCH_PRE_HAB;Chain linked volumes, percentage change on previous period, per capita;P31_S13;Individual consumption expenditure of general government;PT;Portugal;1975;1975;
A;Annual;PC_EU27_2020_HAB_MEUR_CP;Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices;P32_S13;Collective consumption expenditure of general government;PT;Portugal;1975;1975;
A;Annual;PC_EU27_2020_HAB_MPPS_CP;Percentage of EU27 (from 2020) total per capita (based on million purchasing power standards, EU27 from 2020), current prices;P32_S13;Collective consumption expenditure of general government;PT;Portugal;1975;1975;
A;Annual;CP_EUR_HAB;Current prices, euro per capita;P32_S13;Collective consumption expenditure of general government;PT;Portugal;1975;1975;
A;Annual;CP_NAC_HAB;Current prices, units of national currency per capita;P32_S13;Collective consumption expenditure of general government;PT;Portugal;1975;1975;
A;Annual;CP_PPS_EU27_2020_HAB;Current prices, purchasing power standard (PPS, EU27 from 2020) per capita;P32_S13;Collective consumption expenditure of general government;PT;Portugal;1975;1975;
A;Annual;CLV_I20_HAB;Chain linked volumes, Index 2020=100, per capita;P32_S13;Collective consumption expenditure of general government;PT;Portugal;1975;1975;
A;Annual;CLV_I15_HAB;Chain linked volumes, Index 2015=100, per capita;P32_S13;Collective consumption expenditure of general government;PT;Portugal;1975;1975;
A;Annual;CLV_I10_HAB;Chain linked volumes, Index 2010=100, per capita;P32_S13;Collective consumption expenditure of general government;PT;Portugal;1975;1975;
A;Annual;CLV20_EUR_HAB;Chain linked volumes (2020), euro per capita;P32_S13;Collective consumption expenditure of general government;PT;Portugal;1975;1975;
A;Annual;CLV15_EUR_HAB;Chain linked volumes (2015), euro per capita;P32_S13;Collective consumption expenditure of general government;PT;Portugal;1975;1975;
A;Annual;CLV10_EUR_HAB;Chain linked volumes (2010), euro per capita;P32_S13;Collective consumption expenditure of general government;PT;Portugal;1975;1975;
