freq;freq_label;unit;unit_label;sex;sex_label;age;age_label;icd10;icd10_label;geo;geo_label;time;time_label;value
A;Annual;RT;Rate;T;Total;TOTAL;Total;TOTAL;Total;PT;Portugal;2011;2011;1.19
A;Annual;RT;Rate;M;Males;TOTAL;Total;TOTAL;Total;PT;Portugal;2011;2011;1.91
A;Annual;RT;Rate;F;Females;TOTAL;Total;TOTAL;Total;PT;Portugal;2011;2011;1.9
A;Annual;RT;Rate;T;Total;Y_LT65;Less than 65 years;TOTAL;Total;PT;Portugal;2011;2011;1.88
A;Annual;RT;Rate;M;Males;Y_LT65;Less than 65 years;TOTAL;Total;PT;Portugal;2011;2011;0.89
A;Annual;RT;Rate;F;Females;Y_LT65;Less than 65 years;TOTAL;Total;PT;Portugal;2011;2011;0.89
A;Annual;RT;Rate;T;Total;Y_GE65;65 years or over;TOTAL;Total;PT;Portugal;2011;2011;0.93
A;Annual;RT;Rate;M;Males;Y_GE65;65 years or over;TOTAL;Total;PT;Portugal;2011;2011;1.26
A;Annual;RT;Rate;F;Females;Y_GE65;65 years or over;TOTAL;Total;PT;Portugal;2011;2011;0.27
A;Annual;RT;Rate;T;Total;TOTAL;Total;A-R_V-Y;All causes of death (A00-Y89) excluding S00-T98;PT;Portugal;2011;2011;0.87
A;Annual;RT;Rate;M;Males;TOTAL;Total;A-R_V-Y;All causes of death (A00-Y89) excluding S00-T98;PT;Portugal;2011;2011;1.51
A;Annual;RT;Rate;F;Females;TOTAL;Total;A-R_V-Y;All causes of death (A00-Y89) excluding S00-T98;PT;Portugal;2011;2011;1.84
A;Annual;RT;Rate;T;Total;Y_LT65;Less than 65 years;A-R_V-Y;All causes of death (A00-Y89) excluding S00-T98;PT;Portugal;2011;2011;0.82
A;Annual;RT;Rate;M;Males;Y_LT65;Less than 65 years;A-R_V-Y;All causes of death (A00-Y89) excluding S00-T98;PT;Portugal;2011;2011;1.43
A;Annual;RT;Rate;F;Females;Y_LT65;Less than 65 years;A-R_V-Y;All causes of death (A00-Y89) excluding S00-T98;PT;Portugal;2011;2011;1.17
A;Annual;RT;Rate;T;Total;Y_GE65;65 years or over;A-R_V-Y;All causes of death (A00-Y89) excluding S00-T98;PT;Portugal;2011;2011;1.52
A;Annual;RT;Rate;M;Males;Y_GE65;65 years or over;A-R_V-Y;All causes of death (A00-Y89) excluding S00-T98;PT;Portugal;2011;2011;1.13
A;Annual;RT;Rate;F;Females;Y_GE65;65 years or over;A-R_V-Y;All causes of death (A00-Y89) excluding S00-T98;PT;Portugal;2011;2011;0.93
A;Annual;RT;Rate;T;Total;TOTAL;Total;A_B;Certain infectious and parasitic diseases (A00-B99);PT;Portugal;2011;2011;1.24
A;Annual;RT;Rate;M;Males;TOTAL;Total;A_B;Certain infectious and parasitic diseases (A00-B99);PT;Portugal;2011;2011;1.38
A;Annual;RT;Rate;F;Females;TOTAL;Total;A_B;Certain infectious and parasitic diseases (A00-B99);PT;Portugal;2011;2011;1.73
A;Annual;RT;Rate;T;Total;Y_LT65;Less than 65 years;A_B;Certain infectious and parasitic diseases (A00-B99);PT;Portugal;2011;2011;1.3
A;Annual;RT;Rate;M;Males;Y_LT65;Less than 65 years;A_B;Certain infectious and parasitic diseases (A00-B99);PT;Portugal;2011;2011;0.78
A;Annual;RT;Rate;F;Females;Y_LT65;Less than 65 years;A_B;Certain infectious and parasitic diseases (A00-B99);PT;Portugal;2011;2011;1.76
A;Annual;RT;Rate;T;Total;Y_GE65;65 years or over;A_B;Certain infectious and parasitic diseases (A00-B99);PT;Portugal;2011;2011;0.87
A;Annual;RT;Rate;M;Males;Y_GE65;65 years or over;A_B;Certain infectious and parasitic diseases (A00-B99);PT;Portugal;2011;2011;1.96
A;Annual;RT;Rate;F;Females;Y_GE65;65 years or over;A_B;Certain infectious and parasitic diseases (A00-B99);PT;Portugal;2011;2011;2.06
A;Annual;RT;Rate;T;Total;TOTAL;Total;A15-A19_B90;Tuberculosis;PT;Portugal;2011;2011;2.26
A;Annual;RT;Rate;M;Males;TOTAL;Total;A15-A19_B90;Tuberculosis;PT;Portugal;2011;2011;0.96
A;Annual;RT;Rate;F;Females;TOTAL;Total;A15-A19_B90;Tuberculosis;PT;Portugal;2011;2011;1.18
A;Annual;RT;Rate;T;Total;Y_LT65;Less than 65 years;A15-A19_B90;Tuberculosis;PT;Portugal;2011;2011;2.04
A;Annual;RT;Rate;M;Males;Y_LT65;Less than 65 years;A15-A19_B90;Tuberculosis;PT;Portugal;2011;2011;1.74
A;Annual;RT;Rate;F;Females;Y_LT65;Less than 65 years;A15-A19_B90;Tuberculosis;PT;Portugal;2011;2011;1.2
A;Annual;RT;Rate;T;Total;Y_GE65;65 years or over;A15-A19_B90;Tuberculosis;PT;Portugal;2011;2011;2.46
A;Annual;RT;Rate;M;Males;Y_GE65;65 years or over;A15-A19_B90;Tuberculosis;PT;Portugal;2011;2011;4.57
