freq;freq_label;unit;unit_label;geo;geo_label;time;time_label;value
A;Annual;NR;Number;PT;Portugal;1993;1993;7002.0
A;Annual;HAB_P;Inhabitants per ...;PT;Portugal;1993;1993;7094.0
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT;Portugal;1993;1993;7534.0
A;Annual;HAB_P;Inhabitants per ...;PT11;Norte;1993;1993;22287.0
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT11;Norte;1993;1993;21701.0
A;Annual;NR;Number;PT15;Algarve;1993;1993;22207.0
A;Annual;HAB_P;Inhabitants per ...;PT15;Algarve;1993;1993;21990.0
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT15;Algarve;1993;1993;21667.0
A;Annual;NR;Number;PT19;Centro (PT);1993;1993;19081.0
A;Annual;HAB_P;Inhabitants per ...;PT19;Centro (PT);1993;1993;16541.0
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT19;Centro (PT);1993;1993;17425.0
A;Annual;NR;Number;PT1A;Grande Lisboa;1993;1993;16372.0
A;Annual;HAB_P;Inhabitants per ...;PT1A;Grande Lisboa;1993;1993;14729.0
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT1A;Grande Lisboa;1993;1993;14391.0
A;Annual;NR;Number;PT1B;Península de Setúbal;1993;1993;14096.0
A;Annual;HAB_P;Inhabitants per ...;PT1B;Península de Setúbal;1993;1993;14057.0
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT1B;Península de Setúbal;1993;1993;13640.0
A;Annual;NR;Number;PT1C;Alentejo;1993;1993;14002.0
A;Annual;HAB_P;Inhabitants per ...;PT1C;Alentejo;1993;1993;14548.0
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT1C;Alentejo;1993;1993;14630.0
A;Annual;NR;Number;PT1D;Oeste e Vale do Tejo;1993;1993;14107.0
A;Annual;HAB_P;Inhabitants per ...;PT1D;Oeste e Vale do Tejo;1993;1993;13537.0
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT1D;Oeste e Vale do Tejo;1993;1993;13789.0
A;Annual;NR;Number;PT20;Região Autónoma dos Açores;1993;1993;13928.0
A;Annual;HAB_P;Inhabitants per ...;PT20;Região Autónoma dos Açores;1993;1993;14626.0
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT20;Região Autónoma dos Açores;1993;1993;14781.0
A;Annual;NR;Number;PT30;Região Autónoma da Madeira;1993;1993;14634.0
A;Annual;HAB_P;Inhabitants per ...;PT30;Região Autónoma da Madeira;1993;1993;14805.0
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT30;Região Autónoma da Madeira;1993;1993;15036.0
A;Annual;NR;Number;PT;Portugal;1994;1994;1382.0
A;Annual;HAB_P;Inhabitants per ...;PT;Portugal;1994;1994;1396.0
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT;Portugal;1994;1994;1400.0
A;Annual;NR;Number;PT11;Norte;1994;1994;1306.0
A;Annual;HAB_P;Inhabitants per ...;PT11;Norte;1994;1994;1198.0
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT11;Norte;1994;1994;1095.0
A;Annual;NR;Number;PT15;Algarve;1994;1994;1317.0
A;Annual;HAB_P;Inhabitants per ...;PT15;Algarve;1994;1994;1458.0
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT15;Algarve;1994;1994;1428.0
A;Annual;NR;Number;PT19;Centro (PT);1994;1994;1258.0
A;Annual;HAB_P;Inhabitants per ...;PT19;Centro (PT);1994;1994;1493.0
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT19;Centro (PT);1994;1994;1484.0
A;Annual;NR;Number;PT1A;Grande Lisboa;1994;1994;1043.0
A;Annual;HAB_P;Inhabitants per ...;PT1A;Grande Lisboa;1994;1994;1008.0
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT1A;Grande Lisboa;1994;1994;1007.0
A;Annual;NR;Number;PT1B;Península de Setúbal;1994;1994;1075.0
A;Annual;HAB_P;Inhabitants per ...;PT1B;Península de Setúbal;1994;1994;1018.0
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT1B;Península de Setúbal;1994;1994;1015.0
A;Annual;NR;Number;PT1C;Alentejo;1994;1994;1057.0
A;Annual;HAB_P;Inhabitants per ...;PT1C;Alentejo;1994;1994;1106.0
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT1C;Alentejo;1994;1994;791.0
A;Annual;NR;Number;PT1D;Oeste e Vale do Tejo;1994;1994;831.0
A;Annual;HAB_P;Inhabitants per ...;PT1D;Oeste e Vale do Tejo;1994;1994;886.0
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT1D;Oeste e Vale do Tejo;1994;1994;890.0
A;Annual;NR;Number;PT20;Região Autónoma dos Açores;1994;1994;881.0
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT20;Região Autónoma dos Açores;1994;1994;2700.0
A;Annual;NR;Number;PT30;Região Autónoma da Madeira;1994;1994;2800.0
A;Annual;HAB_P;Inhabitants per ...;PT30;Região Autónoma da Madeira;1994;1994;2950.0
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT30;Região Autónoma da Madeira;1994;1994;2947.0
A;Annual;NR;Number;PT;Portugal;1995;1995;3342.0
A;Annual;HAB_P;Inhabitants per ...;PT;Portugal;1995;1995;3356.0
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT;Portugal;1995;1995;3289.0
A;Annual;NR;Number;PT11;Norte;1995;1995;3286.0
A;Annual;HAB_P;Inhabitants per ...;PT11;Norte;1995;1995;3289.0
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT11;Norte;1995;1995;3352.0
A;Annual;NR;Number;PT15;Algarve;1995;1995;3506.0
A;Annual;HAB_P;Inhabitants per ...;PT15;Algarve;1995;1995;3531.0
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT15;Algarve;1995;1995;3472.0
A;Annual;NR;Number;PT19;Centro (PT);1995;1995;3530.0
A;Annual;HAB_P;Inhabitants per ...;PT19;Centro (PT);1995;1995;3448.0
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT19;Centro (PT);1995;1995;3418.0
A;Annual;NR;Number;PT1A;Grande Lisboa;1995;1995;3287.0
A;Annual;HAB_P;Inhabitants per ...;PT1A;Grande Lisboa;1995;1995;3362.0
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT1A;Grande Lisboa;1995;1995;3301.0
A;Annual;HAB_P;Inhabitants per ...;PT1B;Península de Setúbal;1995;1995;21599.0
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT1B;Península de Setúbal;1995;1995;22265.0
A;Annual;NR;Number;PT1C;Alentejo;1995;1995;21872.0
A;Annual;HAB_P;Inhabitants per ...;PT1C;Alentejo;1995;1995;21786.0
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT1C;Alentejo;1995;1995;21607.0
A;Annual;NR;Number;PT1D;Oeste e Vale do Tejo;1995;1995;21618.0
A;Annual;HAB_P;Inhabitants per ...;PT1D;Oeste e Vale do Tejo;1995;1995;21498.0
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT1D;Oeste e Vale do Tejo;1995;1995;21492.0
A;Annual;NR;Number;PT20;Região Autónoma dos Açores;1995;1995;21164.0
A;Annual;HAB_P;Inhabitants per ...;PT20;Região Autónoma dos Açores;1995;1995;20752.0
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT20;Região Autónoma dos Açores;1995;1995;20380.0
A;Annual;NR;Number;PT30;Região Autónoma da Madeira;1995;1995;20310.0
A;Annual;HAB_P;Inhabitants per ...;PT30;Região Autónoma da Madeira;1995;1995;19999.0
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT30;Região Autónoma da Madeira;1995;1995;19953.0
A;Annual;NR;Number;PT;Portugal;1996;1996;18782.0
A;Annual;HAB_P;Inhabitants per ...;PT;Portugal;1996;1996;18663.0
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT;Portugal;1996;1996;18406.0
A;Annual;NR;Number;PT11;Norte;1996;1996;18181.0
A;Annual;HAB_P;Inhabitants per ...;PT11;Norte;1996;1996;18114.0
A;Annual;HAB_P;Inhabitants per ...;PT19;Centro (PT);1996;1996;13367.0
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT19;Centro (PT);1996;1996;13033.0
A;Annual;NR;Number;PT1A;Grande Lisboa;1996;1996;12952.0
A;Annual;HAB_P;Inhabitants per ...;PT1A;Grande Lisboa;1996;1996;12919.0
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT1A;Grande Lisboa;1996;1996;12555.0
A;Annual;NR;Number;PT1B;Península de Setúbal;1996;1996;12536.0
A;Annual;HAB_P;Inhabitants per ...;PT1B;Península de Setúbal;1996;1996;12513.0
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT1B;Península de Setúbal;1996;1996;12082.0
A;Annual;NR;Number;PT1C;Alentejo;1996;1996;12056.0
A;Annual;HAB_P;Inhabitants per ...;PT1C;Alentejo;1996;1996;12003.0
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT1C;Alentejo;1996;1996;11856.0
A;Annual;NR;Number;PT1D;Oeste e Vale do Tejo;1996;1996;11789.0
A;Annual;HAB_P;Inhabitants per ...;PT1D;Oeste e Vale do Tejo;1996;1996;11701.0
