geocod;geodsg;ind_string;valor;periodo
2004205;Ribeira Grande;16,7;16.7;2023
2004201;Lagoa;19,0;19;2023
3003108;Santa Cruz;22,0;22;2023
3003102;Câmara de Lobos;23,0;23;2023
2004203;Ponta Delgada;23,3;23.3;2023
2004206;Vila Franca do Campo;23,3;23.3;2023
11C1305;Lousada;24,2;24.2;2023
11C1309;Paços de Ferreira;25,5;25.5;2023
2;Região Autónoma dos Açores;25,6;25.6;2023
20;Região Autónoma dos Açores;25,6;25.6;2023
200;Região Autónoma dos Açores;25,6;25.6;2023
11A1310;Paredes;25,9;25.9;2023
2004204;Povoação;26,1;26.1;2023
2004901;Corvo;27,2;27.2;2023
3003201;Porto Santo;27,2;27.2;2023
2004101;Vila do Porto;27,3;27.3;2023
1701502;Alcochete;27,4;27.4;2023
1701109;Mafra;27,8;27.8;2023
1190314;Vizela;28,1;28.1;2023
11C1311;Penafiel;28,4;28.4;2023
1500801;Albufeira;28,5;28.5;2023
16B1102;Arruda dos Vinhos;28,5;28.5;2023
1701111;Sintra;28,5;28.5;2023
2004802;Santa Cruz das Flores;28,6;28.6;2023
1701507;Montijo;28,8;28.8;2023
11C1307;Marco de Canaveses;29,0;29;2023
1120303;Braga;29,4;29.4;2023
2004302;Vila da Praia da Vitória;29,4;29.4;2023
11C1303;Felgueiras;29,6;29.6;2023
2004602;Madalena;30,0;30;2023
1701114;Vila Franca de Xira;30,2;30.2;2023
16B1112;Sobral de Monte Agraço;30,3;30.3;2023
1851405;Benavente;30,4;30.4;2023
2004301;Angra do Heroísmo;30,4;30.4;2023
11A1306;Maia;30,6;30.6;2023
11C;Tâmega e Sousa;30,7;30.7;2023
11A1315;Valongo;30,9;30.9;2023
16B1101;Alenquer;30,9;30.9;2023
3;Região Autónoma da Madeira;31,2;31.2;2023
30;Região Autónoma da Madeira;31,2;31.2;2023
300;Região Autónoma da Madeira;31,2;31.2;2023
2004202;Nordeste;31,4;31.4;2023
112;Cávado;31,5;31.5;2023
1120306;Esposende;31,9;31.9;2023
11A1318;Trofa;31,9;31.9;2023
2004701;Horta;31,9;31.9;2023
3003107;Ribeira Brava;31,9;31.9;2023
2004502;Velas;32,0;32;2023
1120302;Barcelos;32,2;32.2;2023
1701511;Sesimbra;32,2;32.2;2023
2004801;Lajes das Flores;32,2;32.2;2023
1190312;Vila Nova de Famalicão;32,3;32.3;2023
3003105;Ponta do Sol;32,3;32.3;2023
16I1410;Entroncamento;32,4;32.4;2023
11A1316;Vila do Conde;32,6;32.6;2023
11A1313;Póvoa de Varzim;32,8;32.8;2023
1701508;Palmela;33,0;33;2023
1810211;Odemira;33,1;33.1;2023
3003104;Machico;33,1;33.1;2023
1190308;Guimarães;33,3;33.3;2023
2004603;São Roque do Pico;33,3;33.3;2023
11C0106;Castelo de Paiva;33,5;33.5;2023
16D0105;Aveiro;33,8;33.8;2023
2004401;Santa Cruz da Graciosa;34,0;34;2023
16D0110;Ílhavo;34,1;34.1;2023
119;Ave;34,3;34.3;2023
1701116;Odivelas;34,3;34.3;2023
1120301;Amares;34,5;34.5;2023
1120313;Vila Verde;34,7;34.7;2023
11A0109;Santa Maria da Feira;34,8;34.8;2023
17;Área Metropolitana de Lisboa;34,9;34.9;2023
170;Área Metropolitana de Lisboa;34,9;34.9;2023
3003103;Funchal;34,9;34.9;2023
11A1317;Vila Nova de Gaia;35,1;35.1;2023
11A1304;Gondomar;35,2;35.2;2023
16D0115;Ovar;35,2;35.2;2023
11A0116;São João da Madeira;35,5;35.5;2023
1500805;Faro;35,5;35.5;2023
16B1113;Torres Vedras;35,5;35.5;2023
11A;Área Metropolitana do Porto;35,6;35.6;2023
1840204;Barrancos;35,6;35.6;2023
1701506;Moita;35,7;35.7;2023
1701510;Seixal;35,8;35.8;2023
1500811;Portimão;35,9;35.9;2023
16E0604;Condeixa-a-Nova;35,9;35.9;2023
1190309;Póvoa de Lanhoso;36,2;36.2;2023
1851103;Azambuja;36,2;36.2;2023
16D0102;Albergaria-a-Velha;36,4;36.4;2023
16F1009;Leiria;36,4;36.4;2023
1701107;Loures;36,4;36.4;2023
1701106;Lisboa;36,5;36.5;2023
1701115;Amadora;36,5;36.5;2023
16D0114;Oliveira do Bairro;36,7;36.7;2023
16E0607;Lousã;37,0;37;2023
11;Norte;37,1;37.1;2023
11C1301;Amarante;37,1;37.1;2023
1701105;Cascais;37,1;37.1;2023
16F1010;Marinha Grande;37,3;37.3;2023
1811513;Sines;37,4;37.4;2023
11C1302;Baião;37,5;37.5;2023
1840205;Beja;37,5;37.5;2023
16F1004;Batalha;37,6;37.6;2023
1190304;Cabeceiras de Basto;37,7;37.7;2023
1500810;Olhão;37,7;37.7;2023
2004501;Calheta;37,7;37.7;2023
1851414;Rio Maior;37,8;37.8;2023
11A1308;Matosinhos;38,0;38;2023
16D;Região de Aveiro;38,0;38;2023
1500806;Lagoa;38,2;38.2;2023
PT;Portugal;38,2;38.2;2023
1500808;Loulé;38,3;38.3;2023
16B;Oeste;38,5;38.5;2023
1861204;Campo Maior;38,5;38.5;2023
11A0113;Oliveira de Azeméis;38,6;38.6;2023
16D0118;Vagos;38,6;38.6;2023
1870705;Évora;38,6;38.6;2023
2004601;Lajes do Pico;38,6;38.6;2023
1;Continente;38,7;38.7;2023
11D1714;Vila Real;38,8;38.8;2023
15;Algarve;38,8;38.8;2023
150;Algarve;38,8;38.8;2023
1190307;Fafe;38,9;38.9;2023
16D0112;Murtosa;38,9;38.9;2023
1840207;Cuba;38,9;38.9;2023
1701512;Setúbal;39,0;39;2023
16G1823;Viseu;39,1;39.1;2023
16I1408;Constância;39,4;39.4;2023
16D0108;Estarreja;39,5;39.5;2023
1111607;Ponte de Lima;39,6;39.6;2023
11C0305;Celorico de Basto;39,6;39.6;2023
1701503;Almada;39,6;39.6;2023
1701110;Oeiras;39,8;39.8;2023
16G1810;Oliveira de Frades;40,1;40.1;2023
1851406;Cartaxo;40,2;40.2;2023
11D1820;Tarouca;40,3;40.3;2023
16B1108;Lourinhã;40,4;40.4;2023
1500813;Silves;40,5;40.5;2023
3003101;Calheta;40,5;40.5;2023
16F1016;Porto de Mós;40,7;40.7;2023
11A0104;Arouca;40,8;40.8;2023
1861207;Elvas;40,8;40.8;2023
1870713;Viana do Alentejo;40,9;40.9;2023
11A1312;Porto;41,2;41.2;2023
185;Lezíria do Tejo;41,2;41.2;2023
1851403;Almeirim;41,2;41.2;2023
11A1314;Santo Tirso;41,3;41.3;2023
16F;Região de Leiria;41,5;41.5;2023
16B1006;Caldas da Rainha;41,6;41.6;2023
16E0617;Vila Nova de Poiares;41,7;41.7;2023
1500807;Lagos;42,0;42;2023
16J0907;Guarda;42,0;42;2023
1701504;Barreiro;42,1;42.1;2023
16B1001;Alcobaça;42,2;42.2;2023
16E0603;Coimbra;42,2;42.2;2023
16B1012;Óbidos;42,5;42.5;2023
11C1813;Resende;42,7;42.7;2023
1500812;São Brás de Alportel;42,7;42.7;2023
181;Alentejo Litoral;42,7;42.7;2023
1111609;Viana do Castelo;43,0;43;2023
16D0101;Águeda;43,0;43;2023
1840214;Vidigueira;43,0;43;2023
1851416;Santarém;43,0;43;2023
11C1804;Cinfães;43,1;43.1;2023
1851415;Salvaterra de Magos;43,1;43.1;2023
16B1011;Nazaré;43,2;43.2;2023
16E0111;Mealhada;43,2;43.2;2023
16E0610;Montemor-o-Velho;43,2;43.2;2023
16E0609;Miranda do Corvo;43,3;43.3;2023
1111610;Vila Nova de Cerveira;43,4;43.4;2023
16B1014;Peniche;43,4;43.4;2023
16I1420;Vila Nova da Barquinha;43,4;43.4;2023
1111608;Valença;43,6;43.6;2023
1500803;Aljezur;43,6;43.6;2023
1840206;Castro Verde;43,6;43.6;2023
1870711;Reguengos de Monsaraz;43,6;43.6;2023
16I1421;Ourém;43,7;43.7;2023
11D1805;Lamego;44,1;44.1;2023
16B1005;Bombarral;44,1;44.1;2023
18;Alentejo;44,1;44.1;2023
3003110;São Vicente;44,3;44.3;2023
1500816;Vila Real de Santo António;44,4;44.4;2023
187;Alentejo Central;44,6;44.6;2023
1870710;Redondo;44,7;44.7;2023
1870714;Vila Viçosa;44,8;44.8;2023
16;Centro;45,0;45;2023
1500815;Vila do Bispo;45,3;45.3;2023
184;Baixo Alentejo;45,3;45.3;2023
1870702;Arraiolos;45,4;45.4;2023
1811505;Grândola;45,6;45.6;2023
1870709;Portel;45,6;45.6;2023
1870708;Mourão;45,8;45.8;2023
11D1708;Peso da Régua;45,9;45.9;2023
1840210;Moura;45,9;45.9;2023
1851412;Golegã;46,0;46;2023
3003106;Porto Moniz;46,3;46.3;2023
1840203;Alvito;46,5;46.5;2023
1840208;Ferreira do Alentejo;46,5;46.5;2023
11D1704;Mesão Frio;46,6;46.6;2023
16E;Região de Coimbra;46,8;46.8;2023
1861211;Monforte;47,0;47;2023
11D1815;São João da Pesqueira;47,1;47.1;2023
1851404;Alpiarça;47,1;47.1;2023
11E0402;Bragança;47,2;47.2;2023
1861214;Portalegre;47,6;47.6;2023
1870704;Estremoz;47,6;47.6;2023
16I1419;Torres Novas;47,7;47.7;2023
11A0107;Espinho;47,8;47.8;2023
1840213;Serpa;47,8;47.8;2023
16E0605;Figueira da Foz;48,1;48.1;2023
3003109;Santana;48,1;48.1;2023
111;Alto Minho;48,2;48.2;2023
16H0502;Castelo Branco;48,4;48.4;2023
1870703;Borba;48,4;48.4;2023
1191705;Mondim de Basto;48,5;48.5;2023
16G;Viseu Dão Lafões;48,6;48.6;2023
16I;Médio Tejo;48,7;48.7;2023
16E0611;Oliveira do Hospital;48,8;48.8;2023
1840201;Aljustrel;48,8;48.8;2023
16I1402;Alcanena;48,9;48.9;2023
11A0119;Vale de Cambra;49,0;49;2023
16B1104;Cadaval;49,0;49;2023
1870712;Vendas Novas;49,2;49.2;2023
11D;Douro;49,5;49.5;2023
16F1015;Pombal;49,9;49.9;2023
16D0103;Anadia;50,3;50.3;2023
1120310;Terras de Bouro;50,7;50.7;2023
186;Alto Alentejo;50,7;50.7;2023
11D1801;Armamar;50,9;50.9;2023
1111606;Ponte da Barca;51,1;51.1;2023
16E0616;Tábua;51,1;51.1;2023
1111602;Caminha;51,2;51.2;2023
1861202;Arronches;51,2;51.2;2023
1870706;Montemor-o-Novo;51,2;51.2;2023
16G1806;Mangualde;51,3;51.3;2023
1861213;Ponte de Sor;51,4;51.4;2023
1500814;Tavira;51,8;51.8;2023
16D0117;Sever do Vouga;51,8;51.8;2023
16I1417;Sardoal;51,8;51.8;2023
1811509;Santiago do Cacém;51,8;51.8;2023
1870701;Alandroal;51,8;51.8;2023
11D1807;Moimenta da Beira;51,9;51.9;2023
1861215;Sousel;52,0;52;2023
16E0614;Penela;52,3;52.3;2023
16J0503;Covilhã;52,4;52.4;2023
16E0602;Cantanhede;52,6;52.6;2023
16E0608;Mira;52,8;52.8;2023
1111605;Paredes de Coura;52,9;52.9;2023
16I1418;Tomar;53,0;53;2023
1190311;Vieira do Minho;53,2;53.2;2023
1861208;Fronteira;53,4;53.4;2023
16G1817;Sátão;53,7;53.7;2023
16G1809;Nelas;53,9;53.9;2023
1851407;Chamusca;54,3;54.3;2023
16I1401;Abrantes;54,5;54.5;2023
16G1824;Vouzela;54,6;54.6;2023
16I1411;Ferreira do Zêzere;54,7;54.7;2023
11D1818;Sernancelhe;54,8;54.8;2023
16I0509;Sertã;55,3;55.3;2023
1500804;Castro Marim;55,9;55.9;2023
1861201;Alter do Chão;56,0;56;2023
16F1003;Ansião;56,2;56.2;2023
16G1822;Vila Nova de Paiva;56,2;56.2;2023
16G1821;Tondela;56,5;56.5;2023
11B1709;Ribeira de Pena;56,6;56.6;2023
16G1802;Carregal do Sal;56,6;56.6;2023
1840202;Almodôvar;56,6;56.6;2023
16J0501;Belmonte;56,8;56.8;2023
1811501;Alcácer do Sal;56,9;56.9;2023
11D1711;Santa Marta de Penaguião;57,7;57.7;2023
11D1819;Tabuaço;57,7;57.7;2023
16E0613;Penacova;57,7;57.7;2023
1861203;Avis;57,7;57.7;2023
16G1803;Castro Daire;57,8;57.8;2023
16G1814;Santa Comba Dão;57,8;57.8;2023
11D1710;Sabrosa;57,9;57.9;2023
16J0504;Fundão;57,9;57.9;2023
11E0407;Mirandela;58,4;58.4;2023
16E0601;Arganil;58,8;58.8;2023
