geocod;geodsg;sinal_conv;sinal_conv_desc;ind_string;valor;periodo
2004901;Corvo;&;Dado provisório;0,0 &;0;2023
2004801;Lajes das Flores;&;Dado provisório;0,7 &;0.7;2023
16I1411;Ferreira do Zêzere;&;Dado provisório;1,5 &;1.5;2023
1851415;Salvaterra de Magos;&;Dado provisório;1,5 &;1.5;2023
1500802;Alcoutim;&;Dado provisório;1,7 &;1.7;2023
1851103;Azambuja;&;Dado provisório;1,7 &;1.7;2023
16B1108;Lourinhã;&;Dado provisório;1,8 &;1.8;2023
1810211;Odemira;&;Dado provisório;1,8 &;1.8;2023
1500803;Aljezur;&;Dado provisório;1,9 &;1.9;2023
1500808;Loulé;&;Dado provisório;1,9 &;1.9;2023
1500815;Vila do Bispo;&;Dado provisório;2,0 &;2;2023
16B1012;Óbidos;&;Dado provisório;2,0 &;2;2023
16B1101;Alenquer;&;Dado provisório;2,0 &;2;2023
16H0511;Vila Velha de Ródão;&;Dado provisório;2,0 &;2;2023
11C0106;Castelo de Paiva;&;Dado provisório;2,1 &;2.1;2023
1500801;Albufeira;&;Dado provisório;2,1 &;2.1;2023
16B1104;Cadaval;&;Dado provisório;2,1 &;2.1;2023
16B1112;Sobral de Monte Agraço;&;Dado provisório;2,1 &;2.1;2023
1701506;Moita;&;Dado provisório;2,1 &;2.1;2023
1851404;Alpiarça;&;Dado provisório;2,2 &;2.2;2023
1851414;Rio Maior;&;Dado provisório;2,2 &;2.2;2023
2004502;Velas;&;Dado provisório;2,2 &;2.2;2023
3003201;Porto Santo;&;Dado provisório;2,2 &;2.2;2023
1500813;Silves;&;Dado provisório;2,3 &;2.3;2023
16H0507;Penamacor;&;Dado provisório;2,3 &;2.3;2023
1701502;Alcochete;&;Dado provisório;2,3 &;2.3;2023
1500816;Vila Real de Santo António;&;Dado provisório;2,4 &;2.4;2023
16D0112;Murtosa;&;Dado provisório;2,4 &;2.4;2023
16E0612;Pampilhosa da Serra;&;Dado provisório;2,4 &;2.4;2023
16I1402;Alcanena;&;Dado provisório;2,4 &;2.4;2023
1701508;Palmela;&;Dado provisório;2,4 &;2.4;2023
1811513;Sines;&;Dado provisório;2,4 &;2.4;2023
11C1804;Cinfães;&;Dado provisório;2,5 &;2.5;2023
16B1005;Bombarral;&;Dado provisório;2,5 &;2.5;2023
16B1011;Nazaré;&;Dado provisório;2,5 &;2.5;2023
16D0110;Ílhavo;&;Dado provisório;2,5 &;2.5;2023
16I1413;Mação;&;Dado provisório;2,5 &;2.5;2023
1870702;Arraiolos;&;Dado provisório;2,5 &;2.5;2023
1870708;Mourão;&;Dado provisório;2,5 &;2.5;2023
1870712;Vendas Novas;&;Dado provisório;2,5 &;2.5;2023
2004201;Lagoa;&;Dado provisório;2,5 &;2.5;2023
16B1014;Peniche;&;Dado provisório;2,6 &;2.6;2023
