geocod;geodsg;valor;periodo;indicador_cod;indicador_dsg
2004205;Ribeira Grande;16.7;2011;0008259;"Índice de dependência de idosos (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
2004201;Lagoa;19;2011;0008259;"Índice de dependência de idosos (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
3003108;Santa Cruz;22;2011;0008259;"Índice de dependência de idosos (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
3003102;Câmara de Lobos;23;2011;0008259;"Índice de dependência de idosos (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
2004203;Ponta Delgada;23.3;2011;0008259;"Índice de dependência de idosos (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
2004206;Vila Franca do Campo;23.3;2011;0008259;"Índice de dependência de idosos (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
11C1305;Lousada;24.2;2011;0008259;"Índice de dependência de idosos (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
11C1309;Paços de Ferreira;25.5;2011;0008259;"Índice de dependência de idosos (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
2;Região Autónoma dos Açores;25.6;2011;0008259;"Índice de dependência de idosos (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
20;Região Autónoma dos Açores;25.6;2011;0008259;"Índice de dependência de idosos (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
200;Região Autónoma dos Açores;25.6;2011;0008259;"Índice de dependência de idosos (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
11A1310;Paredes;25.9;2011;0008259;"Índice de dependência de idosos (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
2004204;Povoação;26.1;2011;0008259;"Índice de dependência de idosos (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
2004901;Corvo;27.2;2011;0008259;"Índice de dependência de idosos (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
3003201;Porto Santo;27.2;2011;0008259;"Índice de dependência de idosos (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
2004101;Vila do Porto;27.3;2011;0008259;"Índice de dependência de idosos (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
1701502;Alcochete;27.4;2011;0008259;"Índice de dependência de idosos (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
1701109;Mafra;27.8;2011;0008259;"Índice de dependência de idosos (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
1190314;Vizela;28.1;2011;0008259;"Índice de dependência de idosos (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
11C1311;Penafiel;28.4;2011;0008259;"Índice de dependência de idosos (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
1500801;Albufeira;28.5;2011;0008259;"Índice de dependência de idosos (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
16B1102;Arruda dos Vinhos;28.5;2011;0008259;"Índice de dependência de idosos (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
1701111;Sintra;28.5;2011;0008259;"Índice de dependência de idosos (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
2004802;Santa Cruz das Flores;28.6;2011;0008259;"Índice de dependência de idosos (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
1701507;Montijo;28.8;2011;0008259;"Índice de dependência de idosos (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
11C1307;Marco de Canaveses;29;2011;0008259;"Índice de dependência de idosos (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
1120303;Braga;29.4;2011;0008259;"Índice de dependência de idosos (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
2004302;Vila da Praia da Vitória;29.4;2011;0008259;"Índice de dependência de idosos (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
11C1303;Felgueiras;29.6;2011;0008259;"Índice de dependência de idosos (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
2004602;Madalena;30;2011;0008259;"Índice de dependência de idosos (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
1701114;Vila Franca de Xira;30.2;2011;0008259;"Índice de dependência de idosos (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
16B1112;Sobral de Monte Agraço;30.3;2011;0008259;"Índice de dependência de idosos (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
1851405;Benavente;30.4;2011;0008259;"Índice de dependência de idosos (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
2004301;Angra do Heroísmo;30.4;2011;0008259;"Índice de dependência de idosos (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
11A1306;Maia;30.6;2011;0008259;"Índice de dependência de idosos (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
11C;Tâmega e Sousa;30.7;2011;0008259;"Índice de dependência de idosos (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
11A1315;Valongo;30.9;2011;0008259;"Índice de dependência de idosos (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
16B1101;Alenquer;30.9;2011;0008259;"Índice de dependência de idosos (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
