geocod;geodsg;valor;periodo;indicador_cod;indicador_dsg
11E;Terras de Trás-os-Montes;6.3;2021;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
16F;Região de Leiria;6.4;2021;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
111;Alto Minho;7;2021;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
112;Cávado;7;2021;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
119;Ave;7.2;2021;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
16I;Médio Tejo;7.7;2021;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
16E;Região de Coimbra;8;2021;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
11D;Douro;9.1;2021;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
16;Centro;9.7;2021;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
11;Norte;10.3;2021;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
11C;Tâmega e Sousa;10.3;2021;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
16J;Beiras e Serra da Estrela;10.5;2021;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
16G;Viseu Dão Lafões;10.7;2021;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
16D;Região de Aveiro;10.8;2021;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
16B;Oeste;11.6;2021;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
11B;Alto Tâmega;12.3;2021;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
11A;Área Metropolitana do Porto;12.7;2021;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
185;Lezíria do Tejo;12.8;2021;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
1;Continente;12.9;2021;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
3;Região Autónoma da Madeira;13.2;2021;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
30;Região Autónoma da Madeira;13.2;2021;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
300;Região Autónoma da Madeira;13.2;2021;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
PT;Portugal;13.3;2021;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
186;Alto Alentejo;14.7;2021;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
187;Alentejo Central;15;2021;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
16H;Beira Baixa;16.2;2021;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
18;Alentejo;16.8;2021;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
15;Algarve;17;2021;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
150;Algarve;17;2021;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
181;Alentejo Litoral;17.6;2021;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
17;Área Metropolitana de Lisboa;17.8;2021;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
170;Área Metropolitana de Lisboa;17.8;2021;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
2;Região Autónoma dos Açores;27.1;2021;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
20;Região Autónoma dos Açores;27.1;2021;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
200;Região Autónoma dos Açores;27.1;2021;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
184;Baixo Alentejo;28.4;2021;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
11E;Terras de Trás-os-Montes;6.3;2022;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
16F;Região de Leiria;6.4;2022;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
111;Alto Minho;7;2022;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
112;Cávado;7;2022;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
119;Ave;7.2;2022;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
16I;Médio Tejo;7.7;2022;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
16E;Região de Coimbra;8;2022;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
11D;Douro;9.1;2022;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
16;Centro;9.7;2022;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
11;Norte;10.3;2022;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
11C;Tâmega e Sousa;10.3;2022;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
16J;Beiras e Serra da Estrela;10.5;2022;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
16G;Viseu Dão Lafões;10.7;2022;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
16D;Região de Aveiro;10.8;2022;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
16B;Oeste;11.6;2022;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
11B;Alto Tâmega;12.3;2022;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
11A;Área Metropolitana do Porto;12.7;2022;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
185;Lezíria do Tejo;12.8;2022;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
1;Continente;12.9;2022;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
3;Região Autónoma da Madeira;13.2;2022;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
30;Região Autónoma da Madeira;13.2;2022;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
300;Região Autónoma da Madeira;13.2;2022;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
PT;Portugal;13.3;2022;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
186;Alto Alentejo;14.7;2022;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
187;Alentejo Central;15;2022;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
16H;Beira Baixa;16.2;2022;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
18;Alentejo;16.8;2022;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
15;Algarve;17;2022;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
150;Algarve;17;2022;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
181;Alentejo Litoral;17.6;2022;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
17;Área Metropolitana de Lisboa;17.8;2022;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
170;Área Metropolitana de Lisboa;17.8;2022;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
2;Região Autónoma dos Açores;27.1;2022;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
20;Região Autónoma dos Açores;27.1;2022;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
200;Região Autónoma dos Açores;27.1;2022;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
184;Baixo Alentejo;28.4;2022;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
11E;Terras de Trás-os-Montes;6.3;2023;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
16F;Região de Leiria;6.4;2023;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
111;Alto Minho;7;2023;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
112;Cávado;7;2023;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
119;Ave;7.2;2023;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
16I;Médio Tejo;7.7;2023;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
16E;Região de Coimbra;8;2023;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
11D;Douro;9.1;2023;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
16;Centro;9.7;2023;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
11;Norte;10.3;2023;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
11C;Tâmega e Sousa;10.3;2023;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
16J;Beiras e Serra da Estrela;10.5;2023;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
16G;Viseu Dão Lafões;10.7;2023;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
16D;Região de Aveiro;10.8;2023;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
16B;Oeste;11.6;2023;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
11B;Alto Tâmega;12.3;2023;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
11A;Área Metropolitana do Porto;12.7;2023;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
185;Lezíria do Tejo;12.8;2023;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
1;Continente;12.9;2023;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
3;Região Autónoma da Madeira;13.2;2023;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
30;Região Autónoma da Madeira;13.2;2023;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
300;Região Autónoma da Madeira;13.2;2023;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
PT;Portugal;13.3;2023;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
186;Alto Alentejo;14.7;2023;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
187;Alentejo Central;15;2023;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
16H;Beira Baixa;16.2;2023;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
18;Alentejo;16.8;2023;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
15;Algarve;17;2023;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
150;Algarve;17;2023;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
181;Alentejo Litoral;17.6;2023;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
17;Área Metropolitana de Lisboa;17.8;2023;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
170;Área Metropolitana de Lisboa;17.8;2023;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
2;Região Autónoma dos Açores;27.1;2023;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
20;Região Autónoma dos Açores;27.1;2023;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
200;Região Autónoma dos Açores;27.1;2023;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
184;Baixo Alentejo;28.4;2023;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
11E;Terras de Trás-os-Montes;6.3;2020;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
16F;Região de Leiria;6.4;2020;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
111;Alto Minho;7;2020;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
112;Cávado;7;2020;0008275;"Taxa de fecundidade na adolescência (‰) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
