periodo;regiao;entidade;localizacao_geografica;divida_total_fornecedores_externos;divida_vencida_fornecedores_externos;pagamentos_em_atraso
2014-01;Região de Saúde do Centro;Administração Regional de Saúde do Centro;40.2038123, -8.4216163;41900410.94;20067828.51;2060238.450000003
2014-01;Região de Saúde LVT;Administração Regional de Saúde de Lisboa e Vale do Tejo;38.7490049, -9.1417844;53752173.25;1249365.85;360272.78
2014-01;Região de Saúde Norte;Centro Hospitalar Alto Ave, E. P. E.;41.4387173, -8.3086907;5667228.61;2230392.81;989703.79
2014-01;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Central, E. P. E.;38.7166948, -9.1371248;169829315.69;113229743.46;74599982.26
2014-01;Região de Saúde LVT;Centro Hospitalar de Setúbal, E. P. E.;38.5283754, -8.8818638;84228531.07;74339462.39;65370865.86
2014-01;Região de Saúde Norte;Centro Hospitalar Vila Nova Gaia/Espinho, E. P. E.;41.1094138, -8.5972617;19015103.02;4684988.66;392829.9899999993
2014-01;Região de Saúde do Centro;Hospital Arcebispo João Crisóstomo - Cantanhede;40.3470015, -8.5933462;85426.07;0.0;0.0
2014-01;Região de Saúde LVT;Hospital Fernando Fonseca, E. P. E.;38.7422257, -9.2264834;18547871.05;2530447.1599999997;302262.2999999998
2014-01;Região de Saúde Norte;Hospital Distrital S.Maria Maior, E. P. E. - Barcelos;41.5324234, -8.6171561;1129067.13;551461.73;0.0
2014-01;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, E. P. E.;40.5309916, -7.2734793;29500376.17;22982455.04;18848076.93
2014-01;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, E. P. E.;41.1794456, -8.6745115;32778745.37;20343203.01;10854509.16
2014-01;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, E. P. E.;38.0162314, -8.6956768;17839143.38;16672247.39;43208.91000000015
2014-02;Região de Saúde do Alentejo;Administração Regional de Saúde do Alentejo;38.5658579, -7.9136262;7929989.74;531955.67;152262.56
2014-02;Região de Saúde do Algarve;Administração Regional de Saúde do Algarve;37.0272677, -7.9490091;1264449.6;3336.18;0.0
2014-02;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, E. P. E.;41.1472498, -8.6172617;81914100.14;45877794.13;27350056.52
2014-02;Região de Saúde Norte;Centro Hospitalar de Entre o Douro e Vouga, E. P. E.;40.9293884, -8.5458794;3248733.13;424629.87;0.0
2014-02;Região de Saúde Norte;Hospital de Magalhães Lemos, E. P. E.;41.1764649, -8.6649823;235992.34;24768.42;0.0
2014-02;Região de Saúde do Centro;Hospital Dr. Francisco Zagalo - Ovar;40.8571967, -8.6318023;85360.19;0.0;0.0
2014-02;Região de Saúde LVT;Hospital Garcia de Orta, E. P. E. - Almada;38.6658713, -9.1822554;38929519.07;22314494.53;10341109.57
2014-02;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, E. P. E.;40.5309916, -7.2734793;31480482.12;23711493.96;19712150.6
2014-02;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, E. P. E.;41.1794456, -8.6745115;32313722.4;23670383.95;13606317.62
2014-03;Serviços Centrais;Administração Central do Sistema de Saúde, I.P;38.759209, -9.148981;16608.5;16608.5;0.0
2014-03;Região de Saúde Norte;Centro Hospitalar Alto Ave, E. P. E.;41.4387173, -8.3086907;3741040.14;3304091.19;1274150.0
2014-03;Região de Saúde LVT;Centro Hospitalar de Lisboa - Zona Ocidental, E. P. E.;38.708454, -9.216985;74377142.32;52699861.46;34316954.84
2014-03;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Norte, E. P. E.;38.7500861, -9.1616116;274464302.76;214038387.11;170392363.55
2014-03;Região de Saúde LVT;Centro Hospitalar Médio Tejo, E. P. E.;39.478072, -8.5404429;46555652.08;42625523.11;38798245.01
2014-03;Região de Saúde Norte;Centro Hospitalar do Tâmega e Sousa, E. P. E.;41.2494561, -8.264901;3646358.09;102670.38;0.0
2014-03;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, E. P. E.;40.516364, -8.0827433;6802500.45;21676.9;-23864.1
2014-03;Região de Saúde Norte;Hospital Distrital S.Maria Maior, E. P. E. - Barcelos;41.5324234, -8.6171561;1253515.48;702045.07;0.0
2014-03;Região de Saúde do Centro;Instituto Português de Oncologia de Coimbra, E. P. E.;40.2162514, -8.4103814;2262783.27;0.0;0.0
2014-03;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, E. P. E.;41.7056054, -8.8252713;9555642.15;0.0;0.0
2014-03;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, E. P. E.;41.8056532, -6.7888197;28980895.44;22013432.61;18058220.51
2014-04;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, E. P. E.;40.2804158, -7.4922407;25495882.88;22243086.95;17224320.99
2014-04;Região de Saúde Norte;Centro Hospitalar Universitário de São João, E. P. E.;41.1831056, -8.6010558;34390704.21;22074868.68;599676.8099999987
2014-04;Região de Saúde Norte;Centro Hospitalar de Entre o Douro e Vouga, E. P. E.;40.9293884, -8.5458794;3339588.37;532416.86;0.0
2014-04;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Norte, E. P. E.;38.7500861, -9.1616116;285484487.54;214755585.4;181005501.48
2014-04;Região de Saúde LVT;Centro Hospitalar Psiquiátrico de Lisboa, SPA;38.7569771, -9.1460705;2329305.54;0.0;0.0
2014-04;Região de Saúde Norte;Centro Hospitalar Vila Nova Gaia/Espinho, E. P. E.;41.1094138, -8.5972617;16100828.62;2469939.69;133227.0700000003
2014-04;Região de Saúde do Centro;Hospital Dr. Francisco Zagalo - Ovar;40.8571967, -8.6318023;73721.72;0.0;0.0
2014-04;Região de Saúde LVT;Hospital Fernando Fonseca, E. P. E.;38.7422257, -9.2264834;21520235.28;3287000.0;349439.01
