tempo;regiao;instituicao;localizacao_geografica;prazo_medio_de_pagamento
2014-12;Região de Saúde Norte;Centro Hospitalar Médio Ave, EPE;41.3423984, -8.4802503;194
2015-03;Região de Saúde Norte;Hospital de Magalhães Lemos, EPE;41.1764649, -8.6649823;26
2015-06;Região de Saúde Norte;Hospital Distrital S.Maria Maior, EPE - Barcelos;41.5324234, -8.6171561;86
2015-06;Região de Saúde do Alentejo;Administração Regional de Saúde do Alentejo;38.5658579, -7.9136262;0
2015-09;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784, -7.7515252;188
2015-09;Região de Saúde LVT;Hospital Garcia de Orta, EPE - Almada;38.6658713, -9.1822554;235
2015-09;Região de Saúde LVT;Instituto de Oftalmologia Dr. Gama Pinto;38.7218793, -9.144249;17
2015-09;Região de Saúde Norte;Instituto Português de Oncologia do Porto, EPE;41.1785642, -8.6062881;48
2015-09;Região de Saúde do Centro;Hospital Distrital Figueira da Foz, EPE;40.117897, -8.8586755;128
2015-09;Região de Saúde Norte;Centro Hospitalar do Alto Ave, EPE;41.4387173, -8.3086907;0
2015-12;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;324
2016-06;Região de Saúde LVT;Hospital Garcia de Orta, EPE - Almada;38.6658713, -9.1822554;122
2016-06;Região de Saúde Norte;Centro Hospitalar Póvoa Varzim / Vila do Conde, EPE;41.3828711, -8.7589945;136
2016-09;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;301
2016-09;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Norte, EPE;38.7500861, -9.1616116;460
2016-09;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;249
2016-12;Região de Saúde LVT;Centro Hospitalar Psiquiátrico de Lisboa, SPA;38.7569771, -9.1460705;39
2016-12;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;314
2017-12;Região de Saúde Norte;Hospital Distrital S.Maria Maior, EPE - Barcelos;41.5324234, -8.6171561;207
2018-06;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Norte, EPE;38.7500861, -9.1616116;387
2018-12;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498, -8.6172617;293
2019-06;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;230
2019-06;Serviços Centrais;Instituto Nacional Saúde Dr. Ricardo Jorge - Lisboa;38.7643827, -9.1663422;32
2019-09;Região de Saúde do Alentejo;Administração Regional de Saúde do Alentejo;38.5658579, -7.9136262;28
2019-09;Região de Saúde Norte;Hospital da Senhora da Oliveira Guimarães, EPE;41.4387173, -8.3086907;200
2019-12;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;286
2020-03;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve, E.P.E;37.0238973, -7.9281554;144
2020-06;Região de Saúde Norte;Centro Hospitalar de Entre o Douro e Vouga, EPE;40.9293884, -8.5458794;189
2020-06;Região de Saúde Norte;Hospital de Braga, EPE;39.4054629, -9.1258493;44
2020-06;Região de Saúde LVT;Centro Hospitalar Psiquiátrico de Lisboa, SPA;38.7569771, -9.1460705;34
2020-12;Região de Saúde Norte;Hospital da Senhora da Oliveira Guimarães, EPE;41.4387173, -8.3086907;180
2020-12;Serviços Centrais;Instituto Português Do Sangue e Da Transplantação, IP;38.7567758, -9.1505021;42
2021-06;Região de Saúde Norte;Hospital de Magalhães Lemos, EPE;41.1764649, -8.6649823;12
2021-09;Região de Saúde Norte;Centro Hospitalar do Tâmega e Sousa, EPE;41.2494561, -8.264901;205
2021-09;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;141
2021-09;Região de Saúde Norte;Centro Hospitalar Vila Nova Gaia/Espinho, EPE;41.1094138, -8.5972617;192
2022-06;Região de Saúde Norte;Centro Hospitalar Médio Ave, EPE;41.3423984, -8.4802503;166
2022-06;Região de Saúde Norte;Hospital de Magalhães Lemos, EPE;41.1764649, -8.6649823;11
2022-12;Região de Saúde LVT;Hospital de Loures, EPE;38.8214678, -9.176741;15
2023-03;Região de Saúde LVT;Centro Hospitalar do Barreiro - Montijo, EPE;38.6554005, -9.0592392;184
2023-06;Região de Saúde Norte;Hospital Distrital S.Maria Maior, EPE - Barcelos;41.5324234, -8.6171561;112
2023-09;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Norte, EPE;38.7500861, -9.1616116;154
2023-09;Serviços Centrais;Instituto Português Do Sangue e Da Transplantação, IP;38.7567758, -9.1505021;23
2023-12;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314, -8.6956768;115
2024-06;Região de Saúde Norte;Unidade Local de Saúde do Tâmega e Sousa, E. P. E.;41.2494561, -8.264901;110
2024-12;Região de Saúde do Centro;Unidade Local de Saúde do Baixo Mondego, E. P. E.;40.117897, -8.8586755;44
2024-12;Região de Saúde LVT;Unidade Local de Saúde de Santa Maria, E. P. E.;38.7500861, -9.1616116;97
2024-12;Região de Saúde Norte;Unidade Local de Saúde de Barcelos/Esposende, E. P. E.;41.5324234, -8.6171561;35
2024-12;Região de Saúde LVT;Unidade Local de Saúde do Oeste, E. P. E.;39.4054629, -9.1258493;65
2014-03;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Central, EPE;38.7166948, -9.1371248;368
2014-03;Região de Saúde do Algarve;Administração Regional de Saúde do Algarve;37.0272677, -7.9490091;0
2014-09;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;778
2014-12;Região de Saúde do Centro;Hospital Dr. Francisco Zagalo - Ovar;40.8571967, -8.6318023;22
2014-12;Região de Saúde LVT;Instituto de Oftalmologia Dr. Gama Pinto;38.7218793, -9.144249;49
2016-03;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;228
2016-03;Região de Saúde LVT;Centro Hospitalar do Barreiro - Montijo, EPE;38.6554005, -9.0592392;176
2016-12;Região de Saúde do Centro;Instituto Português de Oncologia de Coimbra, EPE;40.2162514, -8.4103814;28
2018-06;Serviços Centrais;Instituto Português do Sangue e da Transplantação, IP;38.7567758, -9.1505021;69
2018-09;Região de Saúde Norte;Hospital da Senhora da Oliveira Guimarães, EPE;41.4387173, -8.3086907;192
2020-03;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158, -7.4922407;218
2020-06;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523, -8.4098211;167
2020-09;Região de Saúde do Centro;Hospital Rovisco Pais;40.297919, -8.7707806;59
2020-09;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;176
2021-03;Serviços Centrais;Administração Central do Sistema de Saúde, I.P;38.759209, -9.148981;3
2021-03;Região de Saúde Norte;Centro Hospitalar de Entre o Douro e Vouga, EPE;40.9293884, -8.5458794;160
2021-06;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158, -7.4922407;167
2021-06;Região de Saúde do Centro;Hospital Dr. Francisco Zagalo - Ovar;40.8571967, -8.6318023;82
2021-06;Região de Saúde Norte;Administração Regional de Saúde do Norte;41.1576321, -8.6066408;41
2022-06;Região de Saúde Norte;Instituto Português de Oncologia do Porto, EPE;41.1785642, -8.6062881;144
2022-09;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314, -8.6956768;187
2022-09;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784, -7.7515252;237
2023-03;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498, -8.6172617;193
2023-03;Região de Saúde do Centro;Instituto Português de Oncologia de Coimbra, EPE;40.2162514, -8.4103814;143
2023-12;Região de Saúde do Centro;Hospital Arcebispo João Crisóstomo - Cantanhede;40.3470015, -8.5933462;15
2023-12;Serviços Centrais;Instituto Português Do Sangue e Da Transplantação, IP;38.7567758, -9.1505021;32
2024-03;Região de Saúde LVT;Unidade Local de Saúde de Santa Maria, E. P. E.;38.7500861, -9.1616116;137
2014-03;Região de Saúde do Centro;Hospital José Luciano de Castro - Anadia;40.442326, -8.441689;11
2014-06;Região de Saúde LVT;Centro Hospitalar de Lisboa - Zona Ocidental, EPE;38.708454, -9.216985;232
2014-09;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523, -8.4098211;219
2014-12;Região de Saúde LVT;Hospital Garcia de Orta, EPE - Almada;38.6658713, -9.1822554;246
2015-06;Região de Saúde do Centro;Hospital Distrital Figueira da Foz, EPE;40.117897, -8.8586755;164
2015-09;Região de Saúde do Algarve;Administração Regional de Saúde do Algarve;37.0272677, -7.9490091;0
2016-03;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456, -8.6745115;294
2016-03;Região de Saúde do Centro;Hospital Dr. Francisco Zagalo - Ovar;40.8571967, -8.6318023;34
2016-06;Região de Saúde LVT;Instituto Português de Oncologia de Lisboa, EPE;38.7396768, -9.1634516;188
2016-06;Região de Saúde do Centro;Administração Regional de Saúde do Centro;40.2038123, -8.4216163;0
2016-12;Região de Saúde LVT;Administração Regional de Saúde de Lisboa e Vale do Tejo;38.7490049, -9.1417844;0
2017-03;Região de Saúde LVT;Instituto de Oftalmologia Dr. Gama Pinto;38.7218793, -9.144249;25
2017-03;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;149
2017-03;Região de Saúde do Algarve;Administração Regional de Saúde do Algarve;37.0272677, -7.9490091;35
2017-03;Serviços Centrais;Administração Central do Sistema de Saúde, I.P;38.759209, -9.148981;6
2017-06;Região de Saúde Norte;Centro Hospitalar Póvoa Varzim / Vila do Conde, EPE;41.3828711, -8.7589945;241
2018-09;Região de Saúde do Centro;Hospital Dr. Francisco Zagalo - Ovar;40.8571967, -8.6318023;30
2019-03;Serviços Centrais;Administração Central do Sistema de Saúde, I.P;38.759209, -9.148981;11
2019-09;Região de Saúde Norte;Centro Hospitalar do Tâmega e Sousa, EPE;41.2494561, -8.264901;221
2019-09;Região de Saúde Norte;Centro Hospitalar Póvoa Varzim / Vila do Conde, EPE;41.3828711, -8.7589945;206
2019-09;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010558;112
2019-12;Região de Saúde Norte;Centro Hospitalar de Entre o Douro e Vouga, EPE;40.9293884, -8.5458794;178
2020-03;Região de Saúde do Centro;Administração Regional de Saúde do Centro;40.2038123, -8.4216163;50
2020-03;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;265
2020-06;Região de Saúde do Centro;Hospital Arcebispo João Crisóstomo - Cantanhede;40.3470015, -8.5933462;39
2020-09;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054, -8.8252713;177
2020-09;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Central, EPE;38.7166948, -9.1371248;279
2020-09;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314, -8.6956768;90
2020-09;Região de Saúde Norte;Instituto Português de Oncologia do Porto, EPE;41.1785642, -8.6062881;104
2020-12;Região de Saúde Norte;Centro Hospitalar do Tâmega e Sousa, EPE;41.2494561, -8.264901;159
2021-03;Região de Saúde do Centro;Hospital Rovisco Pais;40.297919, -8.7707806;61
2021-03;Região de Saúde Norte;Centro Hospitalar Médio Ave, EPE;41.3423984, -8.4802503;170
2021-03;Região de Saúde do Algarve;Administração Regional de Saúde do Algarve;37.0272677, -7.9490091;50
2021-06;Região de Saúde Norte;Hospital Distrital S.Maria Maior, EPE - Barcelos;41.5324234, -8.6171561;177
2022-06;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158, -7.4922407;147
2022-09;Região de Saúde do Centro;Hospital Rovisco Pais;40.297919, -8.7707806;124
2022-12;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784, -7.7515252;179
2023-03;Região de Saúde do Centro;Hospital Dr. Francisco Zagalo - Ovar;40.8571967, -8.6318023;87
2023-03;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523, -8.4098211;171
2023-03;Serviços Centrais;Administração Central do Sistema de Saúde, I.P;38.759209, -9.148981;22
2023-06;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523, -8.4098211;177
2023-06;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784, -7.7515252;188
2023-06;Região de Saúde Norte;Centro Hospitalar Póvoa Varzim / Vila do Conde, EPE;41.3828711, -8.7589945;195
2023-09;Serviços Centrais;Administração Central do Sistema de Saúde, I.P;38.759209, -9.148981;20
2023-09;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364, -8.0827433;189
2023-12;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158, -7.4922407;154
2023-12;Região de Saúde Norte;Centro Hospitalar Médio Ave, EPE;41.3423984, -8.4802503;224
2024-03;Região de Saúde LVT;Unidade Local de Saúde de Almada-Seixal, E. P. E.;38.6658713, -9.1822554;128
2024-03;Região de Saúde Norte;UNIDADE LOCAL DE SAÚDE DE MATOSINHOS, EPE;41.1794456, -8.6745115;111
2024-03;Região de Saúde Norte;Unidade Local de Saúde de Braga, E. P. E.;39.4054629, -9.1258493;63
2024-03;Serviços Centrais;Direção Executiva do Serviço Nacional de Saúde, I.P.;41.1831056, -8.6010558;37
2024-09;Região de Saúde Norte;Unidade Local de Saúde de São João, E. P. E.;41.1831056, -8.6010558;43
2024-12;Região de Saúde LVT;Unidade Local de Saúde de São José, E. P. E.;38.7166948, -9.1371248;127
2014-06;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;751
2014-09;Serviços Centrais;Instituto Nacional Saúde Dr. Ricardo Jorge - Lisboa;38.7643827, -9.1663422;0
2014-12;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;372
2017-12;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010558;111
2017-12;Serviços Centrais;Instituto Português do Sangue e da Transplantação, IP;38.7567758, -9.1505021;64
2018-06;Região de Saúde LVT;Hospital Garcia de Orta, EPE - Almada;38.6658713, -9.1822554;206
2019-03;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158, -7.4922407;302
2019-06;Região de Saúde Norte;Centro Hospitalar do Tâmega e Sousa, EPE;41.2494561, -8.264901;207
2019-06;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve, E.P.E;37.0238973, -7.9281554;136
2014-03;Região de Saúde Norte;Unidade Local de Saúde Alto Minho, EPE;41.7056054, -8.8252713;81
2014-03;Região de Saúde LVT;Administração Regional de Saúde de Lisboa e Vale do Tejo;38.7490049, -9.1417844;0
2014-06;Serviços Centrais;Instituto Português do Sangue e da Transplantação, IP;38.7567758, -9.1505021;0
2014-06;Região de Saúde Norte;Centro Hospitalar do Alto Ave, EPE;41.4387173, -8.3086907;104
2014-06;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Norte, EPE;38.7500861, -9.1616116;515
2014-09;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;666
2014-09;Serviços Centrais;Instituto Português do Sangue e da Transplantação, IP;38.7567758, -9.1505021;0
2014-09;Região de Saúde LVT;Hospital Garcia de Orta, EPE - Almada;38.6658713, -9.1822554;241
2014-09;Região de Saúde Norte;Administração Regional de Saúde do Norte;41.1576321, -8.6066408;0
2014-09;Região de Saúde do Centro;Hospital Arcebispo João Crisóstomo - Cantanhede;40.3470015, -8.5933462;29
2014-12;Região de Saúde do Centro;Hospital Rovisco Pais;40.297919, -8.7707806;23
2015-03;Região de Saúde Norte;Hospital Distrital S.Maria Maior, EPE - Barcelos;41.5324234, -8.6171561;59
2015-03;Região de Saúde Norte;Unidade Local de Saúde Alto Minho, EPE;41.7056054, -8.8252713;80
2015-06;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;389
2015-06;Região de Saúde do Centro;Instituto Português de Oncologia de Coimbra, EPE;40.2162514, -8.4103814;34
2015-06;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523, -8.4098211;213
2015-09;Região de Saúde Norte;Centro Hospitalar do Tâmega e Sousa, EPE;41.2494561, -8.264901;91
2015-09;Serviços Centrais;Administração Central do Sistema de Saúde, I.P;38.759209, -9.148981;0
2015-09;Região de Saúde do Centro;Hospital Dr. Francisco Zagalo - Ovar;40.8571967, -8.6318023;32
2015-09;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;346
2015-09;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;252
2015-12;Região de Saúde LVT;Hospital Garcia de Orta, EPE - Almada;38.6658713, -9.1822554;179
2015-12;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364, -8.0827433;73
2015-12;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010558;81
2016-03;Região de Saúde LVT;Administração Regional de Saúde de Lisboa e Vale do Tejo;38.7490049, -9.1417844;0
2016-03;Região de Saúde Norte;Centro Hospitalar Póvoa Varzim / Vila do Conde, EPE;41.3828711, -8.7589945;137
2016-03;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314, -8.6956768;39
2016-03;Região de Saúde LVT;Centro Hospitalar de Lisboa - Zona Ocidental, EPE;38.708454, -9.216985;285
2016-06;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;144
2016-06;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;236
2016-09;Região de Saúde LVT;Centro Hospitalar Psiquiátrico de Lisboa, SPA;38.7569771, -9.1460705;67
2016-09;Região de Saúde Norte;Centro Hospitalar do Alto Ave, EPE;41.4387173, -8.3086907;0
2016-12;Região de Saúde Norte;Centro Hospitalar Vila Nova Gaia/Espinho, EPE;41.1094138, -8.5972617;256
2016-12;Região de Saúde Norte;Hospital da Senhora da Oliveira Guimarães, EPE;41.4387173, -8.3086907;95
2016-12;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;472
2017-03;Região de Saúde Norte;Unidade Local de Saúde Alto Minho, EPE;41.7056054, -8.8252713;155
2017-03;Região de Saúde Norte;Hospital Distrital S.Maria Maior, EPE - Barcelos;41.5324234, -8.6171561;123
2017-06;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve, E.P.E;37.0238973, -7.9281554;114
2017-12;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Central, EPE;38.7166948, -9.1371248;308
2017-12;Região de Saúde LVT;Centro Hospitalar Psiquiátrico de Lisboa, SPA;38.7569771, -9.1460705;47
2017-12;Região de Saúde Norte;Centro Hospitalar Médio Ave, EPE;41.3423984, -8.4802503;279
2017-12;Região de Saúde do Centro;Hospital Dr. Francisco Zagalo - Ovar;40.8571967, -8.6318023;48
2018-03;Região de Saúde do Centro;Hospital Dr. Francisco Zagalo - Ovar;40.8571967, -8.6318023;42
2018-03;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523, -8.4098211;281
2018-03;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;492
2018-06;Região de Saúde LVT;Centro Hospitalar do Oeste, SPA;39.4054629, -9.1258493;59
2018-09;Região de Saúde LVT;Instituto Português de Oncologia de Lisboa, EPE;38.7396768, -9.1634516;238
2019-03;Região de Saúde LVT;Hospital Fernando Fonseca, EPE;38.7422257, -9.2264834;204
2019-06;Região de Saúde LVT;Centro Hospitalar do Barreiro - Montijo, EPE;38.6554005, -9.0592392;269
2019-06;Região de Saúde Norte;Unidade Local de Saúde Alto Minho, EPE;41.7056054, -8.8252713;160
2019-09;Serviços Centrais;Instituto Nacional Saúde Dr. Ricardo Jorge - Lisboa;38.7643827, -9.1663422;37
2019-09;Região de Saúde LVT;Administração Regional de Saúde de Lisboa e Vale do Tejo;38.7490049, -9.1417844;23
2019-09;Região de Saúde LVT;Hospital Garcia de Orta, EPE - Almada;38.6658713, -9.1822554;178
2019-12;Região de Saúde do Centro;Hospital Dr. Francisco Zagalo - Ovar;40.8571967, -8.6318023;43
2019-12;Região de Saúde LVT;Instituto de Oftalmologia Dr. Gama Pinto;38.7218793, -9.144249;31
2019-12;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;187
2019-12;Região de Saúde Norte;Centro Hospitalar do Tâmega e Sousa, EPE;41.2494561, -8.264901;220
2019-12;Região de Saúde Norte;Hospital da Senhora da Oliveira Guimarães, EPE;41.4387173, -8.3086907;207
2020-03;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629, -9.1258493;148
2020-03;Serviços Centrais;Instituto Nacional Saúde Dr. Ricardo Jorge - Lisboa;38.7643827, -9.1663422;51
2020-06;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456, -8.6745115;136
2020-06;Região de Saúde Norte;Hospital da Senhora da Oliveira Guimarães, EPE;41.4387173, -8.3086907;185
2020-06;Região de Saúde do Centro;Instituto Português de Oncologia de Coimbra, EPE;40.2162514, -8.4103814;66
2020-09;Região de Saúde LVT;Hospital Garcia de Orta, EPE - Almada;38.6658713, -9.1822554;130
2020-12;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314, -8.6956768;97
2020-12;Região de Saúde do Centro;Administração Regional de Saúde do Centro;40.2038123, -8.4216163;43
2021-09;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;151
2021-09;Região de Saúde LVT;Hospital Garcia de Orta, EPE - Almada;38.6658713, -9.1822554;168
2021-09;Região de Saúde Norte;Hospital de Braga, EPE;39.4054629, -9.1258493;58
2021-12;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Norte, EPE;38.7500861, -9.1616116;168
2021-12;Região de Saúde Norte;Centro Hospitalar Póvoa Varzim / Vila do Conde, EPE;41.3828711, -8.7589945;197
2021-12;Região de Saúde Norte;Hospital de Magalhães Lemos, EPE;41.1764649, -8.6649823;11
2022-03;Região de Saúde do Centro;Administração Regional de Saúde do Centro;40.2038123, -8.4216163;42
2022-06;Região de Saúde Norte;Hospital de Braga, EPE;39.4054629, -9.1258493;95
2022-06;Região de Saúde LVT;Centro Hospitalar Psiquiátrico de Lisboa, SPA;38.7569771, -9.1460705;39
2023-06;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Central, EPE;38.7166948, -9.1371248;259
2023-06;Serviços Centrais;Administração Central do Sistema de Saúde, I.P;38.759209, -9.148981;20
2024-06;Região de Saúde LVT;Unidade Local de Saúde do Médio Tejo, E. P. E.;39.478072, -8.5404429;86
2024-06;Região de Saúde LVT;Unidade Local de Saúde da Arrábida, E. P. E.;38.5283754, -8.8818638;110
2024-06;Região de Saúde LVT;Unidade Local de Saúde do Arco Ribeirinho, E. P. E.;38.6554005, -9.0592392;144
