tempo;regiao;instituicao;localizacao_geografica;gastos_com_te_e_suplementos;gastos_com_pessoal;gastos_com_te_e_suplementos_no_total_gastos_com_pessoal
2018-01;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;451;4231;10.7
2018-01;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314, -8.6956768;269;2280;11.8
2018-01;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.977235, -8.984506;146;2833;5.2
2018-01;Região de Saúde Norte;Centro Hospitalar de São João, EPE;41.1831056, -8.6010558;1884;15469;12.2
2018-01;Região de Saúde Norte;Instituto Português Oncologia do Porto, EPE;41.1785642, -8.6062881;544;4668;11.7
2018-02;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;1084;8169;13.3
2018-02;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve,EPE;37.0238973, -7.9281554;2297;19841;11.6
2018-02;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, EPE;40.9293884, -8.5458794;1191;9564;12.5
2018-02;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711, -8.7589945;465;3787;12.3
2018-02;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138, -8.5972617;2260;17535;12.9
2018-02;Região de Saúde Norte;Hospital da Senhora da Oliveira, Guimarães, EPE;41.4387173, -8.3086907;820;8355;9.8
2018-02;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;1701;10245;16.6
2018-03;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;1634;15341;10.7
2018-03;Região de Saúde do Centro;Hospital Distrital da Figueira da Foz, EPE;40.117897, -8.8586755;470;4809;9.8
2018-03;Região de Saúde do Centro;Hospital Dr. Francisco Zagalo;40.8571967, -8.6318023;72;934;7.7
2018-03;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;1668;13973;11.9
2018-03;Região de Saúde LVT;Centro Hospitalar Psiquiátrico de Lisboa;38.7569771, -9.1460705;109;3574;3.1
2018-03;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, EPE;40.9293884, -8.5458794;1724;14340;12.0
2018-03;Região de Saúde Norte;Hospital da Senhora da Oliveira, Guimarães, EPE;41.4387173, -8.3086907;1224;12501;9.8
2018-03;Região de Saúde Norte;Hospital de Braga, PPP;41.56785, -8.398982;1274;20361;6.3
2018-03;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456, -8.6745115;1828;20272;9.0
2018-04;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;1934;16987;11.4
2018-04;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314, -8.6956768;1157;9198;12.6
2018-04;Região de Saúde do Centro;Centro Medicina de Reabilitação da Região Centro Rovisco Pais;40.297919, -8.7707806;88;1462;6.0
2018-04;Região de Saúde do Centro;Hospital Distrital da Figueira da Foz, EPE;40.117897, -8.8586755;618;6444;9.6
2018-04;Região de Saúde do Centro;Instituto Português Oncologia de Coimbra, EPE;40.2162514, -8.4103814;1040;9584;10.9
2018-04;Região de Saúde Norte;Centro Hospitalar de São João, EPE;41.1831056, -8.6010558;6832;60550;11.3
2018-04;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138, -8.5972617;4444;35070;12.7
2018-05;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;2424;21352;11.4
2018-05;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve,EPE;37.0238973, -7.9281554;3693;47215;7.8
2018-05;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;2563;25470;10.1
2018-05;Região de Saúde do Centro;Hospital Arcebispo João Crisóstomo;40.3470015, -8.5933462;28;1024;2.8
2018-05;Região de Saúde do Centro;Hospital Distrital da Figueira da Foz, EPE;40.117897, -8.8586755;763;8057;9.5
2018-05;Região de Saúde Norte;Centro Hospitalar de São João, EPE;41.1831056, -8.6010558;8536;75827;11.3
