tempo;regiao;entidade;localizacao_geografica;modalidade_de_vinculacao;no_trabalhadores
2024-06;Região de Saúde do Algarve;Administração Regional De Saúde Do Algarve, I.P.;37.027122, -7.946842;P. Serviços (Avenças);0
2024-06;Região de Saúde do Algarve;Unidade Local De Saúde Do Algarve, E.P.E.;37.0238973, -7.9281554;Nomeação Transitória p/ Tempo determinável;0
2024-06;Região de Saúde do Algarve;Unidade Local De Saúde Do Algarve, E.P.E.;37.0238973, -7.9281554;P. Serviços (Avenças);127
2024-06;Região de Saúde do Centro;Administração Regional De Saúde Do Centro, I.P.;40.203782, -8.419176;Cargo Político / Mandato;0
2024-06;Região de Saúde do Centro;Administração Regional De Saúde Do Centro, I.P.;40.203782, -8.419176;Nomeação Transitória p/ Tempo determinável;0
2024-06;Região de Saúde do Centro;Administração Regional De Saúde Do Centro, I.P.;40.203782, -8.419176;Comissão de Serviço no âmbito do LTFP;8
2024-06;Região de Saúde do Centro;Administração Regional De Saúde Do Centro, I.P.;40.203782, -8.419176;P. Serviços (Tarefas);0
2024-06;Região de Saúde do Centro;Centro Medicina de Reabilitação da Região Centro Rovisco Pais;38.7313954, -9.1447467;Nomeação Transitória p/ Tempo determinado;0
2024-06;Região de Saúde do Centro;Centro Medicina de Reabilitação da Região Centro Rovisco Pais;38.7313954, -9.1447467;CTR certo no âmbito do Código Trabalho;0
2024-06;Região de Saúde do Centro;Hospital Dr. Francisco Zagalo;40.8571967, -8.6318023;CT em Funções Públicas a Termo Resolutivo Certo;0
2024-06;Região de Saúde do Centro;Hospital Dr. Francisco Zagalo;40.8571967, -8.6318023;CTR certo no âmbito do Código Trabalho;0
2024-06;Região de Saúde do Centro;Hospital Dr. Francisco Zagalo;40.8571967, -8.6318023;CTR incerto no âmbito do Código Trabalho;0
2024-06;Região de Saúde do Centro;Hospital Dr. Francisco Zagalo;40.8571967, -8.6318023;P. Serviços (Tarefas);34
2024-06;Região de Saúde do Centro;Hospital Dr. Francisco Zagalo;40.8571967, -8.6318023;P. Serviços (Avenças);0
2024-06;Região de Saúde do Centro;Inst.port.onc.francisco Gentil-Coimbra, E.P.E.;40.2162514, -8.4103814;CT em Funções Públicas p/ Tempo Indeterminado;310
2024-06;Região de Saúde do Centro;Inst.port.onc.francisco Gentil-Coimbra, E.P.E.;40.2162514, -8.4103814;CT p/ tempo Indeterminado no âmbito Cód. Trabalho;692
2024-06;Região de Saúde do Centro;Inst.port.onc.francisco Gentil-Coimbra, E.P.E.;40.2162514, -8.4103814;P. Serviços (Tarefas);19
2024-06;Região de Saúde do Centro;Unidade Local De Saúde Da Cova Da Beira, E.P.E.;40.2804158, -7.4922407;Cargo Político / Mandato;4
2024-06;Região de Saúde do Centro;Unidade Local De Saúde Da Cova Da Beira, E.P.E.;40.2804158, -7.4922407;Comissão de Serviço no âmbito do LTFP;2
2024-06;Região de Saúde do Centro;Unidade Local De Saúde Da Cova Da Beira, E.P.E.;40.2804158, -7.4922407;CTR certo no âmbito do Código Trabalho;16
2024-06;Região de Saúde do Centro;Unidade Local De Saúde Da Guarda, E.P.E.;40.5309916, -7.2734793;Nomeação Transitória p/ Tempo determinável;0
2024-06;Região de Saúde do Centro;Unidade Local De Saúde Da Guarda, E.P.E.;40.5309916, -7.2734793;CT em Funções Públicas a Termo Resolutivo Certo;1
2024-06;Região de Saúde do Centro;Unidade Local De Saúde Da Guarda, E.P.E.;40.5309916, -7.2734793;CT p/ tempo Indeterminado no âmbito Cód. Trabalho;1107
2024-06;Região de Saúde do Centro;Unidade Local De Saúde Da Guarda, E.P.E.;40.5309916, -7.2734793;CTR incerto no âmbito do Código Trabalho;62
2024-06;Região de Saúde do Centro;Unidade Local De Saúde Da Região De Aveiro, E.P.E.;40.6362453, -8.6543716;CT em Funções Públicas a Termo Resolutivo Incerto;342
2024-06;Região de Saúde do Centro;Unidade Local De Saúde Da Região De Aveiro, E.P.E.;40.6362453, -8.6543716;CTR certo no âmbito do Código Trabalho;13
2024-06;Região de Saúde do Centro;Unidade Local De Saúde Da Região De Aveiro, E.P.E.;40.6362453, -8.6543716;P. Serviços (Avenças);0
2024-06;Região de Saúde do Centro;Unidade Local De Saúde Da Região De Leiria, E.P.E.;39.7414812, -8.7982706;Nomeação Transitória p/ Tempo determinado;0
2024-06;Região de Saúde do Centro;Unidade Local De Saúde Da Região De Leiria, E.P.E.;39.7414812, -8.7982706;CT em Funções Públicas a Termo Resolutivo Certo;12
2024-06;Região de Saúde do Centro;Unidade Local De Saúde Da Região De Leiria, E.P.E.;39.7414812, -8.7982706;CT em Funções Públicas a Termo Resolutivo Incerto;276
2024-06;Região de Saúde do Centro;Unidade Local De Saúde Da Região De Leiria, E.P.E.;39.7414812, -8.7982706;Comissão de Serviço no âmbito do LTFP;1
2024-06;Região de Saúde do Centro;Unidade Local De Saúde De Castelo Branco, E.P.E.;39.8212263, -7.4981271;Nomeação Transitória p/ Tempo determinável;0
2024-06;Região de Saúde do Centro;Unidade Local De Saúde De Castelo Branco, E.P.E.;39.8212263, -7.4981271;CT em Funções Públicas p/ Tempo Indeterminado;530
2024-06;Região de Saúde do Centro;Unidade Local De Saúde De Castelo Branco, E.P.E.;39.8212263, -7.4981271;Comissão de Serviço no âmbito do LTFP;3
2024-06;Região de Saúde do Centro;Unidade Local De Saúde De Coimbra, E.P.E.;40.2191523, -8.4098211;Nomeação Transitória p/ Tempo determinado;0
2024-06;Região de Saúde do Centro;Unidade Local De Saúde De Coimbra, E.P.E.;40.2191523, -8.4098211;CT em Funções Públicas a Termo Resolutivo Incerto;933
2024-06;Região de Saúde do Centro;Unidade Local De Saúde De Coimbra, E.P.E.;40.2191523, -8.4098211;P. Serviços (Avenças);67
2024-06;Região de Saúde do Centro;Unidade Local De Saúde De Viseu Dão-Lafões, E.P.E.;40.516364, -8.0827433;CT em Funções Públicas a Termo Resolutivo Certo;5
2024-06;Região de Saúde do Centro;Unidade Local De Saúde De Viseu Dão-Lafões, E.P.E.;40.516364, -8.0827433;CTR certo no âmbito do Código Trabalho;0
2024-06;Região de Saúde do Centro;Unidade Local De Saúde De Viseu Dão-Lafões, E.P.E.;40.516364, -8.0827433;P. Serviços (Tarefas);61
2024-06;Região de Saúde do Centro;Unidade Local De Saúde De Viseu Dão-Lafões, E.P.E.;40.516364, -8.0827433;P. Serviços (Avenças);2
2024-06;Região de Saúde do Centro;Unidade Local De Saúde Do Baixo Mondego, E.P.E.;40.117897, -8.8586755;CT em Funções Públicas a Termo Resolutivo Certo;0
2024-06;Região de Saúde do Centro;Unidade Local De Saúde Do Baixo Mondego, E.P.E.;40.117897, -8.8586755;Comissão de Serviço no âmbito do Código Trabalho;1
2024-06;Região de Saúde do Centro;Unidade Local De Saúde Do Baixo Mondego, E.P.E.;40.117897, -8.8586755;CT p/ tempo Indeterminado no âmbito Cód. Trabalho;423
2024-07;Região de Saúde LVT;Administração Central do Sistema de Saúde, I.P.;38.7569402, -9.1494097;Cargo Político / Mandato;3
2024-07;Região de Saúde LVT;Administração Central do Sistema de Saúde, I.P.;38.7569402, -9.1494097;Nomeação Transitória p/ Tempo determinado;0
2024-07;Região de Saúde LVT;Administração Central do Sistema de Saúde, I.P.;38.7569402, -9.1494097;CT em Funções Públicas a Termo Resolutivo Certo;8
2024-07;Região de Saúde LVT;Administração Central do Sistema de Saúde, I.P.;38.7569402, -9.1494097;CT em Funções Públicas a Termo Resolutivo Incerto;14
2024-07;Região de Saúde LVT;Administração Central do Sistema de Saúde, I.P.;38.7569402, -9.1494097;Comissão de Serviço no âmbito do Código Trabalho;1
2024-07;Região de Saúde LVT;Administração Central do Sistema de Saúde, I.P.;38.7569402, -9.1494097;CTR incerto no âmbito do Código Trabalho;0
2024-07;Região de Saúde LVT;Administração Central do Sistema de Saúde, I.P.;38.7569402, -9.1494097;P. Serviços (Tarefas);0
2024-07;Região de Saúde LVT;Administração Regional Saúde Lisboa Vale Tejo, I.P.;38.748879, -9.139606;Nomeação Transitória p/ Tempo determinável;0
