ano;trimestre;regiao;faixa_etaria;cod_capitulo;desc_capitulo;taxa_internamento;taxa_mortalidade
2021;Terceiro;Região de Saúde do Norte;[25-45[;14;Doenças do aparelho geniturinário;4.46;0.0
2021;Terceiro;Região de Saúde do Norte;[45-65[;1;Algumas doenças infecciosas e parasitárias;2.24;11.11
2021;Terceiro;Região de Saúde do Norte;[45-65[;7;Doenças do olho e anexos;0.73;0.0
2021;Terceiro;Região de Saúde do Norte;[5-15[;8;Doenças do ouvido e da apófise mastóide;4.4;0.0
2020;Quarto;Região de Saúde do Algarve;[25-45[;3;Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários;0.29;25.0
2020;Quarto;Região de Saúde do Algarve;[25-45[;10;Doenças do aparelho respiratório;2.29;0.0
2020;Quarto;Região de Saúde do Algarve;[25-45[;13;Doenças do aparelho osteomuscular e do tecido conjuntivo;0.36;0.0
2020;Quarto;Região de Saúde do Algarve;[25-45[;15;Gravidez, parto e puerpério;61.66;0.0
2020;Quarto;Região de Saúde do Algarve;[25-45[;19;Lesões, envenenamento e algumas outras consequências de causas externas;6.29;1.14
2020;Quarto;Região de Saúde do Algarve;[45-65[;3;Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários;0.95;23.08
2020;Quarto;Região de Saúde do Algarve;[45-65[;7;Doenças do olho e anexos;0.15;0.0
2020;Quarto;Região de Saúde do Algarve;[45-65[;9;Doenças do aparelho circulatório;17.38;5.46
2020;Quarto;Região de Saúde do Algarve;[45-65[;11;Doenças do aparelho digestivo;15.85;5.53
2020;Quarto;Região de Saúde do Algarve;[45-65[;14;Doenças do aparelho geniturinário;5.84;2.5
2020;Quarto;Região de Saúde do Algarve;[45-65[;19;Lesões, envenenamento e algumas outras consequências de causas externas;11.32;0.65
2020;Quarto;Região de Saúde do Algarve;[5-15[;2;Neoplasias;1.77;0.0
2020;Quarto;Região de Saúde do Algarve;[5-15[;6;Doenças do sistema nervoso;0.88;0.0
2020;Quarto;Região de Saúde do Algarve;[5-15[;12;Doenças da pele e do tecido subcutâneo;0.88;0.0
2020;Quarto;Região de Saúde do Algarve;[65-120[;3;Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários;0.91;25.93
2020;Quarto;Região de Saúde do Algarve;[65-120[;4;Doenças endócrinas, nutricionais e metabólicas;3.07;25.27
2020;Segundo;Região de Saúde do Norte;[65-120[;11;Doenças do aparelho digestivo;10.08;8.17
2020;Segundo;Região de Saúde do Norte;[65-120[;13;Doenças do aparelho osteomuscular e do tecido conjuntivo;2.78;3.52
2020;Segundo;Região de Saúde do Norte;[65-120[;18;Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte;2.54;13.02
2020;Terceiro;Região de Saúde LVT;[0-1[;2;Neoplasias;0.15;0.0
