,subsidy_dependence,subsidy_dependence,subsidy_dependence,subsidy_dependence,subsidy_dependence,operating_margin,operating_margin,entidade
,mean,median,std,min,max,mean,median,nunique
year,,,,,,,,
2014,0.074,0.059,0.057,0.0,0.281,-0.064,-0.059,46
2015,0.081,0.05,0.078,0.0,0.35,-0.07,-0.042,46
2016,0.098,0.087,0.075,0.0,0.312,-0.091,-0.086,45
2017,0.131,0.13,0.087,0.0,0.344,-0.125,-0.13,45
2018,0.16,0.169,0.11,0.0,0.451,-0.152,-0.169,45
2019,0.155,0.144,0.105,0.006,0.414,-0.147,-0.138,46
2020,0.154,0.14,0.084,0.013,0.358,-0.15,-0.14,46
2021,0.179,0.179,0.095,0.01,0.433,-0.171,-0.179,48
2022,0.169,0.166,0.097,0.0,0.453,-0.161,-0.166,51
2023,0.123,0.104,0.085,0.0,0.324,-0.108,-0.104,51
2024,0.113,0.107,0.071,0.0,0.323,-0.096,-0.099,44
2025,0.188,0.19,0.086,0.0,0.376,-0.183,-0.19,44
