freq;freq_label;unit;unit_label;sex;sex_label;age;age_label;geo;geo_label;time;time_label;value
A;Annual;YR;Year;T;Total;Y_LT1;Less than 1 year;PT;Portugal;1960;1960;64.0
A;Annual;YR;Year;M;Males;Y_LT1;Less than 1 year;PT;Portugal;1960;1960;62.7
A;Annual;YR;Year;F;Females;Y_LT1;Less than 1 year;PT;Portugal;1960;1960;64.2
A;Annual;YR;Year;T;Total;Y1;1 year;PT;Portugal;1960;1960;64.8
A;Annual;YR;Year;M;Males;Y1;1 year;PT;Portugal;1960;1960;64.9
A;Annual;YR;Year;F;Females;Y1;1 year;PT;Portugal;1960;1960;65.8
A;Annual;YR;Year;T;Total;Y2;2 years;PT;Portugal;1960;1960;65.3
A;Annual;YR;Year;M;Males;Y2;2 years;PT;Portugal;1960;1960;66.1
A;Annual;YR;Year;F;Females;Y2;2 years;PT;Portugal;1960;1960;66.4
A;Annual;YR;Year;T;Total;Y3;3 years;PT;Portugal;1960;1960;66.0
A;Annual;YR;Year;M;Males;Y3;3 years;PT;Portugal;1960;1960;66.7
A;Annual;YR;Year;F;Females;Y3;3 years;PT;Portugal;1960;1960;66.4
A;Annual;YR;Year;T;Total;Y4;4 years;PT;Portugal;1960;1960;68.4
A;Annual;YR;Year;M;Males;Y4;4 years;PT;Portugal;1960;1960;67.6
A;Annual;YR;Year;F;Females;Y4;4 years;PT;Portugal;1960;1960;68.2
A;Annual;YR;Year;T;Total;Y5;5 years;PT;Portugal;1960;1960;68.4
A;Annual;YR;Year;M;Males;Y5;5 years;PT;Portugal;1960;1960;69.0
A;Annual;YR;Year;F;Females;Y5;5 years;PT;Portugal;1960;1960;70.1
A;Annual;YR;Year;T;Total;Y6;6 years;PT;Portugal;1960;1960;70.5
A;Annual;YR;Year;M;Males;Y6;6 years;PT;Portugal;1960;1960;71.3
A;Annual;YR;Year;F;Females;Y6;6 years;PT;Portugal;1960;1960;71.5
A;Annual;YR;Year;T;Total;Y7;7 years;PT;Portugal;1960;1960;71.8
A;Annual;YR;Year;M;Males;Y7;7 years;PT;Portugal;1960;1960;72.5
A;Annual;YR;Year;F;Females;Y7;7 years;PT;Portugal;1960;1960;72.4
A;Annual;YR;Year;T;Total;Y8;8 years;PT;Portugal;1960;1960;72.7
A;Annual;YR;Year;M;Males;Y8;8 years;PT;Portugal;1960;1960;73.0
A;Annual;YR;Year;F;Females;Y8;8 years;PT;Portugal;1960;1960;73.4
A;Annual;YR;Year;T;Total;Y9;9 years;PT;Portugal;1960;1960;73.8
A;Annual;YR;Year;M;Males;Y9;9 years;PT;Portugal;1960;1960;73.8
A;Annual;YR;Year;F;Females;Y9;9 years;PT;Portugal;1960;1960;74.4
A;Annual;YR;Year;T;Total;Y10;10 years;PT;Portugal;1960;1960;74.1
A;Annual;YR;Year;M;Males;Y10;10 years;PT;Portugal;1960;1960;74.1
A;Annual;YR;Year;F;Females;Y10;10 years;PT;Portugal;1960;1960;74.7
A;Annual;YR;Year;T;Total;Y11;11 years;PT;Portugal;1960;1960;74.6
A;Annual;YR;Year;M;Males;Y11;11 years;PT;Portugal;1960;1960;75.5
