freq;freq_label;sex;sex_label;unit;unit_label;age;age_label;geo;geo_label;time;time_label;value
A;Annual;T;Total;NR;Number;TOTAL;Total;PT;Portugal;2014;2014;10444092
A;Annual;M;Males;NR;Number;TOTAL;Total;PT;Portugal;2014;2014;10395121
A;Annual;F;Females;NR;Number;TOTAL;Total;PT;Portugal;2014;2014;10368554
A;Annual;T;Total;NR;Number;Y_LT5;Less than 5 years;PT;Portugal;2014;2014;10344478
A;Annual;M;Males;NR;Number;Y_LT5;Less than 5 years;PT;Portugal;2014;2014;10335770
A;Annual;F;Females;NR;Number;Y_LT5;Less than 5 years;PT;Portugal;2014;2014;10333496
A;Annual;T;Total;NR;Number;Y5-9;From 5 to 9 years;PT;Portugal;2014;2014;10375395
A;Annual;M;Males;NR;Number;Y5-9;From 5 to 9 years;PT;Portugal;2014;2014;10394297
A;Annual;F;Females;NR;Number;Y5-9;From 5 to 9 years;PT;Portugal;2014;2014;10421117
A;Annual;T;Total;NR;Number;Y10-14;From 10 to 14 years;PT;Portugal;2014;2014;10516621
A;Annual;M;Males;NR;Number;Y10-14;From 10 to 14 years;PT;Portugal;2014;2014;10639726
A;Annual;F;Females;NR;Number;Y10-14;From 10 to 14 years;PT;Portugal;2014;2014;466541
A;Annual;T;Total;NR;Number;Y15-19;From 15 to 19 years;PT;Portugal;2014;2014;451569
A;Annual;M;Males;NR;Number;Y15-19;From 15 to 19 years;PT;Portugal;2014;2014;436661
A;Annual;F;Females;NR;Number;Y15-19;From 15 to 19 years;PT;Portugal;2014;2014;427131
A;Annual;T;Total;NR;Number;Y20-24;From 20 to 24 years;PT;Portugal;2014;2014;423917
A;Annual;M;Males;NR;Number;Y20-24;From 20 to 24 years;PT;Portugal;2014;2014;428513
A;Annual;F;Females;NR;Number;Y20-24;From 20 to 24 years;PT;Portugal;2014;2014;433867
A;Annual;T;Total;NR;Number;Y25-29;From 25 to 29 years;PT;Portugal;2014;2014;433732
A;Annual;M;Males;NR;Number;Y25-29;From 25 to 29 years;PT;Portugal;2014;2014;426992
A;Annual;F;Females;NR;Number;Y25-29;From 25 to 29 years;PT;Portugal;2014;2014;428501
A;Annual;T;Total;NR;Number;Y30-34;From 30 to 34 years;PT;Portugal;2014;2014;429772
