freq;freq_label;unit;unit_label;sex;sex_label;age;age_label;icd10;icd10_label;geo;geo_label;time;time_label;value
A;Annual;RT;Rate;F;Females;TOTAL;Total;A-R_V-Y;All causes of death (A00-Y89) excluding S00-T98;PT;Portugal;2011;2011;947.32
A;Annual;RT;Rate;T;Total;Y_LT65;Less than 65 years;A-R_V-Y;All causes of death (A00-Y89) excluding S00-T98;PT;Portugal;2011;2011;1025.5
A;Annual;RT;Rate;M;Males;Y_LT65;Less than 65 years;A-R_V-Y;All causes of death (A00-Y89) excluding S00-T98;PT;Portugal;2011;2011;1052.09
A;Annual;RT;Rate;F;Females;Y_LT65;Less than 65 years;A-R_V-Y;All causes of death (A00-Y89) excluding S00-T98;PT;Portugal;2011;2011;1024.83
A;Annual;RT;Rate;T;Total;Y_GE65;65 years or over;A-R_V-Y;All causes of death (A00-Y89) excluding S00-T98;PT;Portugal;2011;2011;991.41
A;Annual;RT;Rate;M;Males;Y_GE65;65 years or over;A-R_V-Y;All causes of death (A00-Y89) excluding S00-T98;PT;Portugal;2011;2011;1005.36
A;Annual;RT;Rate;F;Females;Y_GE65;65 years or over;A-R_V-Y;All causes of death (A00-Y89) excluding S00-T98;PT;Portugal;2011;2011;1005.03
A;Annual;RT;Rate;T;Total;TOTAL;Total;A_B;Certain infectious and parasitic diseases (A00-B99);PT;Portugal;2011;2011;980.61
A;Annual;RT;Rate;M;Males;TOTAL;Total;A_B;Certain infectious and parasitic diseases (A00-B99);PT;Portugal;2011;2011;993.02
A;Annual;RT;Rate;F;Females;TOTAL;Total;A_B;Certain infectious and parasitic diseases (A00-B99);PT;Portugal;2011;2011;966.22
A;Annual;RT;Rate;T;Total;Y_LT65;Less than 65 years;A_B;Certain infectious and parasitic diseases (A00-B99);PT;Portugal;2011;2011;1044.03
A;Annual;RT;Rate;M;Males;Y_LT65;Less than 65 years;A_B;Certain infectious and parasitic diseases (A00-B99);PT;Portugal;2011;2011;1000.31
A;Annual;RT;Rate;T;Total;Y_GE65;65 years or over;A_B;Certain infectious and parasitic diseases (A00-B99);PT;Portugal;2011;2011;21.91
A;Annual;RT;Rate;M;Males;Y_GE65;65 years or over;A_B;Certain infectious and parasitic diseases (A00-B99);PT;Portugal;2011;2011;22.2
A;Annual;RT;Rate;F;Females;Y_GE65;65 years or over;A_B;Certain infectious and parasitic diseases (A00-B99);PT;Portugal;2011;2011;23.07
A;Annual;RT;Rate;T;Total;TOTAL;Total;A15-A19_B90;Tuberculosis;PT;Portugal;2011;2011;20.73
A;Annual;RT;Rate;M;Males;TOTAL;Total;A15-A19_B90;Tuberculosis;PT;Portugal;2011;2011;18.26
A;Annual;RT;Rate;F;Females;TOTAL;Total;A15-A19_B90;Tuberculosis;PT;Portugal;2011;2011;18.08
A;Annual;RT;Rate;T;Total;Y_LT65;Less than 65 years;A15-A19_B90;Tuberculosis;PT;Portugal;2011;2011;18.02
A;Annual;RT;Rate;M;Males;Y_LT65;Less than 65 years;A15-A19_B90;Tuberculosis;PT;Portugal;2011;2011;17.98
A;Annual;RT;Rate;F;Females;Y_LT65;Less than 65 years;A15-A19_B90;Tuberculosis;PT;Portugal;2011;2011;15.99
A;Annual;RT;Rate;T;Total;Y_GE65;65 years or over;A15-A19_B90;Tuberculosis;PT;Portugal;2011;2011;15.85
A;Annual;RT;Rate;M;Males;Y_GE65;65 years or over;A15-A19_B90;Tuberculosis;PT;Portugal;2011;2011;18.43
A;Annual;RT;Rate;F;Females;Y_GE65;65 years or over;A15-A19_B90;Tuberculosis;PT;Portugal;2011;2011;19.73
A;Annual;RT;Rate;T;Total;TOTAL;Total;B15-B19_B942;Viral hepatitis and sequelae of viral hepatitis;PT;Portugal;2011;2011;2.0
