freq;freq_label;unit;unit_label;geo;geo_label;time;time_label;value
A;Annual;NR;Number;PT;Portugal;1993;1993;39410.0
A;Annual;HAB_P;Inhabitants per ...;PT;Portugal;1993;1993;39219.0
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT;Portugal;1993;1993;39290.0
A;Annual;NR;Number;PT;Portugal;1994;1994;40099.0
A;Annual;HAB_P;Inhabitants per ...;PT;Portugal;1994;1994;39720.0
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT;Portugal;1994;1994;39180.0
A;Annual;NR;Number;PT;Portugal;1995;1995;38262.0
A;Annual;HAB_P;Inhabitants per ...;PT;Portugal;1995;1995;38165.0
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT;Portugal;1995;1995;37809.0
A;Annual;NR;Number;PT;Portugal;1996;1996;37162.0
A;Annual;HAB_P;Inhabitants per ...;PT;Portugal;1996;1996;37459.0
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT;Portugal;1996;1996;37628.0
A;Annual;NR;Number;PT;Portugal;1997;1997;37372.0
A;Annual;HAB_P;Inhabitants per ...;PT;Portugal;1997;1997;36605.0
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT;Portugal;1997;1997;36220.0
A;Annual;NR;Number;PT;Portugal;1998;1998;35803.0
A;Annual;HAB_P;Inhabitants per ...;PT;Portugal;1998;1998;35635.0
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT;Portugal;1998;1998;35646.0
A;Annual;NR;Number;PT;Portugal;1999;1999;35601.0
A;Annual;HAB_P;Inhabitants per ...;PT;Portugal;1999;1999;35815.0
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT;Portugal;1999;1999;35478.0
A;Annual;NR;Number;PT;Portugal;2000;2000;34522.0
A;Annual;HAB_P;Inhabitants per ...;PT;Portugal;2000;2000;34890.0
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT;Portugal;2000;2000;35037.0
A;Annual;NR;Number;PT;Portugal;2001;2001;34953.0
A;Annual;HAB_P;Inhabitants per ...;PT;Portugal;2001;2001;35409.0
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT;Portugal;2001;2001;36092.0
A;Annual;NR;Number;PT;Portugal;2002;2002;36019.0
A;Annual;HAB_P;Inhabitants per ...;PT;Portugal;2002;2002;36296.0
