freq;freq_label;unit;unit_label;geo;geo_label;time;time_label;value
A;Annual;NR;Number;PT;Portugal;1993;1993;27991.0
A;Annual;HAB_P;Inhabitants per ...;PT;Portugal;1993;1993;28230.0
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT;Portugal;1993;1993;28507.0
A;Annual;NR;Number;PT;Portugal;1994;1994;29042.0
A;Annual;HAB_P;Inhabitants per ...;PT;Portugal;1994;1994;29576.0
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT;Portugal;1994;1994;30247.0
A;Annual;NR;Number;PT;Portugal;1995;1995;30897.0
A;Annual;HAB_P;Inhabitants per ...;PT;Portugal;1995;1995;31664.0
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT;Portugal;1995;1995;32407.0
A;Annual;NR;Number;PT;Portugal;1996;1996;32938.0
A;Annual;HAB_P;Inhabitants per ...;PT;Portugal;1996;1996;33633.0
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT;Portugal;1996;1996;34416.0
A;Annual;NR;Number;PT;Portugal;1997;1997;35342.0
A;Annual;HAB_P;Inhabitants per ...;PT;Portugal;1997;1997;36134.0
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT;Portugal;1997;1997;37118.0
A;Annual;NR;Number;PT;Portugal;1998;1998;38156.0
A;Annual;HAB_P;Inhabitants per ...;PT;Portugal;1998;1998;39327.0
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT;Portugal;1998;1998;40672.0
A;Annual;NR;Number;PT;Portugal;1999;1999;42054.0
A;Annual;HAB_P;Inhabitants per ...;PT;Portugal;1999;1999;43123.0
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT;Portugal;1999;1999;44555.0
A;Annual;NR;Number;PT;Portugal;2000;2000;46036.0
A;Annual;HAB_P;Inhabitants per ...;PT;Portugal;2000;2000;47792.0
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT;Portugal;2000;2000;49541.0
A;Annual;NR;Number;PT;Portugal;2001;2001;51241.0
A;Annual;HAB_P;Inhabitants per ...;PT;Portugal;2001;2001;52966.0
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT;Portugal;2001;2001;54744.0
A;Annual;NR;Number;PT;Portugal;2002;2002;56508.0
A;Annual;HAB_P;Inhabitants per ...;PT;Portugal;2002;2002;58031.0
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT;Portugal;2002;2002;59695.0
A;Annual;NR;Number;PT;Portugal;2003;2003;61423.0
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT;Portugal;2003;2003;369.17
A;Annual;NR;Number;PT;Portugal;2004;2004;366.05
A;Annual;HAB_P;Inhabitants per ...;PT;Portugal;2004;2004;362.49
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT;Portugal;2004;2004;355.81
A;Annual;NR;Number;PT;Portugal;2005;2005;349.39
A;Annual;HAB_P;Inhabitants per ...;PT;Portugal;2005;2005;341.64
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT;Portugal;2005;2005;334.45
A;Annual;NR;Number;PT;Portugal;2006;2006;326.35
A;Annual;HAB_P;Inhabitants per ...;PT;Portugal;2006;2006;318.87
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT;Portugal;2006;2006;313.73
A;Annual;NR;Number;PT;Portugal;2007;2007;307.24
A;Annual;HAB_P;Inhabitants per ...;PT;Portugal;2007;2007;300.25
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT;Portugal;2007;2007;292.39
A;Annual;NR;Number;PT;Portugal;2008;2008;285.98
A;Annual;HAB_P;Inhabitants per ...;PT;Portugal;2008;2008;278.4
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT;Portugal;2008;2008;270.82
A;Annual;NR;Number;PT;Portugal;2009;2009;262.76
A;Annual;HAB_P;Inhabitants per ...;PT;Portugal;2009;2009;254.07
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT;Portugal;2009;2009;245.72
A;Annual;NR;Number;PT;Portugal;2010;2010;239.63
A;Annual;HAB_P;Inhabitants per ...;PT;Portugal;2010;2010;231.93
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT;Portugal;2010;2010;224.47
A;Annual;NR;Number;PT;Portugal;2011;2011;216.22
A;Annual;HAB_P;Inhabitants per ...;PT;Portugal;2011;2011;208.58
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT;Portugal;2011;2011;201.66
A;Annual;NR;Number;PT;Portugal;2012;2012;195.1
A;Annual;HAB_P;Inhabitants per ...;PT;Portugal;2012;2012;189.14
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT;Portugal;2012;2012;183.78
A;Annual;NR;Number;PT;Portugal;2013;2013;179.35
A;Annual;HAB_P;Inhabitants per ...;PT;Portugal;2013;2013;175.37
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT;Portugal;2013;2013;172.22
A;Annual;HAB_P;Inhabitants per ...;PT;Portugal;2014;2014;270.88
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT;Portugal;2014;2014;273.19
A;Annual;NR;Number;PT;Portugal;2015;2015;275.87
A;Annual;HAB_P;Inhabitants per ...;PT;Portugal;2015;2015;281.05
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT;Portugal;2015;2015;286.21
A;Annual;NR;Number;PT;Portugal;2016;2016;292.71
A;Annual;HAB_P;Inhabitants per ...;PT;Portugal;2016;2016;299.0
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT;Portugal;2016;2016;306.42
A;Annual;NR;Number;PT;Portugal;2017;2017;313.61
A;Annual;HAB_P;Inhabitants per ...;PT;Portugal;2017;2017;318.75
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT;Portugal;2017;2017;325.48
A;Annual;NR;Number;PT;Portugal;2018;2018;333.05
A;Annual;HAB_P;Inhabitants per ...;PT;Portugal;2018;2018;342.01
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT;Portugal;2018;2018;349.68
A;Annual;NR;Number;PT;Portugal;2019;2019;359.2
A;Annual;HAB_P;Inhabitants per ...;PT;Portugal;2019;2019;369.25
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT;Portugal;2019;2019;380.58
A;Annual;NR;Number;PT;Portugal;2020;2020;393.59
A;Annual;HAB_P;Inhabitants per ...;PT;Portugal;2020;2020;406.97
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT;Portugal;2020;2020;417.31
A;Annual;NR;Number;PT;Portugal;2021;2021;431.17
A;Annual;HAB_P;Inhabitants per ...;PT;Portugal;2021;2021;445.5
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT;Portugal;2021;2021;462.5
A;Annual;NR;Number;PT;Portugal;2022;2022;479.42
A;Annual;HAB_P;Inhabitants per ...;PT;Portugal;2022;2022;495.87
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT;Portugal;2022;2022;512.57
A;Annual;NR;Number;PT;Portugal;2023;2023;528.7
A;Annual;HAB_P;Inhabitants per ...;PT;Portugal;2023;2023;544.14
A;Annual;P_HTHAB;Per hundred thousand inhabitants;PT;Portugal;2023;2023;557.58
A;Annual;NR;Number;PT;Portugal;2024;2024;570.21
A;Annual;HAB_P;Inhabitants per ...;PT;Portugal;2024;2024;580.66
