freq;freq_label;isced11;isced11_label;sex;sex_label;age;age_label;unit;unit_label;geo;geo_label;time;time_label;value
A;Annual;TOTAL;All ISCED 2011 levels;T;Total;Y15-24;From 15 to 24 years;PC;Percentage;PT;Portugal;1999;1999;9.2
A;Annual;ED0-2;Less than primary, primary and lower secondary education (levels 0-2);T;Total;Y15-24;From 15 to 24 years;PC;Percentage;PT;Portugal;1999;1999;8.3
A;Annual;ED3_4;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);T;Total;Y15-24;From 15 to 24 years;PC;Percentage;PT;Portugal;1999;1999;9.0
A;Annual;ED5-8;Tertiary education (levels 5-8);T;Total;Y15-24;From 15 to 24 years;PC;Percentage;PT;Portugal;1999;1999;10.5
A;Annual;NRP;No response;T;Total;Y15-24;From 15 to 24 years;PC;Percentage;PT;Portugal;1999;1999;13.5
A;Annual;UNK;Unknown;T;Total;Y15-24;From 15 to 24 years;PC;Percentage;PT;Portugal;1999;1999;14.1
A;Annual;TOTAL;All ISCED 2011 levels;M;Males;Y15-24;From 15 to 24 years;PC;Percentage;PT;Portugal;1999;1999;16.2
A;Annual;ED0-2;Less than primary, primary and lower secondary education (levels 0-2);M;Males;Y15-24;From 15 to 24 years;PC;Percentage;PT;Portugal;1999;1999;16.5
A;Annual;ED3_4;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);M;Males;Y15-24;From 15 to 24 years;PC;Percentage;PT;Portugal;1999;1999;16.7
A;Annual;ED5-8;Tertiary education (levels 5-8);M;Males;Y15-24;From 15 to 24 years;PC;Percentage;PT;Portugal;1999;1999;16.7
A;Annual;NRP;No response;M;Males;Y15-24;From 15 to 24 years;PC;Percentage;PT;Portugal;1999;1999;20.3
A;Annual;UNK;Unknown;M;Males;Y15-24;From 15 to 24 years;PC;Percentage;PT;Portugal;1999;1999;22.8
A;Annual;TOTAL;All ISCED 2011 levels;F;Females;Y15-24;From 15 to 24 years;PC;Percentage;PT;Portugal;1999;1999;30.3
A;Annual;ED0-2;Less than primary, primary and lower secondary education (levels 0-2);F;Females;Y15-24;From 15 to 24 years;PC;Percentage;PT;Portugal;1999;1999;38.0
A;Annual;ED3_4;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);F;Females;Y15-24;From 15 to 24 years;PC;Percentage;PT;Portugal;1999;1999;38.5
A;Annual;ED5-8;Tertiary education (levels 5-8);F;Females;Y15-24;From 15 to 24 years;PC;Percentage;PT;Portugal;1999;1999;34.7
