freq;freq_label;unit;unit_label;wstatus;wstatus_label;nace_r2;nace_r2_label;geo;geo_label;time;time_label;value
A;Annual;THS;Thousand;EMP;Employed persons;TOTAL;Total - all NACE activities;PT;Portugal;1995;1995;4528.98
A;Annual;THS;Thousand;SAL;Employees;TOTAL;Total - all NACE activities;PT;Portugal;1995;1995;4604.87
A;Annual;THS;Thousand;SELF;Self-employed persons;TOTAL;Total - all NACE activities;PT;Portugal;1995;1995;4725.55
A;Annual;THS;Thousand;EMP;Employed persons;A;Agriculture, forestry and fishing;PT;Portugal;1995;1995;4858.13
A;Annual;THS;Thousand;SAL;Employees;A;Agriculture, forestry and fishing;PT;Portugal;1995;1995;4933.24
A;Annual;THS;Thousand;SELF;Self-employed persons;A;Agriculture, forestry and fishing;PT;Portugal;1995;1995;5041.86
A;Annual;THS;Thousand;EMP;Employed persons;B-E;Industry (except construction);PT;Portugal;1995;1995;5130.09
A;Annual;THS;Thousand;SAL;Employees;B-E;Industry (except construction);PT;Portugal;1995;1995;5149.93
A;Annual;THS;Thousand;SELF;Self-employed persons;B-E;Industry (except construction);PT;Portugal;1995;1995;5100.19
A;Annual;THS;Thousand;EMP;Employed persons;C;Manufacturing;PT;Portugal;1995;1995;5064.18
A;Annual;THS;Thousand;SAL;Employees;C;Manufacturing;PT;Portugal;1995;1995;5040.96
A;Annual;THS;Thousand;SELF;Self-employed persons;C;Manufacturing;PT;Portugal;1995;1995;5060.86
A;Annual;THS;Thousand;EMP;Employed persons;F;Construction;PT;Portugal;1995;1995;5061.58
A;Annual;THS;Thousand;SAL;Employees;F;Construction;PT;Portugal;1995;1995;5080.13
A;Annual;THS;Thousand;SELF;Self-employed persons;F;Construction;PT;Portugal;1995;1995;4941.69
A;Annual;THS;Thousand;EMP;Employed persons;G-J;"Wholesale and retail trade; transport; accommodation and food service activities; information and communication";PT;Portugal;1995;1995;4871.33
A;Annual;THS;Thousand;SAL;Employees;G-J;"Wholesale and retail trade; transport; accommodation and food service activities; information and communication";PT;Portugal;1995;1995;4776.73
A;Annual;THS;Thousand;SELF;Self-employed persons;G-J;"Wholesale and retail trade; transport; accommodation and food service activities; information and communication";PT;Portugal;1995;1995;4581.45
A;Annual;THS;Thousand;EMP;Employed persons;G-I;Wholesale and retail trade, transport, accommodation and food service activities;PT;Portugal;1995;1995;4450.17
A;Annual;THS;Thousand;SAL;Employees;G-I;Wholesale and retail trade, transport, accommodation and food service activities;PT;Portugal;1995;1995;4512.99
A;Annual;THS;Thousand;SELF;Self-employed persons;G-I;Wholesale and retail trade, transport, accommodation and food service activities;PT;Portugal;1995;1995;4575.82
A;Annual;THS;Thousand;EMP;Employed persons;J;Information and communication;PT;Portugal;1995;1995;4649.86
A;Annual;THS;Thousand;SAL;Employees;J;Information and communication;PT;Portugal;1995;1995;4802.6
A;Annual;THS;Thousand;SELF;Self-employed persons;J;Information and communication;PT;Portugal;1995;1995;4914.02
A;Annual;THS;Thousand;EMP;Employed persons;K-N;"Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities";PT;Portugal;1995;1995;4952.8
A;Annual;THS;Thousand;SAL;Employees;K-N;"Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities";PT;Portugal;1995;1995;4864.72
A;Annual;THS;Thousand;SELF;Self-employed persons;K-N;"Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities";PT;Portugal;1995;1995;4952.93
A;Annual;THS;Thousand;EMP;Employed persons;K;Financial and insurance activities;PT;Portugal;1995;1995;5137.9
A;Annual;THS;Thousand;SAL;Employees;K;Financial and insurance activities;PT;Portugal;1995;1995;5191.78
A;Annual;THS;Thousand;SELF;Self-employed persons;K;Financial and insurance activities;PT;Portugal;1995;1995;655.32
A;Annual;THS;Thousand;EMP;Employed persons;L;Real estate activities;PT;Portugal;1995;1995;665.03
A;Annual;THS;Thousand;SAL;Employees;L;Real estate activities;PT;Portugal;1995;1995;669.61
A;Annual;THS;Thousand;SELF;Self-employed persons;L;Real estate activities;PT;Portugal;1995;1995;643.78
A;Annual;THS;Thousand;EMP;Employed persons;M_N;"Professional, scientific and technical activities; administrative and support service activities";PT;Portugal;1995;1995;620.36
A;Annual;THS;Thousand;SAL;Employees;M_N;"Professional, scientific and technical activities; administrative and support service activities";PT;Portugal;1995;1995;634.64
A;Annual;THS;Thousand;SELF;Self-employed persons;M_N;"Professional, scientific and technical activities; administrative and support service activities";PT;Portugal;1995;1995;651.8
A;Annual;THS;Thousand;EMP;Employed persons;O-U;"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation, repair of household goods and other services";PT;Portugal;1995;1995;634.03
A;Annual;THS;Thousand;SAL;Employees;O-U;"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation, repair of household goods and other services";PT;Portugal;1995;1995;637.56
A;Annual;THS;Thousand;SELF;Self-employed persons;O-U;"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation, repair of household goods and other services";PT;Portugal;1995;1995;610.49
A;Annual;THS;Thousand;EMP;Employed persons;O-Q;Public administration, defence, education, human health and social work activities;PT;Portugal;1995;1995;598.19
A;Annual;THS;Thousand;SAL;Employees;O-Q;Public administration, defence, education, human health and social work activities;PT;Portugal;1995;1995;596.79
A;Annual;THS;Thousand;SELF;Self-employed persons;O-Q;Public administration, defence, education, human health and social work activities;PT;Portugal;1995;1995;586.12
A;Annual;THS;Thousand;EMP;Employed persons;R-U;"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies";PT;Portugal;1995;1995;580.38
A;Annual;THS;Thousand;SAL;Employees;R-U;"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies";PT;Portugal;1995;1995;571.29
A;Annual;THS;Thousand;SELF;Self-employed persons;R-U;"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies";PT;Portugal;1995;1995;543.18
A;Annual;THS;Thousand;EMP;Employed persons;TOTAL;Total - all NACE activities;PT;Portugal;1996;1996;527.82
A;Annual;THS;Thousand;SAL;Employees;TOTAL;Total - all NACE activities;PT;Portugal;1996;1996;537.7
A;Annual;THS;Thousand;SELF;Self-employed persons;TOTAL;Total - all NACE activities;PT;Portugal;1996;1996;508.88
A;Annual;THS;Thousand;EMP;Employed persons;A;Agriculture, forestry and fishing;PT;Portugal;1996;1996;485.65
A;Annual;THS;Thousand;SAL;Employees;A;Agriculture, forestry and fishing;PT;Portugal;1996;1996;458.19
A;Annual;THS;Thousand;SELF;Self-employed persons;A;Agriculture, forestry and fishing;PT;Portugal;1996;1996;438.26
A;Annual;THS;Thousand;EMP;Employed persons;B-E;Industry (except construction);PT;Portugal;1996;1996;431.67
A;Annual;THS;Thousand;SAL;Employees;B-E;Industry (except construction);PT;Portugal;1996;1996;420.57
A;Annual;THS;Thousand;SELF;Self-employed persons;B-E;Industry (except construction);PT;Portugal;1996;1996;385.93
A;Annual;THS;Thousand;EMP;Employed persons;C;Manufacturing;PT;Portugal;1996;1996;384.22
A;Annual;THS;Thousand;SAL;Employees;C;Manufacturing;PT;Portugal;1996;1996;311.03
A;Annual;THS;Thousand;SELF;Self-employed persons;C;Manufacturing;PT;Portugal;1996;1996;300.69
A;Annual;THS;Thousand;SAL;Employees;F;Construction;PT;Portugal;1996;1996;1070.98
A;Annual;THS;Thousand;SELF;Self-employed persons;F;Construction;PT;Portugal;1996;1996;1082.87
A;Annual;THS;Thousand;EMP;Employed persons;G-J;"Wholesale and retail trade; transport; accommodation and food service activities; information and communication";PT;Portugal;1996;1996;1099.11
A;Annual;THS;Thousand;SAL;Employees;G-J;"Wholesale and retail trade; transport; accommodation and food service activities; information and communication";PT;Portugal;1996;1996;1107.28
A;Annual;THS;Thousand;SELF;Self-employed persons;G-J;"Wholesale and retail trade; transport; accommodation and food service activities; information and communication";PT;Portugal;1996;1996;1106.06
A;Annual;THS;Thousand;EMP;Employed persons;G-I;Wholesale and retail trade, transport, accommodation and food service activities;PT;Portugal;1996;1996;1095.15
A;Annual;THS;Thousand;SAL;Employees;G-I;Wholesale and retail trade, transport, accommodation and food service activities;PT;Portugal;1996;1996;1088.84
A;Annual;THS;Thousand;SELF;Self-employed persons;G-I;Wholesale and retail trade, transport, accommodation and food service activities;PT;Portugal;1996;1996;1055.67
A;Annual;THS;Thousand;EMP;Employed persons;J;Information and communication;PT;Portugal;1996;1996;1018.38
A;Annual;THS;Thousand;SAL;Employees;J;Information and communication;PT;Portugal;1996;1996;977.5
A;Annual;THS;Thousand;SELF;Self-employed persons;J;Information and communication;PT;Portugal;1996;1996;937.6
A;Annual;THS;Thousand;EMP;Employed persons;K-N;"Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities";PT;Portugal;1996;1996;924.03
A;Annual;THS;Thousand;SAL;Employees;K-N;"Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities";PT;Portugal;1996;1996;903.61
A;Annual;THS;Thousand;SELF;Self-employed persons;K-N;"Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities";PT;Portugal;1996;1996;879.77
A;Annual;THS;Thousand;EMP;Employed persons;K;Financial and insurance activities;PT;Portugal;1996;1996;811.0
A;Annual;THS;Thousand;SAL;Employees;K;Financial and insurance activities;PT;Portugal;1996;1996;790.55
A;Annual;THS;Thousand;SELF;Self-employed persons;K;Financial and insurance activities;PT;Portugal;1996;1996;776.93
A;Annual;THS;Thousand;EMP;Employed persons;L;Real estate activities;PT;Portugal;1996;1996;748.26
A;Annual;THS;Thousand;SAL;Employees;L;Real estate activities;PT;Portugal;1996;1996;733.99
A;Annual;THS;Thousand;SELF;Self-employed persons;L;Real estate activities;PT;Portugal;1996;1996;748.09
A;Annual;THS;Thousand;EMP;Employed persons;M_N;"Professional, scientific and technical activities; administrative and support service activities";PT;Portugal;1996;1996;770.85
A;Annual;THS;Thousand;SAL;Employees;M_N;"Professional, scientific and technical activities; administrative and support service activities";PT;Portugal;1996;1996;784.11
