freq;freq_label;unit;unit_label;sex;sex_label;age;age_label;geo;geo_label;time;time_label;value
A;Annual;YR;Year;M;Males;Y12;12 years;PT;Portugal;1960;1960;72.5
A;Annual;YR;Year;F;Females;Y12;12 years;PT;Portugal;1960;1960;72.7
A;Annual;YR;Year;T;Total;Y13;13 years;PT;Portugal;1960;1960;73.5
A;Annual;YR;Year;M;Males;Y13;13 years;PT;Portugal;1960;1960;73.7
A;Annual;YR;Year;F;Females;Y13;13 years;PT;Portugal;1960;1960;73.4
A;Annual;YR;Year;M;Males;Y14;14 years;PT;Portugal;1960;1960;73.9
A;Annual;YR;Year;F;Females;Y14;14 years;PT;Portugal;1960;1960;74.5
A;Annual;YR;Year;T;Total;Y15;15 years;PT;Portugal;1960;1960;74.5
A;Annual;YR;Year;M;Males;Y15;15 years;PT;Portugal;1960;1960;75.2
A;Annual;YR;Year;T;Total;Y16;16 years;PT;Portugal;1960;1960;75.4
A;Annual;YR;Year;M;Males;Y16;16 years;PT;Portugal;1960;1960;75.8
A;Annual;YR;Year;F;Females;Y16;16 years;PT;Portugal;1960;1960;76.5
A;Annual;YR;Year;F;Females;Y32;32 years;PT;Portugal;1960;1960;76.1
A;Annual;YR;Year;T;Total;Y33;33 years;PT;Portugal;1960;1960;76.1
A;Annual;YR;Year;M;Males;Y33;33 years;PT;Portugal;1960;1960;76.7
A;Annual;YR;Year;F;Females;Y33;33 years;PT;Portugal;1960;1960;76.8
A;Annual;YR;Year;T;Total;Y34;34 years;PT;Portugal;1960;1960;77.3
A;Annual;YR;Year;M;Males;Y34;34 years;PT;Portugal;1960;1960;77.4
A;Annual;YR;Year;F;Females;Y34;34 years;PT;Portugal;1960;1960;77.7
A;Annual;YR;Year;T;Total;Y35;35 years;PT;Portugal;1960;1960;77.9
A;Annual;YR;Year;M;Males;Y35;35 years;PT;Portugal;1960;1960;78.2
A;Annual;YR;Year;F;Females;Y35;35 years;PT;Portugal;1960;1960;78.5
A;Annual;YR;Year;T;Total;Y36;36 years;PT;Portugal;1960;1960;78.5
A;Annual;YR;Year;M;Males;Y36;36 years;PT;Portugal;1960;1960;78.8
A;Annual;YR;Year;F;Females;Y36;36 years;PT;Portugal;1960;1960;79.2
A;Annual;YR;Year;T;Total;Y37;37 years;PT;Portugal;1960;1960;78.8
A;Annual;YR;Year;M;Males;Y37;37 years;PT;Portugal;1960;1960;79.2
A;Annual;YR;Year;F;Females;Y37;37 years;PT;Portugal;1960;1960;79.2
A;Annual;YR;Year;T;Total;Y38;38 years;PT;Portugal;1960;1960;79.3
A;Annual;YR;Year;M;Males;Y38;38 years;PT;Portugal;1960;1960;79.6
A;Annual;YR;Year;M;Males;Y39;39 years;PT;Portugal;1960;1960;78.9
A;Annual;YR;Year;F;Females;Y39;39 years;PT;Portugal;1960;1960;79.7
A;Annual;YR;Year;M;Males;Y54;54 years;PT;Portugal;1960;1960;76.2
A;Annual;YR;Year;F;Females;Y54;54 years;PT;Portugal;1960;1960;76.2
A;Annual;YR;Year;T;Total;Y55;55 years;PT;Portugal;1960;1960;76.8
A;Annual;YR;Year;M;Males;Y55;55 years;PT;Portugal;1960;1960;76.9
A;Annual;YR;Year;F;Females;Y55;55 years;PT;Portugal;1960;1960;77.3
A;Annual;YR;Year;T;Total;Y56;56 years;PT;Portugal;1960;1960;77.5
A;Annual;YR;Year;M;Males;Y56;56 years;PT;Portugal;1960;1960;77.7
A;Annual;YR;Year;F;Females;Y56;56 years;PT;Portugal;1960;1960;78.0
A;Annual;YR;Year;T;Total;Y57;57 years;PT;Portugal;1960;1960;78.3
A;Annual;YR;Year;M;Males;Y57;57 years;PT;Portugal;1960;1960;78.6
A;Annual;YR;Year;F;Females;Y57;57 years;PT;Portugal;1960;1960;78.6
A;Annual;YR;Year;T;Total;Y58;58 years;PT;Portugal;1960;1960;78.9
A;Annual;YR;Year;M;Males;Y58;58 years;PT;Portugal;1960;1960;79.2
A;Annual;YR;Year;F;Females;Y58;58 years;PT;Portugal;1960;1960;78.9
A;Annual;YR;Year;T;Total;Y59;59 years;PT;Portugal;1960;1960;79.3
A;Annual;YR;Year;M;Males;Y59;59 years;PT;Portugal;1960;1960;79.3
A;Annual;YR;Year;F;Females;Y59;59 years;PT;Portugal;1960;1960;79.3
A;Annual;YR;Year;T;Total;Y76;76 years;PT;Portugal;1960;1960;76.2
A;Annual;YR;Year;M;Males;Y76;76 years;PT;Portugal;1960;1960;76.2
A;Annual;YR;Year;F;Females;Y76;76 years;PT;Portugal;1960;1960;76.8
A;Annual;YR;Year;T;Total;Y77;77 years;PT;Portugal;1960;1960;76.9
A;Annual;YR;Year;M;Males;Y77;77 years;PT;Portugal;1960;1960;77.4
A;Annual;YR;Year;F;Females;Y77;77 years;PT;Portugal;1960;1960;77.6
A;Annual;YR;Year;T;Total;Y78;78 years;PT;Portugal;1960;1960;77.8
A;Annual;YR;Year;M;Males;Y78;78 years;PT;Portugal;1960;1960;78.0
A;Annual;YR;Year;F;Females;Y78;78 years;PT;Portugal;1960;1960;78.3
A;Annual;YR;Year;T;Total;Y79;79 years;PT;Portugal;1960;1960;78.6
A;Annual;YR;Year;M;Males;Y79;79 years;PT;Portugal;1960;1960;78.6
A;Annual;YR;Year;F;Females;Y79;79 years;PT;Portugal;1960;1960;78.9
A;Annual;YR;Year;T;Total;Y80;80 years;PT;Portugal;1960;1960;79.3
A;Annual;YR;Year;M;Males;Y80;80 years;PT;Portugal;1960;1960;78.9
A;Annual;YR;Year;F;Females;Y80;80 years;PT;Portugal;1960;1960;79.3
A;Annual;YR;Year;T;Total;Y81;81 years;PT;Portugal;1960;1960;79.3
A;Annual;YR;Year;M;Males;Y81;81 years;PT;Portugal;1960;1960;79.3
A;Annual;YR;Year;M;Males;Y8;8 years;PT;Portugal;1961;1961;80.6
A;Annual;YR;Year;T;Total;Y28;28 years;PT;Portugal;1961;1961;69.1
A;Annual;YR;Year;M;Males;Y28;28 years;PT;Portugal;1961;1961;69.6
A;Annual;YR;Year;F;Females;Y28;28 years;PT;Portugal;1961;1961;69.5
A;Annual;YR;Year;T;Total;Y29;29 years;PT;Portugal;1961;1961;69.6
A;Annual;YR;Year;T;Total;Y31;31 years;PT;Portugal;1961;1961;70.8
A;Annual;YR;Year;M;Males;Y31;31 years;PT;Portugal;1961;1961;70.8
A;Annual;YR;Year;F;Females;Y31;31 years;PT;Portugal;1961;1961;71.6
A;Annual;YR;Year;T;Total;Y32;32 years;PT;Portugal;1961;1961;72.4
A;Annual;YR;Year;M;Males;Y32;32 years;PT;Portugal;1961;1961;72.2
A;Annual;YR;Year;F;Females;Y49;49 years;PT;Portugal;1961;1961;68.9
A;Annual;YR;Year;T;Total;Y50;50 years;PT;Portugal;1961;1961;69.0
A;Annual;YR;Year;M;Males;Y50;50 years;PT;Portugal;1961;1961;69.7
A;Annual;YR;Year;F;Females;Y50;50 years;PT;Portugal;1961;1961;69.9
A;Annual;YR;Year;T;Total;Y51;51 years;PT;Portugal;1961;1961;69.7
A;Annual;YR;Year;F;Females;Y51;51 years;PT;Portugal;1961;1961;70.1
A;Annual;YR;Year;T;Total;Y52;52 years;PT;Portugal;1961;1961;70.6
A;Annual;YR;Year;M;Males;Y52;52 years;PT;Portugal;1961;1961;70.7
A;Annual;YR;Year;F;Females;Y52;52 years;PT;Portugal;1961;1961;71.4
A;Annual;YR;Year;M;Males;Y53;53 years;PT;Portugal;1961;1961;71.6
A;Annual;YR;Year;F;Females;Y53;53 years;PT;Portugal;1961;1961;71.9
A;Annual;YR;Year;T;Total;Y54;54 years;PT;Portugal;1961;1961;72.6
A;Annual;YR;Year;T;Total;Y70;70 years;PT;Portugal;1961;1961;72.2
A;Annual;YR;Year;M;Males;Y70;70 years;PT;Portugal;1961;1961;72.2
A;Annual;YR;Year;F;Females;Y70;70 years;PT;Portugal;1961;1961;72.8
A;Annual;YR;Year;T;Total;Y71;71 years;PT;Portugal;1961;1961;72.8
A;Annual;YR;Year;M;Males;Y71;71 years;PT;Portugal;1961;1961;73.3
A;Annual;YR;Year;F;Females;Y71;71 years;PT;Portugal;1961;1961;73.5
A;Annual;YR;Year;T;Total;Y72;72 years;PT;Portugal;1961;1961;73.7
A;Annual;YR;Year;M;Males;Y72;72 years;PT;Portugal;1961;1961;73.9
A;Annual;YR;Year;F;Females;Y72;72 years;PT;Portugal;1961;1961;74.2
A;Annual;YR;Year;T;Total;Y73;73 years;PT;Portugal;1961;1961;74.5
A;Annual;YR;Year;M;Males;Y73;73 years;PT;Portugal;1961;1961;74.5
A;Annual;YR;Year;F;Females;Y73;73 years;PT;Portugal;1961;1961;74.8
A;Annual;YR;Year;T;Total;Y74;74 years;PT;Portugal;1961;1961;75.2
A;Annual;YR;Year;M;Males;Y74;74 years;PT;Portugal;1961;1961;74.9
A;Annual;YR;Year;F;Females;Y74;74 years;PT;Portugal;1961;1961;75.3
A;Annual;YR;Year;T;Total;Y75;75 years;PT;Portugal;1961;1961;75.2
A;Annual;YR;Year;M;Males;Y75;75 years;PT;Portugal;1961;1961;75.3
A;Annual;YR;Year;F;Females;Y75;75 years;PT;Portugal;1961;1961;75.6
A;Annual;YR;Year;F;Females;Y76;76 years;PT;Portugal;1961;1961;75.0
A;Annual;YR;Year;T;Total;Y77;77 years;PT;Portugal;1961;1961;75.7
A;Annual;YR;Year;T;Total;Y2;2 years;PT;Portugal;1962;1962;62.1
A;Annual;YR;Year;M;Males;Y2;2 years;PT;Portugal;1962;1962;63.6
A;Annual;YR;Year;F;Females;Y2;2 years;PT;Portugal;1962;1962;64.1
A;Annual;YR;Year;T;Total;Y3;3 years;PT;Portugal;1962;1962;64.7
A;Annual;YR;Year;M;Males;Y3;3 years;PT;Portugal;1962;1962;65.3
A;Annual;YR;Year;F;Females;Y3;3 years;PT;Portugal;1962;1962;65.6
A;Annual;YR;Year;T;Total;Y4;4 years;PT;Portugal;1962;1962;65.8
A;Annual;YR;Year;M;Males;Y4;4 years;PT;Portugal;1962;1962;65.8
A;Annual;YR;Year;T;Total;Y22;22 years;PT;Portugal;1962;1962;58.5
