freq;freq_label;indic_de;indic_de_label;unit;unit_label;geo;geo_label;time;time_label;value
A;Annual;AGEMOTH;Mean age of women at childbirth;NR;Number;PT;Portugal;2015;2015;29.4
A;Annual;MEDAGEMOTH;Median age of women at childbirth;NR;Number;PT;Portugal;2015;2015;29.7
A;Annual;TOTFERRT;Total fertility rate;NR;Number;PT;Portugal;2015;2015;29.5
A;Annual;AGEMOTH;Mean age of women at childbirth;YR;Year;PT;Portugal;2015;2015;30.1
A;Annual;AGEMOTH;Mean age of women at childbirth;YR;Year;PT1;Continente;2015;2015;29.2
A;Annual;MEDAGEMOTH;Median age of women at childbirth;YR;Year;PT1;Continente;2015;2015;29.5
A;Annual;TOTFERRT;Total fertility rate;YR;Year;PT1;Continente;2015;2015;29.8
A;Annual;AGEMOTH;Mean age of women at childbirth;NR;Number;PT11;Norte;2015;2015;29.9
A;Annual;MEDAGEMOTH;Median age of women at childbirth;NR;Number;PT11;Norte;2015;2015;30.0
A;Annual;TOTFERRT;Total fertility rate;NR;Number;PT11;Norte;2015;2015;30.0
A;Annual;TOTFERRT;Total fertility rate;NR;Number;PT111;Alto Minho;2015;2015;29.1
A;Annual;AGEMOTH;Mean age of women at childbirth;YR;Year;PT111;Alto Minho;2015;2015;29.2
A;Annual;MEDAGEMOTH;Median age of women at childbirth;YR;Year;PT111;Alto Minho;2015;2015;29.6
A;Annual;TOTFERRT;Total fertility rate;YR;Year;PT111;Alto Minho;2015;2015;29.6
A;Annual;AGEMOTH;Mean age of women at childbirth;NR;Number;PT112;Cávado;2015;2015;29.9
A;Annual;MEDAGEMOTH;Median age of women at childbirth;NR;Number;PT112;Cávado;2015;2015;30.2
A;Annual;MEDAGEMOTH;Median age of women at childbirth;NR;Number;PT119;Ave;2015;2015;29.1
A;Annual;TOTFERRT;Total fertility rate;NR;Number;PT119;Ave;2015;2015;29.3
A;Annual;AGEMOTH;Mean age of women at childbirth;YR;Year;PT119;Ave;2015;2015;29.2
A;Annual;MEDAGEMOTH;Median age of women at childbirth;YR;Year;PT119;Ave;2015;2015;29.5
A;Annual;TOTFERRT;Total fertility rate;YR;Year;PT119;Ave;2015;2015;29.8
A;Annual;AGEMOTH;Mean age of women at childbirth;NR;Number;PT11A;Área Metropolitana do Porto;2015;2015;29.8
A;Annual;AGEMOTH;Mean age of women at childbirth;NR;Number;PT11B;Alto Tâmega e Barroso;2015;2015;28.9
A;Annual;MEDAGEMOTH;Median age of women at childbirth;NR;Number;PT11B;Alto Tâmega e Barroso;2015;2015;29.0
A;Annual;TOTFERRT;Total fertility rate;NR;Number;PT11B;Alto Tâmega e Barroso;2015;2015;29.0
A;Annual;AGEMOTH;Mean age of women at childbirth;YR;Year;PT11B;Alto Tâmega e Barroso;2015;2015;29.1
A;Annual;MEDAGEMOTH;Median age of women at childbirth;YR;Year;PT11B;Alto Tâmega e Barroso;2015;2015;29.3
A;Annual;TOTFERRT;Total fertility rate;YR;Year;PT11B;Alto Tâmega e Barroso;2015;2015;29.6
A;Annual;MEDAGEMOTH;Median age of women at childbirth;YR;Year;PT11C;Tâmega e Sousa;2015;2015;31.0
A;Annual;TOTFERRT;Total fertility rate;YR;Year;PT11C;Tâmega e Sousa;2015;2015;30.9
A;Annual;AGEMOTH;Mean age of women at childbirth;NR;Number;PT11D;Douro;2015;2015;31.1
A;Annual;TOTFERRT;Total fertility rate;NR;Number;PT11D;Douro;2015;2015;31.4
A;Annual;AGEMOTH;Mean age of women at childbirth;YR;Year;PT11D;Douro;2015;2015;31.6
A;Annual;MEDAGEMOTH;Median age of women at childbirth;YR;Year;PT11D;Douro;2015;2015;31.7
A;Annual;TOTFERRT;Total fertility rate;YR;Year;PT11D;Douro;2015;2015;31.9
A;Annual;AGEMOTH;Mean age of women at childbirth;NR;Number;PT11E;Terras de Trás-os-Montes;2015;2015;32.0
A;Annual;MEDAGEMOTH;Median age of women at childbirth;NR;Number;PT11E;Terras de Trás-os-Montes;2015;2015;32.0
A;Annual;TOTFERRT;Total fertility rate;NR;Number;PT11E;Terras de Trás-os-Montes;2015;2015;32.0
A;Annual;AGEMOTH;Mean age of women at childbirth;YR;Year;PT11E;Terras de Trás-os-Montes;2015;2015;31.0
A;Annual;MEDAGEMOTH;Median age of women at childbirth;YR;Year;PT11E;Terras de Trás-os-Montes;2015;2015;30.9
A;Annual;TOTFERRT;Total fertility rate;YR;Year;PT11E;Terras de Trás-os-Montes;2015;2015;31.1
A;Annual;MEDAGEMOTH;Median age of women at childbirth;NR;Number;PT15;Algarve;2015;2015;31.4
A;Annual;TOTFERRT;Total fertility rate;NR;Number;PT15;Algarve;2015;2015;31.6
A;Annual;AGEMOTH;Mean age of women at childbirth;YR;Year;PT15;Algarve;2015;2015;31.7
A;Annual;MEDAGEMOTH;Median age of women at childbirth;YR;Year;PT15;Algarve;2015;2015;31.9
A;Annual;TOTFERRT;Total fertility rate;YR;Year;PT15;Algarve;2015;2015;32.0
A;Annual;AGEMOTH;Mean age of women at childbirth;NR;Number;PT150;Algarve;2015;2015;32.0
A;Annual;MEDAGEMOTH;Median age of women at childbirth;NR;Number;PT150;Algarve;2015;2015;32.0
