freq;freq_label;sex;sex_label;unit;unit_label;age;age_label;geo;geo_label;time;time_label;value
A;Annual;T;Total;NR;Number;TOTAL;Total;PT;Portugal;2014;2014;20315.0
A;Annual;M;Males;NR;Number;TOTAL;Total;PT;Portugal;2014;2014;19447.0
A;Annual;F;Females;NR;Number;TOTAL;Total;PT;Portugal;2014;2014;19028.0
A;Annual;T;Total;NR;Number;Y_LT5;Less than 5 years;PT;Portugal;2014;2014;18775.0
A;Annual;M;Males;NR;Number;Y_LT5;Less than 5 years;PT;Portugal;2014;2014;18794.0
A;Annual;F;Females;NR;Number;Y_LT5;Less than 5 years;PT;Portugal;2014;2014;19132.0
A;Annual;T;Total;NR;Number;Y5-9;From 5 to 9 years;PT;Portugal;2014;2014;19194.0
A;Annual;M;Males;NR;Number;Y5-9;From 5 to 9 years;PT;Portugal;2014;2014;18994.0
A;Annual;F;Females;NR;Number;Y5-9;From 5 to 9 years;PT;Portugal;2014;2014;18961.0
A;Annual;T;Total;NR;Number;Y10-14;From 10 to 14 years;PT;Portugal;2014;2014;18817.0
A;Annual;M;Males;NR;Number;Y10-14;From 10 to 14 years;PT;Portugal;2014;2014;18958.0
A;Annual;F;Females;NR;Number;Y10-14;From 10 to 14 years;PT;Portugal;2014;2014;844736.0
A;Annual;T;Total;NR;Number;Y15-19;From 15 to 19 years;PT;Portugal;2014;2014;830907.0
A;Annual;M;Males;NR;Number;Y15-19;From 15 to 19 years;PT;Portugal;2014;2014;822422.0
A;Annual;F;Females;NR;Number;Y15-19;From 15 to 19 years;PT;Portugal;2014;2014;821850.0
A;Annual;T;Total;NR;Number;Y20-24;From 20 to 24 years;PT;Portugal;2014;2014;838908.0
A;Annual;M;Males;NR;Number;Y20-24;From 20 to 24 years;PT;Portugal;2014;2014;861815.0
A;Annual;F;Females;NR;Number;Y20-24;From 20 to 24 years;PT;Portugal;2014;2014;876559.0
A;Annual;T;Total;NR;Number;Y25-29;From 25 to 29 years;PT;Portugal;2014;2014;882423.0
A;Annual;M;Males;NR;Number;Y25-29;From 25 to 29 years;PT;Portugal;2014;2014;885011.0
A;Annual;F;Females;NR;Number;Y25-29;From 25 to 29 years;PT;Portugal;2014;2014;888159.0
A;Annual;T;Total;NR;Number;Y30-34;From 30 to 34 years;PT;Portugal;2014;2014;866087.0
A;Annual;M;Males;NR;Number;Y30-34;From 30 to 34 years;PT;Portugal;2014;2014;209322.0
A;Annual;F;Females;NR;Number;Y30-34;From 30 to 34 years;PT;Portugal;2014;2014;208076.0
A;Annual;T;Total;NR;Number;Y35-39;From 35 to 39 years;PT;Portugal;2014;2014;207739.0
A;Annual;M;Males;NR;Number;Y35-39;From 35 to 39 years;PT;Portugal;2014;2014;208573.0
A;Annual;F;Females;NR;Number;Y35-39;From 35 to 39 years;PT;Portugal;2014;2014;213653.0
A;Annual;T;Total;NR;Number;Y40-44;From 40 to 44 years;PT;Portugal;2014;2014;221616.0
A;Annual;M;Males;NR;Number;Y40-44;From 40 to 44 years;PT;Portugal;2014;2014;228384.0
A;Annual;F;Females;NR;Number;Y40-44;From 40 to 44 years;PT;Portugal;2014;2014;230798.0
A;Annual;T;Total;NR;Number;Y45-49;From 45 to 49 years;PT;Portugal;2014;2014;233953.0
A;Annual;M;Males;NR;Number;Y45-49;From 45 to 49 years;PT;Portugal;2014;2014;236215.0
A;Annual;F;Females;NR;Number;Y45-49;From 45 to 49 years;PT;Portugal;2014;2014;237175.0
A;Annual;T;Total;NR;Number;Y50-54;From 50 to 54 years;PT;Portugal;2014;2014;162928.0
A;Annual;M;Males;NR;Number;Y50-54;From 50 to 54 years;PT;Portugal;2014;2014;163039.0
A;Annual;F;Females;NR;Number;Y50-54;From 50 to 54 years;PT;Portugal;2014;2014;163435.0
A;Annual;T;Total;NR;Number;Y55-59;From 55 to 59 years;PT;Portugal;2014;2014;164584.0
A;Annual;M;Males;NR;Number;Y55-59;From 55 to 59 years;PT;Portugal;2014;2014;169468.0
A;Annual;F;Females;NR;Number;Y55-59;From 55 to 59 years;PT;Portugal;2014;2014;176734.0
A;Annual;T;Total;NR;Number;Y60-64;From 60 to 64 years;PT;Portugal;2014;2014;183461.0
A;Annual;M;Males;NR;Number;Y60-64;From 60 to 64 years;PT;Portugal;2014;2014;186098.0
A;Annual;F;Females;NR;Number;Y60-64;From 60 to 64 years;PT;Portugal;2014;2014;189504.0
A;Annual;T;Total;NR;Number;Y65-69;From 65 to 69 years;PT;Portugal;2014;2014;192512.0
A;Annual;M;Males;NR;Number;Y65-69;From 65 to 69 years;PT;Portugal;2014;2014;193299.0
A;Annual;F;Females;NR;Number;Y65-69;From 65 to 69 years;PT;Portugal;2014;2014;28969.0
A;Annual;T;Total;NR;Number;Y70-74;From 70 to 74 years;PT;Portugal;2014;2014;28128.0
A;Annual;M;Males;NR;Number;Y70-74;From 70 to 74 years;PT;Portugal;2014;2014;27801.0
A;Annual;F;Females;NR;Number;Y70-74;From 70 to 74 years;PT;Portugal;2014;2014;27882.0
A;Annual;T;Total;NR;Number;Y75-79;From 75 to 79 years;PT;Portugal;2014;2014;27983.0
A;Annual;M;Males;NR;Number;Y75-79;From 75 to 79 years;PT;Portugal;2014;2014;28653.0
A;Annual;F;Females;NR;Number;Y75-79;From 75 to 79 years;PT;Portugal;2014;2014;28908.0
A;Annual;T;Total;NR;Number;Y80-84;From 80 to 84 years;PT;Portugal;2014;2014;28898.0
A;Annual;M;Males;NR;Number;Y80-84;From 80 to 84 years;PT;Portugal;2014;2014;28672.0
A;Annual;F;Females;NR;Number;Y80-84;From 80 to 84 years;PT;Portugal;2014;2014;28187.0
A;Annual;T;Total;NR;Number;Y85-89;From 85 to 89 years;PT;Portugal;2014;2014;28158.0
A;Annual;M;Males;NR;Number;Y85-89;From 85 to 89 years;PT;Portugal;2014;2014;17425.0
A;Annual;F;Females;NR;Number;Y85-89;From 85 to 89 years;PT;Portugal;2014;2014;16909.0
A;Annual;T;Total;NR;Number;Y_GE85;85 years or over;PT;Portugal;2014;2014;16503.0
A;Annual;M;Males;NR;Number;Y_GE85;85 years or over;PT;Portugal;2014;2014;16107.0
A;Annual;F;Females;NR;Number;Y_GE85;85 years or over;PT;Portugal;2014;2014;16202.0
A;Annual;T;Total;NR;Number;Y_GE90;90 years or over;PT;Portugal;2014;2014;16229.0
A;Annual;M;Males;NR;Number;Y_GE90;90 years or over;PT;Portugal;2014;2014;16015.0
A;Annual;F;Females;NR;Number;Y_GE90;90 years or over;PT;Portugal;2014;2014;15802.0
A;Annual;T;Total;NR;Number;UNK;Unknown;PT;Portugal;2014;2014;15777.0
A;Annual;M;Males;NR;Number;UNK;Unknown;PT;Portugal;2014;2014;15516.0
A;Annual;F;Females;NR;Number;UNK;Unknown;PT;Portugal;2014;2014;15718.0
A;Annual;T;Total;NR;Number;TOTAL;Total;PT1;Continente;2014;2014;334305.0
A;Annual;M;Males;NR;Number;TOTAL;Total;PT1;Continente;2014;2014;325657.0
A;Annual;F;Females;NR;Number;TOTAL;Total;PT1;Continente;2014;2014;320151.0
A;Annual;T;Total;NR;Number;Y_LT5;Less than 5 years;PT1;Continente;2014;2014;318574.0
A;Annual;M;Males;NR;Number;Y_LT5;Less than 5 years;PT1;Continente;2014;2014;323132.0
A;Annual;F;Females;NR;Number;Y_LT5;Less than 5 years;PT1;Continente;2014;2014;330044.0
A;Annual;T;Total;NR;Number;Y5-9;From 5 to 9 years;PT1;Continente;2014;2014;334958.0
A;Annual;M;Males;NR;Number;Y5-9;From 5 to 9 years;PT1;Continente;2014;2014;335844.0
A;Annual;F;Females;NR;Number;Y5-9;From 5 to 9 years;PT1;Continente;2014;2014;335723.0
A;Annual;T;Total;NR;Number;Y10-14;From 10 to 14 years;PT1;Continente;2014;2014;336766.0
A;Annual;M;Males;NR;Number;Y10-14;From 10 to 14 years;PT1;Continente;2014;2014;337343.0
A;Annual;F;Females;NR;Number;Y10-14;From 10 to 14 years;PT1;Continente;2014;2014;189599.0
A;Annual;T;Total;NR;Number;Y15-19;From 15 to 19 years;PT1;Continente;2014;2014;184558.0
A;Annual;M;Males;NR;Number;Y15-19;From 15 to 19 years;PT1;Continente;2014;2014;181130.0
A;Annual;F;Females;NR;Number;Y15-19;From 15 to 19 years;PT1;Continente;2014;2014;179876.0
A;Annual;T;Total;NR;Number;Y20-24;From 20 to 24 years;PT1;Continente;2014;2014;182342.0
A;Annual;M;Males;NR;Number;Y20-24;From 20 to 24 years;PT1;Continente;2014;2014;186232.0
A;Annual;F;Females;NR;Number;Y20-24;From 20 to 24 years;PT1;Continente;2014;2014;188908.0
A;Annual;T;Total;NR;Number;Y25-29;From 25 to 29 years;PT1;Continente;2014;2014;188746.0
A;Annual;M;Males;NR;Number;Y25-29;From 25 to 29 years;PT1;Continente;2014;2014;187315.0
A;Annual;F;Females;NR;Number;Y25-29;From 25 to 29 years;PT1;Continente;2014;2014;187506.0
A;Annual;T;Total;NR;Number;Y30-34;From 30 to 34 years;PT1;Continente;2014;2014;186430.0
A;Annual;M;Males;NR;Number;Y30-34;From 30 to 34 years;PT1;Continente;2014;2014;144706.0
A;Annual;F;Females;NR;Number;Y30-34;From 30 to 34 years;PT1;Continente;2014;2014;141099.0
A;Annual;T;Total;NR;Number;Y35-39;From 35 to 39 years;PT1;Continente;2014;2014;139021.0
A;Annual;M;Males;NR;Number;Y35-39;From 35 to 39 years;PT1;Continente;2014;2014;138698.0
A;Annual;F;Females;NR;Number;Y35-39;From 35 to 39 years;PT1;Continente;2014;2014;140790.0
A;Annual;T;Total;NR;Number;Y40-44;From 40 to 44 years;PT1;Continente;2014;2014;143812.0
A;Annual;M;Males;NR;Number;Y40-44;From 40 to 44 years;PT1;Continente;2014;2014;146050.0
A;Annual;F;Females;NR;Number;Y40-44;From 40 to 44 years;PT1;Continente;2014;2014;147098.0
A;Annual;T;Total;NR;Number;Y45-49;From 45 to 49 years;PT1;Continente;2014;2014;148408.0
A;Annual;M;Males;NR;Number;Y45-49;From 45 to 49 years;PT1;Continente;2014;2014;149260.0
A;Annual;F;Females;NR;Number;Y45-49;From 45 to 49 years;PT1;Continente;2014;2014;150913.0
A;Annual;T;Total;NR;Number;Y50-54;From 50 to 54 years;PT1;Continente;2014;2014;301109.0
A;Annual;M;Males;NR;Number;Y50-54;From 50 to 54 years;PT1;Continente;2014;2014;297174.0
A;Annual;F;Females;NR;Number;Y50-54;From 50 to 54 years;PT1;Continente;2014;2014;294532.0
A;Annual;T;Total;NR;Number;Y55-59;From 55 to 59 years;PT1;Continente;2014;2014;294703.0
A;Annual;M;Males;NR;Number;Y55-59;From 55 to 59 years;PT1;Continente;2014;2014;302123.0
A;Annual;F;Females;NR;Number;Y55-59;From 55 to 59 years;PT1;Continente;2014;2014;310155.0
A;Annual;T;Total;NR;Number;Y60-64;From 60 to 64 years;PT1;Continente;2014;2014;313217.0
A;Annual;M;Males;NR;Number;Y60-64;From 60 to 64 years;PT1;Continente;2014;2014;315781.0
A;Annual;F;Females;NR;Number;Y60-64;From 60 to 64 years;PT1;Continente;2014;2014;315335.0
A;Annual;T;Total;NR;Number;Y65-69;From 65 to 69 years;PT1;Continente;2014;2014;315178.0
A;Annual;M;Males;NR;Number;Y65-69;From 65 to 69 years;PT1;Continente;2014;2014;291569.0
A;Annual;F;Females;NR;Number;Y65-69;From 65 to 69 years;PT1;Continente;2014;2014;144337.0
A;Annual;T;Total;NR;Number;Y70-74;From 70 to 74 years;PT1;Continente;2014;2014;142668.0
A;Annual;M;Males;NR;Number;Y70-74;From 70 to 74 years;PT1;Continente;2014;2014;141869.0
A;Annual;F;Females;NR;Number;Y70-74;From 70 to 74 years;PT1;Continente;2014;2014;141892.0
A;Annual;T;Total;NR;Number;Y75-79;From 75 to 79 years;PT1;Continente;2014;2014;145790.0
A;Annual;M;Males;NR;Number;Y75-79;From 75 to 79 years;PT1;Continente;2014;2014;150278.0
A;Annual;F;Females;NR;Number;Y75-79;From 75 to 79 years;PT1;Continente;2014;2014;152326.0
A;Annual;T;Total;NR;Number;Y80-84;From 80 to 84 years;PT1;Continente;2014;2014;153535.0
A;Annual;M;Males;NR;Number;Y80-84;From 80 to 84 years;PT1;Continente;2014;2014;153519.0
A;Annual;F;Females;NR;Number;Y80-84;From 80 to 84 years;PT1;Continente;2014;2014;154055.0
A;Annual;T;Total;NR;Number;Y85-89;From 85 to 89 years;PT1;Continente;2014;2014;138484.0
