freq;freq_label;isced11;isced11_label;sex;sex_label;age;age_label;unit;unit_label;geo;geo_label;time;time_label;value
A;Annual;TOTAL;All ISCED 2011 levels;T;Total;Y15-24;From 15 to 24 years;PC;Percentage;PT;Portugal;1999;1999;13.9
A;Annual;ED0-2;Less than primary, primary and lower secondary education (levels 0-2);T;Total;Y15-24;From 15 to 24 years;PC;Percentage;PT;Portugal;1999;1999;11.9
A;Annual;ED3_4;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);T;Total;Y15-24;From 15 to 24 years;PC;Percentage;PT;Portugal;1999;1999;11.4
A;Annual;ED5-8;Tertiary education (levels 5-8);T;Total;Y15-24;From 15 to 24 years;PC;Percentage;PT;Portugal;1999;1999;11.9
A;Annual;NRP;No response;T;Total;Y15-24;From 15 to 24 years;PC;Percentage;PT;Portugal;1999;1999;11.5
A;Annual;UNK;Unknown;T;Total;Y15-24;From 15 to 24 years;PC;Percentage;PT;Portugal;1999;1999;9.7
A;Annual;TOTAL;All ISCED 2011 levels;M;Males;Y15-24;From 15 to 24 years;PC;Percentage;PT;Portugal;1999;1999;9.6
A;Annual;ED0-2;Less than primary, primary and lower secondary education (levels 0-2);M;Males;Y15-24;From 15 to 24 years;PC;Percentage;PT;Portugal;1999;1999;9.1
A;Annual;ED3_4;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);M;Males;Y15-24;From 15 to 24 years;PC;Percentage;PT;Portugal;1999;1999;14.6
A;Annual;ED5-8;Tertiary education (levels 5-8);M;Males;Y15-24;From 15 to 24 years;PC;Percentage;PT;Portugal;1999;1999;11.7
A;Annual;NRP;No response;M;Males;Y15-24;From 15 to 24 years;PC;Percentage;PT;Portugal;1999;1999;8.9
A;Annual;UNK;Unknown;M;Males;Y15-24;From 15 to 24 years;PC;Percentage;PT;Portugal;1999;1999;9.0
A;Annual;TOTAL;All ISCED 2011 levels;F;Females;Y15-24;From 15 to 24 years;PC;Percentage;PT;Portugal;1999;1999;9.7
A;Annual;ED0-2;Less than primary, primary and lower secondary education (levels 0-2);F;Females;Y15-24;From 15 to 24 years;PC;Percentage;PT;Portugal;1999;1999;8.5
A;Annual;ED3_4;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);F;Females;Y15-24;From 15 to 24 years;PC;Percentage;PT;Portugal;1999;1999;8.7
A;Annual;ED5-8;Tertiary education (levels 5-8);F;Females;Y15-24;From 15 to 24 years;PC;Percentage;PT;Portugal;1999;1999;8.3
A;Annual;NRP;No response;F;Females;Y15-24;From 15 to 24 years;PC;Percentage;PT;Portugal;1999;1999;7.1
A;Annual;UNK;Unknown;F;Females;Y15-24;From 15 to 24 years;PC;Percentage;PT;Portugal;1999;1999;11.0
A;Annual;TOTAL;All ISCED 2011 levels;T;Total;Y15-29;From 15 to 29 years;PC;Percentage;PT;Portugal;1999;1999;18.0
A;Annual;ED0-2;Less than primary, primary and lower secondary education (levels 0-2);T;Total;Y15-29;From 15 to 29 years;PC;Percentage;PT;Portugal;1999;1999;20.5
A;Annual;ED3_4;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);T;Total;Y15-29;From 15 to 29 years;PC;Percentage;PT;Portugal;1999;1999;22.5
A;Annual;ED5-8;Tertiary education (levels 5-8);T;Total;Y15-29;From 15 to 29 years;PC;Percentage;PT;Portugal;1999;1999;27.9
A;Annual;NRP;No response;T;Total;Y15-29;From 15 to 29 years;PC;Percentage;PT;Portugal;1999;1999;29.4
A;Annual;UNK;Unknown;T;Total;Y15-29;From 15 to 29 years;PC;Percentage;PT;Portugal;1999;1999;28.4
A;Annual;TOTAL;All ISCED 2011 levels;M;Males;Y15-29;From 15 to 29 years;PC;Percentage;PT;Portugal;1999;1999;25.8
A;Annual;ED0-2;Less than primary, primary and lower secondary education (levels 0-2);M;Males;Y15-29;From 15 to 29 years;PC;Percentage;PT;Portugal;1999;1999;23.1
A;Annual;ED3_4;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);M;Males;Y15-29;From 15 to 29 years;PC;Percentage;PT;Portugal;1999;1999;20.3
A;Annual;ED5-8;Tertiary education (levels 5-8);M;Males;Y15-29;From 15 to 29 years;PC;Percentage;PT;Portugal;1999;1999;17.6
A;Annual;NRP;No response;M;Males;Y15-29;From 15 to 29 years;PC;Percentage;PT;Portugal;1999;1999;15.8
A;Annual;UNK;Unknown;M;Males;Y15-29;From 15 to 29 years;PC;Percentage;PT;Portugal;1999;1999;17.4
A;Annual;TOTAL;All ISCED 2011 levels;F;Females;Y15-29;From 15 to 29 years;PC;Percentage;PT;Portugal;1999;1999;15.4
A;Annual;ED0-2;Less than primary, primary and lower secondary education (levels 0-2);F;Females;Y15-29;From 15 to 29 years;PC;Percentage;PT;Portugal;1999;1999;14.3
A;Annual;ED3_4;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);F;Females;Y15-29;From 15 to 29 years;PC;Percentage;PT;Portugal;1999;1999;13.0
A;Annual;ED5-8;Tertiary education (levels 5-8);F;Females;Y15-29;From 15 to 29 years;PC;Percentage;PT;Portugal;1999;1999;13.0
A;Annual;NRP;No response;F;Females;Y15-29;From 15 to 29 years;PC;Percentage;PT;Portugal;1999;1999;24.1
A;Annual;UNK;Unknown;F;Females;Y15-29;From 15 to 29 years;PC;Percentage;PT;Portugal;1999;1999;23.4
A;Annual;TOTAL;All ISCED 2011 levels;T;Total;Y15-74;From 15 to 74 years;PC;Percentage;PT;Portugal;1999;1999;13.5
A;Annual;ED0-2;Less than primary, primary and lower secondary education (levels 0-2);T;Total;Y15-74;From 15 to 74 years;PC;Percentage;PT;Portugal;1999;1999;18.0
A;Annual;ED3_4;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);T;Total;Y15-74;From 15 to 74 years;PC;Percentage;PT;Portugal;1999;1999;16.1
A;Annual;ED5-8;Tertiary education (levels 5-8);T;Total;Y15-74;From 15 to 74 years;PC;Percentage;PT;Portugal;1999;1999;17.7
A;Annual;NRP;No response;T;Total;Y15-74;From 15 to 74 years;PC;Percentage;PT;Portugal;1999;1999;14.9
A;Annual;UNK;Unknown;T;Total;Y15-74;From 15 to 74 years;PC;Percentage;PT;Portugal;1999;1999;12.6
A;Annual;TOTAL;All ISCED 2011 levels;M;Males;Y15-74;From 15 to 74 years;PC;Percentage;PT;Portugal;1999;1999;12.5
A;Annual;ED0-2;Less than primary, primary and lower secondary education (levels 0-2);M;Males;Y15-74;From 15 to 74 years;PC;Percentage;PT;Portugal;1999;1999;14.6
A;Annual;ED3_4;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);M;Males;Y15-74;From 15 to 74 years;PC;Percentage;PT;Portugal;1999;1999;19.8
A;Annual;ED5-8;Tertiary education (levels 5-8);M;Males;Y15-74;From 15 to 74 years;PC;Percentage;PT;Portugal;1999;1999;22.3
A;Annual;NRP;No response;M;Males;Y15-74;From 15 to 74 years;PC;Percentage;PT;Portugal;1999;1999;24.4
A;Annual;UNK;Unknown;M;Males;Y15-74;From 15 to 74 years;PC;Percentage;PT;Portugal;1999;1999;32.4
A;Annual;TOTAL;All ISCED 2011 levels;F;Females;Y15-74;From 15 to 74 years;PC;Percentage;PT;Portugal;1999;1999;33.4
A;Annual;ED0-2;Less than primary, primary and lower secondary education (levels 0-2);F;Females;Y15-74;From 15 to 74 years;PC;Percentage;PT;Portugal;1999;1999;29.3
A;Annual;ED3_4;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);F;Females;Y15-74;From 15 to 74 years;PC;Percentage;PT;Portugal;1999;1999;28.6
A;Annual;ED5-8;Tertiary education (levels 5-8);F;Females;Y15-74;From 15 to 74 years;PC;Percentage;PT;Portugal;1999;1999;27.2
A;Annual;NRP;No response;F;Females;Y15-74;From 15 to 74 years;PC;Percentage;PT;Portugal;1999;1999;26.0
A;Annual;UNK;Unknown;F;Females;Y15-74;From 15 to 74 years;PC;Percentage;PT;Portugal;1999;1999;23.4
A;Annual;TOTAL;All ISCED 2011 levels;T;Total;Y_GE15;15 years or over;PC;Percentage;PT;Portugal;1999;1999;21.2
A;Annual;ED0-2;Less than primary, primary and lower secondary education (levels 0-2);T;Total;Y_GE15;15 years or over;PC;Percentage;PT;Portugal;1999;1999;21.4
A;Annual;ED3_4;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);T;Total;Y_GE15;15 years or over;PC;Percentage;PT;Portugal;1999;1999;19.7
A;Annual;ED5-8;Tertiary education (levels 5-8);T;Total;Y_GE15;15 years or over;PC;Percentage;PT;Portugal;1999;1999;17.0
A;Annual;NRP;No response;T;Total;Y_GE15;15 years or over;PC;Percentage;PT;Portugal;1999;1999;17.1
A;Annual;UNK;Unknown;T;Total;Y_GE15;15 years or over;PC;Percentage;PT;Portugal;1999;1999;15.2
A;Annual;TOTAL;All ISCED 2011 levels;M;Males;Y_GE15;15 years or over;PC;Percentage;PT;Portugal;1999;1999;10.7
A;Annual;ED0-2;Less than primary, primary and lower secondary education (levels 0-2);M;Males;Y_GE15;15 years or over;PC;Percentage;PT;Portugal;1999;1999;8.7
A;Annual;ED3_4;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);M;Males;Y_GE15;15 years or over;PC;Percentage;PT;Portugal;1999;1999;8.0
A;Annual;ED5-8;Tertiary education (levels 5-8);M;Males;Y_GE15;15 years or over;PC;Percentage;PT;Portugal;1999;1999;9.4
A;Annual;NRP;No response;M;Males;Y_GE15;15 years or over;PC;Percentage;PT;Portugal;1999;1999;10.0
A;Annual;UNK;Unknown;M;Males;Y_GE15;15 years or over;PC;Percentage;PT;Portugal;1999;1999;9.3
A;Annual;TOTAL;All ISCED 2011 levels;F;Females;Y_GE15;15 years or over;PC;Percentage;PT;Portugal;1999;1999;7.1
A;Annual;ED0-2;Less than primary, primary and lower secondary education (levels 0-2);F;Females;Y_GE15;15 years or over;PC;Percentage;PT;Portugal;1999;1999;6.6
A;Annual;ED3_4;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);F;Females;Y_GE15;15 years or over;PC;Percentage;PT;Portugal;1999;1999;6.9
A;Annual;ED5-8;Tertiary education (levels 5-8);F;Females;Y_GE15;15 years or over;PC;Percentage;PT;Portugal;1999;1999;9.5
A;Annual;NRP;No response;F;Females;Y_GE15;15 years or over;PC;Percentage;PT;Portugal;1999;1999;17.3
A;Annual;UNK;Unknown;F;Females;Y_GE15;15 years or over;PC;Percentage;PT;Portugal;1999;1999;19.0
A;Annual;TOTAL;All ISCED 2011 levels;T;Total;Y20-64;From 20 to 64 years;PC;Percentage;PT;Portugal;1999;1999;20.5
A;Annual;ED0-2;Less than primary, primary and lower secondary education (levels 0-2);T;Total;Y20-64;From 20 to 64 years;PC;Percentage;PT;Portugal;1999;1999;23.7
A;Annual;ED3_4;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);T;Total;Y20-64;From 20 to 64 years;PC;Percentage;PT;Portugal;1999;1999;24.2
A;Annual;ED5-8;Tertiary education (levels 5-8);T;Total;Y20-64;From 20 to 64 years;PC;Percentage;PT;Portugal;1999;1999;21.8
A;Annual;NRP;No response;T;Total;Y20-64;From 20 to 64 years;PC;Percentage;PT;Portugal;1999;1999;19.4
A;Annual;UNK;Unknown;T;Total;Y20-64;From 20 to 64 years;PC;Percentage;PT;Portugal;1999;1999;16.9
A;Annual;TOTAL;All ISCED 2011 levels;M;Males;Y20-64;From 20 to 64 years;PC;Percentage;PT;Portugal;1999;1999;14.6
A;Annual;ED0-2;Less than primary, primary and lower secondary education (levels 0-2);M;Males;Y20-64;From 20 to 64 years;PC;Percentage;PT;Portugal;1999;1999;12.5
A;Annual;ED3_4;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);M;Males;Y20-64;From 20 to 64 years;PC;Percentage;PT;Portugal;1999;1999;11.8
A;Annual;ED5-8;Tertiary education (levels 5-8);M;Males;Y20-64;From 20 to 64 years;PC;Percentage;PT;Portugal;1999;1999;13.8
A;Annual;NRP;No response;M;Males;Y20-64;From 20 to 64 years;PC;Percentage;PT;Portugal;1999;1999;13.1
A;Annual;UNK;Unknown;M;Males;Y20-64;From 20 to 64 years;PC;Percentage;PT;Portugal;1999;1999;10.8
