freq;freq_label;unit;unit_label;wstatus;wstatus_label;nace_r2;nace_r2_label;geo;geo_label;time;time_label;value
A;Annual;THS;Thousand;EMP;Employed persons;TOTAL;Total - all NACE activities;PT;Portugal;1995;1995;1.02
A;Annual;THS;Thousand;SAL;Employees;TOTAL;Total - all NACE activities;PT;Portugal;1995;1995;1.01
A;Annual;THS;Thousand;SELF;Self-employed persons;TOTAL;Total - all NACE activities;PT;Portugal;1995;1995;0.99
A;Annual;THS;Thousand;EMP;Employed persons;A;Agriculture, forestry and fishing;PT;Portugal;1995;1995;1.02
A;Annual;THS;Thousand;SAL;Employees;A;Agriculture, forestry and fishing;PT;Portugal;1995;1995;1.01
A;Annual;THS;Thousand;SELF;Self-employed persons;A;Agriculture, forestry and fishing;PT;Portugal;1995;1995;0.92
A;Annual;THS;Thousand;EMP;Employed persons;B-E;Industry (except construction);PT;Portugal;1995;1995;0.85
A;Annual;THS;Thousand;SAL;Employees;B-E;Industry (except construction);PT;Portugal;1995;1995;0.86
A;Annual;THS;Thousand;SELF;Self-employed persons;B-E;Industry (except construction);PT;Portugal;1995;1995;0.87
A;Annual;THS;Thousand;EMP;Employed persons;C;Manufacturing;PT;Portugal;1995;1995;0.84
A;Annual;THS;Thousand;SAL;Employees;C;Manufacturing;PT;Portugal;1995;1995;0.81
A;Annual;THS;Thousand;SELF;Self-employed persons;C;Manufacturing;PT;Portugal;1995;1995;0.81
A;Annual;THS;Thousand;EMP;Employed persons;F;Construction;PT;Portugal;1995;1995;0.79
A;Annual;THS;Thousand;SAL;Employees;F;Construction;PT;Portugal;1995;1995;0.77
A;Annual;THS;Thousand;SELF;Self-employed persons;F;Construction;PT;Portugal;1995;1995;0.74
A;Annual;THS;Thousand;EMP;Employed persons;G-J;"Wholesale and retail trade; transport; accommodation and food service activities; information and communication";PT;Portugal;1995;1995;0.72
A;Annual;THS;Thousand;SAL;Employees;G-J;"Wholesale and retail trade; transport; accommodation and food service activities; information and communication";PT;Portugal;1995;1995;0.66
A;Annual;THS;Thousand;SELF;Self-employed persons;G-J;"Wholesale and retail trade; transport; accommodation and food service activities; information and communication";PT;Portugal;1995;1995;0.61
A;Annual;THS;Thousand;EMP;Employed persons;G-I;Wholesale and retail trade, transport, accommodation and food service activities;PT;Portugal;1995;1995;0.6
A;Annual;THS;Thousand;SAL;Employees;K-N;"Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities";PT;Portugal;1995;1995;3.04
A;Annual;THS;Thousand;SELF;Self-employed persons;K-N;"Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities";PT;Portugal;1995;1995;2.81
A;Annual;THS;Thousand;EMP;Employed persons;K;Financial and insurance activities;PT;Portugal;1995;1995;2.72
A;Annual;THS;Thousand;SAL;Employees;K;Financial and insurance activities;PT;Portugal;1995;1995;2.61
A;Annual;THS;Thousand;SELF;Self-employed persons;K;Financial and insurance activities;PT;Portugal;1995;1995;2.57
A;Annual;THS;Thousand;EMP;Employed persons;L;Real estate activities;PT;Portugal;1995;1995;2.52
A;Annual;THS;Thousand;SAL;Employees;L;Real estate activities;PT;Portugal;1995;1995;2.49
A;Annual;THS;Thousand;SELF;Self-employed persons;L;Real estate activities;PT;Portugal;1995;1995;2.58
A;Annual;THS;Thousand;EMP;Employed persons;M_N;"Professional, scientific and technical activities; administrative and support service activities";PT;Portugal;1995;1995;2.68
A;Annual;THS;Thousand;SAL;Employees;M_N;"Professional, scientific and technical activities; administrative and support service activities";PT;Portugal;1995;1995;2.45
A;Annual;THS;Thousand;SELF;Self-employed persons;M_N;"Professional, scientific and technical activities; administrative and support service activities";PT;Portugal;1995;1995;2.29
