code,name,category,use_case,records,file
0008273,"Population by region, sex and age group",Demographics,"Case-mix adjustment, demand forecasting",19608,ine_data\ind_0008273.csv
0008274,Fertility index,Demographics,Birth rate trends,36,ine_data\ind_0008274.csv
0008275,Adolescent fertility rate,Demographics,Maternal health services demand,36,ine_data\ind_0008275.csv
0008258,Aging index by region (Indice de envelhecimento),Demographics,Elderly population trends,344,ine_data\ind_0008258.csv
0008259,Elderly dependency index,Demographics,Healthcare demand from aging population,344,ine_data\ind_0008259.csv
0008261,Total dependency ratio,Demographics,Healthcare demand pressure,344,ine_data\ind_0008261.csv
0012136,Unemployment rate by region,Economics,Economic distress indicator,39,ine_data\ind_0012136.csv
0010683,Employment statistics,Economics,Regional employment context,231,ine_data\ind_0010683.csv
0008277,Nurses per 1000 inhabitants,Healthcare,Healthcare workforce availability,344,ine_data\ind_0008277.csv
0001228,Life expectancy at 65 years,Demographics,Population health outcomes,3,ine_data\ind_0001228.csv
