geocod,geodsg,ind_string,valor,periodo
2004205,Ribeira Grande,"65,5",65.5,2023
2004201,Lagoa,"84,1",84.1,2023
3003108,Santa Cruz,"109,1",109.1,2023
3003102,Câmara de Lobos,"113,3",113.3,2023
2004203,Ponta Delgada,"113,9",113.9,2023
1701507,Montijo,"115,3",115.3,2023
2004206,Vila Franca do Campo,"115,7",115.7,2023
1701109,Mafra,"117,3",117.3,2023
1701502,Alcochete,"118,7",118.7,2023
2,Região Autónoma dos Açores,"122,3",122.3,2023
20,Região Autónoma dos Açores,"122,3",122.3,2023
200,Região Autónoma dos Açores,"122,3",122.3,2023
16B1102,Arruda dos Vinhos,"123,3",123.3,2023
11C1305,Lousada,"125,1",125.1,2023
1701111,Sintra,"126,9",126.9,2023
1500801,Albufeira,"130,8",130.8,2023
1701114,Vila Franca de Xira,"130,9",130.9,2023
2004101,Vila do Porto,"131,6",131.6,2023
11A1310,Paredes,"133,2",133.2,2023
16B1112,Sobral de Monte Agraço,"134,2",134.2,2023
1701116,Odivelas,"136,7",136.7,2023
1851405,Benavente,"136,7",136.7,2023
11C1309,Paços de Ferreira,"137,2",137.2,2023
16B1101,Alenquer,"137,3",137.3,2023
2004204,Povoação,"138,5",138.5,2023
2004602,Madalena,"140,6",140.6,2023
1701511,Sesimbra,"140,9",140.9,2023
2004901,Corvo,"144,6",144.6,2023
1120303,Braga,"146,0",146,2023
2004302,Vila da Praia da Vitória,"147,4",147.4,2023
2004401,Santa Cruz da Graciosa,"147,5",147.5,2023
16I1410,Entroncamento,"147,6",147.6,2023
1190314,Vizela,"148,1",148.1,2023
11C1311,Penafiel,"148,7",148.7,2023
1701506,Moita,"149,0",149,2023
1701107,Loures,"149,1",149.1,2023
1500811,Portimão,"150,8",150.8,2023
1701510,Seixal,"151,3",151.3,2023
1701508,Palmela,"152,0",152,2023
17,Área Metropolitana de Lisboa,"152,9",152.9,2023
170,Área Metropolitana de Lisboa,"152,9",152.9,2023
1701115,Amadora,"153,3",153.3,2023
11A1306,Maia,"153,6",153.6,2023
2004802,Santa Cruz das Flores,"154,5",154.5,2023
1120306,Esposende,"155,3",155.3,2023
2004301,Angra do Heroísmo,"155,9",155.9,2023
11A1315,Valongo,"156,1",156.1,2023
11A1316,Vila do Conde,"159,4",159.4,2023
2004701,Horta,"160,3",160.3,2023
112,Cávado,"161,3",161.3,2023
1840205,Beja,"162,2",162.2,2023
1500805,Faro,"163,1",163.1,2023
11C1307,Marco de Canaveses,"163,4",163.4,2023
1811513,Sines,"163,4",163.4,2023
11C1303,Felgueiras,"163,5",163.5,2023
1500810,Olhão,"163,9",163.9,2023
2004202,Nordeste,"164,6",164.6,2023
1701105,Cascais,"166,6",166.6,2023
16D0110,Ílhavo,"166,7",166.7,2023
11A1313,Póvoa de Varzim,"166,8",166.8,2023
3003201,Porto Santo,"167,6",167.6,2023
16F1004,Batalha,"168,0",168,2023
11C,Tâmega e Sousa,"169,0",169,2023
16D0105,Aveiro,"169,2",169.2,2023
1190312,Vila Nova de Famalicão,"169,5",169.5,2023
1701106,Lisboa,"169,5",169.5,2023
1500808,Loulé,"170,1",170.1,2023
16D0114,Oliveira do Bairro,"170,2",170.2,2023
11A1318,Trofa,"170,3",170.3,2023
16B1113,Torres Vedras,"170,6",170.6,2023
1861204,Campo Maior,"171,2",171.2,2023
3,Região Autónoma da Madeira,"171,5",171.5,2023
30,Região Autónoma da Madeira,"171,5",171.5,2023
300,Região Autónoma da Madeira,"171,5",171.5,2023
2004502,Velas,"171,6",171.6,2023
2004603,São Roque do Pico,"172,5",172.5,2023
16E0604,Condeixa-a-Nova,"173,8",173.8,2023
1120313,Vila Verde,"174,0",174,2023
1701512,Setúbal,"174,9",174.9,2023
1500806,Lagoa,"175,4",175.4,2023
15,Algarve,"175,6",175.6,2023
150,Algarve,"175,6",175.6,2023
1701503,Almada,"176,1",176.1,2023
3003107,Ribeira Brava,"176,1",176.1,2023
16F1009,Leiria,"176,6",176.6,2023
1701110,Oeiras,"176,8",176.8,2023
1120302,Barcelos,"176,9",176.9,2023
1851414,Rio Maior,"177,2",177.2,2023
1840210,Moura,"178,7",178.7,2023
1190308,Guimarães,"179,4",179.4,2023
1851103,Azambuja,"179,4",179.4,2023
1500813,Silves,"179,9",179.9,2023
11A1317,Vila Nova de Gaia,"180,5",180.5,2023
1840204,Barrancos,"181,2",181.2,2023
1120301,Amares,"182,0",182,2023
1861207,Elvas,"182,4",182.4,2023
16D0112,Murtosa,"182,7",182.7,2023
11A0109,Santa Maria da Feira,"183,0",183,2023
1870708,Mourão,"183,1",183.1,2023
16D0115,Ovar,"183,8",183.8,2023
1870705,Évora,"184,1",184.1,2023
16D0118,Vagos,"184,2",184.2,2023
16F1010,Marinha Grande,"184,7",184.7,2023
119,Ave,"185,2",185.2,2023
11A,Área Metropolitana do Porto,"185,4",185.4,2023
11A1304,Gondomar,"185,4",185.4,2023
16B,Oeste,"185,4",185.4,2023
3003105,Ponta do Sol,"186,2",186.2,2023
16B1108,Lourinhã,"186,5",186.5,2023
16D0102,Albergaria-a-Velha,"187,5",187.5,2023
PT,Portugal,"188,1",188.1,2023
1,Continente,"190,2",190.2,2023
16E0607,Lousã,"190,6",190.6,2023
1701504,Barreiro,"191,1",191.1,2023
1500812,São Brás de Alportel,"191,3",191.3,2023
16G1823,Viseu,"191,3",191.3,2023
1500803,Aljezur,"191,4",191.4,2023
16D,Região de Aveiro,"191,9",191.9,2023
1840207,Cuba,"191,9",191.9,2023
1840214,Vidigueira,"193,0",193,2023
11A0116,São João da Madeira,"194,0",194,2023
1870713,Viana do Alentejo,"194,8",194.8,2023
11A1308,Matosinhos,"195,5",195.5,2023
16B1014,Peniche,"195,6",195.6,2023
1851403,Almeirim,"196,6",196.6,2023
11,Norte,"197,4",197.4,2023
16D0108,Estarreja,"197,4",197.4,2023
3003103,Funchal,"197,5",197.5,2023
185,Lezíria do Tejo,"199,4",199.4,2023
1500815,Vila do Bispo,"199,8",199.8,2023
1190309,Póvoa de Lanhoso,"200,0",200,2023
2004501,Calheta,"200,2",200.2,2023
1851406,Cartaxo,"200,4",200.4,2023
16I1420,Vila Nova da Barquinha,"200,9",200.9,2023
1500816,Vila Real de Santo António,"203,2",203.2,2023
2004601,Lajes do Pico,"203,4",203.4,2023
1500807,Lagos,"204,3",204.3,2023
11C0106,Castelo de Paiva,"204,4",204.4,2023
16I1408,Constância,"204,8",204.8,2023
16B1011,Nazaré,"205,8",205.8,2023
1851416,Santarém,"205,9",205.9,2023
2004801,Lajes das Flores,"205,9",205.9,2023
16F1016,Porto de Mós,"206,3",206.3,2023
3003104,Machico,"207,7",207.7,2023
16F,Região de Leiria,"207,9",207.9,2023
1870711,Reguengos de Monsaraz,"208,1",208.1,2023
16G1810,Oliveira de Frades,"208,2",208.2,2023
11D1714,Vila Real,"208,5",208.5,2023
1810211,Odemira,"209,2",209.2,2023
1861211,Monforte,"209,8",209.8,2023
184,Baixo Alentejo,"210,6",210.6,2023
1851415,Salvaterra de Magos,"210,9",210.9,2023
11C1301,Amarante,"211,1",211.1,2023
1190304,Cabeceiras de Basto,"212,1",212.1,2023
11A0104,Arouca,"212,1",212.1,2023
16B1012,Óbidos,"213,2",213.2,2023
16E0610,Montemor-o-Velho,"213,3",213.3,2023
1190307,Fafe,"214,0",214,2023
16B1005,Bombarral,"215,0",215,2023
11A1312,Porto,"215,2",215.2,2023
11A0113,Oliveira de Azeméis,"215,9",215.9,2023
18,Alentejo,"215,9",215.9,2023
16B1006,Caldas da Rainha,"216,8",216.8,2023
11D1820,Tarouca,"217,2",217.2,2023
1111608,Valença,"219,0",219,2023
1840203,Alvito,"219,4",219.4,2023
1111607,Ponte de Lima,"219,9",219.9,2023
16E0603,Coimbra,"220,4",220.4,2023
1811505,Grândola,"220,4",220.4,2023
181,Alentejo Litoral,"220,6",220.6,2023
187,Alentejo Central,"220,9",220.9,2023
1840206,Castro Verde,"221,2",221.2,2023
16I1421,Ourém,"222,3",222.3,2023
16D0101,Águeda,"223,1",223.1,2023
16B1001,Alcobaça,"224,2",224.2,2023
1111609,Viana do Castelo,"224,6",224.6,2023
1840208,Ferreira do Alentejo,"225,9",225.9,2023
11C0305,Celorico de Basto,"227,6",227.6,2023
3003101,Calheta,"228,8",228.8,2023
1851404,Alpiarça,"229,0",229,2023
1870702,Arraiolos,"232,5",232.5,2023
16,Centro,"232,6",232.6,2023
16E0617,Vila Nova de Poiares,"233,4",233.4,2023
11C1302,Baião,"233,8",233.8,2023
1840201,Aljustrel,"233,8",233.8,2023
1861214,Portalegre,"234,2",234.2,2023
1870710,Redondo,"234,2",234.2,2023
1870712,Vendas Novas,"238,4",238.4,2023
1870704,Estremoz,"239,0",239,2023
1840213,Serpa,"240,8",240.8,2023
1870709,Portel,"241,3",241.3,2023
16J0907,Guarda,"241,6",241.6,2023
1811509,Santiago do Cacém,"241,7",241.7,2023
1111610,Vila Nova de Cerveira,"242,0",242,2023
1870703,Borba,"242,0",242,2023
16I1419,Torres Novas,"242,2",242.2,2023
11A1314,Santo Tirso,"242,8",242.8,2023
16E0111,Mealhada,"243,8",243.8,2023
11C1804,Cinfães,"246,1",246.1,2023
1851412,Golegã,"246,9",246.9,2023
16I1402,Alcanena,"249,4",249.4,2023
16E,Região de Coimbra,"249,6",249.6,2023
1870714,Vila Viçosa,"249,6",249.6,2023
11C1813,Resende,"249,8",249.8,2023
16B1104,Cadaval,"249,9",249.9,2023
16H0502,Castelo Branco,"250,6",250.6,2023
186,Alto Alentejo,"252,5",252.5,2023
1870706,Montemor-o-Novo,"255,3",255.3,2023
1861202,Arronches,"255,6",255.6,2023
16I,Médio Tejo,"256,2",256.2,2023
16G,Viseu Dão Lafões,"256,9",256.9,2023
16F1015,Pombal,"257,4",257.4,2023
1861213,Ponte de Sor,"257,9",257.9,2023
1500814,Tavira,"259,2",259.2,2023
16E0605,Figueira da Foz,"259,7",259.7,2023
11E0402,Bragança,"261,4",261.4,2023
111,Alto Minho,"263,0",263,2023
16E0608,Mira,"264,6",264.6,2023
1861201,Alter do Chão,"266,1",266.1,2023
11D1807,Moimenta da Beira,"266,2",266.2,2023
16E0611,Oliveira do Hospital,"266,9",266.9,2023
16E0609,Miranda do Corvo,"267,8",267.8,2023
11A0107,Espinho,"268,1",268.1,2023
16E0616,Tábua,"268,5",268.5,2023
16E0602,Cantanhede,"269,7",269.7,2023
11D1708,Peso da Régua,"271,0",271,2023
16G1806,Mangualde,"271,0",271,2023
1500804,Castro Marim,"272,4",272.4,2023
1861215,Sousel,"275,5",275.5,2023
1111602,Caminha,"276,5",276.5,2023
3003110,São Vicente,"276,5",276.5,2023
16D0103,Anadia,"277,9",277.9,2023
11D1805,Lamego,"280,4",280.4,2023
11A0119,Vale de Cambra,"281,3",281.3,2023
11D1815,São João da Pesqueira,"285,7",285.7,2023
16G1809,Nelas,"285,7",285.7,2023
1861203,Avis,"290,8",290.8,2023
16E0614,Penela,"291,2",291.2,2023
1811501,Alcácer do Sal,"292,0",292,2023
1111606,Ponte da Barca,"292,2",292.2,2023
11D,Douro,"292,2",292.2,2023
16G1802,Carregal do Sal,"292,6",292.6,2023
16I1411,Ferreira do Zêzere,"293,3",293.3,2023
1840202,Almodôvar,"293,3",293.3,2023
16G1817,Sátão,"295,8",295.8,2023
16J0503,Covilhã,"296,2",296.2,2023
16I1418,Tomar,"298,0",298,2023
1851407,Chamusca,"298,9",298.9,2023
16D0117,Sever do Vouga,"299,2",299.2,2023
1111605,Paredes de Coura,"300,3",300.3,2023
3003109,Santana,"301,9",301.9,2023
1851409,Coruche,"302,4",302.4,2023
16G1824,Vouzela,"309,5",309.5,2023
1840212,Ourique,"310,1",310.1,2023
16I0509,Sertã,"310,3",310.3,2023
16G1814,Santa Comba Dão,"310,8",310.8,2023
1191705,Mondim de Basto,"311,9",311.9,2023
16E0601,Arganil,"313,3",313.3,2023
11D1704,Mesão Frio,"315,7",315.7,2023
1120310,Terras de Bouro,"317,1",317.1,2023
16I1401,Abrantes,"317,1",317.1,2023
16J0504,Fundão,"318,2",318.2,2023
16J0501,Belmonte,"318,3",318.3,2023
1870701,Alandroal,"318,8",318.8,2023
16H,Beira Baixa,"322,4",322.4,2023
1861208,Fronteira,"323,5",323.5,2023
16G1821,Tondela,"325,7",325.7,2023
11E0407,Mirandela,"329,4",329.4,2023
1190311,Vieira do Minho,"336,0",336,2023
16F1003,Ansião,"336,1",336.1,2023
3003106,Porto Moniz,"338,9",338.9,2023
1500809,Monchique,"339,2",339.2,2023
11D1801,Armamar,"340,9",340.9,2023
16G1816,São Pedro do Sul,"342,6",342.6,2023
1861210,Marvão,"343,6",343.6,2023
16G1822,Vila Nova de Paiva,"344,0",344,2023
11B1709,Ribeira de Pena,"345,0",345,2023
16J,Beiras e Serra da Estrela,"345,2",345.2,2023
16I1417,Sardoal,"345,4",345.4,2023
11B1703,Chaves,"347,8",347.8,2023
16E0615,Soure,"348,3",348.3,2023
1111604,Monção,"357,4",357.4,2023
1861205,Castelo de Vide,"360,7",360.7,2023
11E,Terras de Trás-os-Montes,"363,1",363.1,2023
16G1803,Castro Daire,"363,6",363.6,2023
16E0613,Penacova,"365,3",365.3,2023
11D0404,Freixo de Espada à Cinta,"367,2",367.2,2023
16E1808,Mortágua,"369,3",369.3,2023
11D1711,Santa Marta de Penaguião,"370,9",370.9,2023
11D1818,Sernancelhe,"371,4",371.4,2023
16G1811,Penalva do Castelo,"372,7",372.7,2023
16I0510,Vila de Rei,"372,8",372.8,2023
11D1710,Sabrosa,"374,0",374,2023
16J0912,Seia,"374,1",374.1,2023
11D1819,Tabuaço,"374,2",374.2,2023
11D1701,Alijó,"380,1",380.1,2023
16J0904,Figueira de Castelo Rodrigo,"380,3",380.3,2023
16J0905,Fornos de Algodres,"386,6",386.6,2023
16J0903,Celorico da Beira,"390,5",390.5,2023
11E0405,Macedo de Cavaleiros,"395,1",395.1,2023
11E0410,Vila Flor,"396,2",396.2,2023
16F1008,Figueiró dos Vinhos,"397,0",397,2023
1111601,Arcos de Valdevez,"397,1",397.1,2023
1861206,Crato,"398,3",398.3,2023
16F1013,Pedrógão Grande,"404,8",404.8,2023
11B,Alto Tâmega,"407,5",407.5,2023
16F1002,Alvaiázere,"409,2",409.2,2023
11D0914,Vila Nova de Foz Côa,"417,6",417.6,2023
1870707,Mora,"419,6",419.6,2023
11B1713,Vila Pouca de Aguiar,"429,1",429.1,2023
1840209,Mértola,"433,5",433.5,2023
16J0913,Trancoso,"434,2",434.2,2023
16J0906,Gouveia,"435,5",435.5,2023
16H0505,Idanha-a-Nova,"439,3",439.3,2023
11D1812,Penedono,"440,4",440.4,2023
