geocod,geodsg,dim_3,dim_3_t,sinal_conv,sinal_conv_desc,ind_string,periodo,valor
PTOPO,Douro,02,Hulha e lenhite; petróleo bruto e gás natural,-,Dado nulo ou não aplicável,-,2023,
PTPDL,Ponta Delgada,02,Hulha e lenhite; petróleo bruto e gás natural,,,120,2023,120
PTPRG,Praia da Graciosa,02,Hulha e lenhite; petróleo bruto e gás natural,-,Dado nulo ou não aplicável,-,2023,
PTPRM,Portimão,02,Hulha e lenhite; petróleo bruto e gás natural,-,Dado nulo ou não aplicável,-,2023,
PTPRV,Praia da Vitória,02,Hulha e lenhite; petróleo bruto e gás natural,-,Dado nulo ou não aplicável,-,2023,
PTPXO,Porto Santo,02,Hulha e lenhite; petróleo bruto e gás natural,-,Dado nulo ou não aplicável,-,2023,
PTSCF,Santa Cruz das Flores,02,Hulha e lenhite; petróleo bruto e gás natural,-,Dado nulo ou não aplicável,-,2023,
PT888,Outros portos de Portugal,02,Hulha e lenhite; petróleo bruto e gás natural,-,Dado nulo ou não aplicável,-,2023,
PTSCG,Santa Cruz da Graciosa,02,Hulha e lenhite; petróleo bruto e gás natural,-,Dado nulo ou não aplicável,-,2023,
PTSET,Setúbal,02,Hulha e lenhite; petróleo bruto e gás natural,-,Dado nulo ou não aplicável,-,2023,
PTSIN,Sines,02,Hulha e lenhite; petróleo bruto e gás natural,,,6 110,2023,6110
PTVDC,Viana do Castelo,02,Hulha e lenhite; petróleo bruto e gás natural,-,Dado nulo ou não aplicável,-,2023,
PTVDP,Vila do Porto,02,Hulha e lenhite; petróleo bruto e gás natural,-,Dado nulo ou não aplicável,-,2023,
PTVEL,Velas,02,Hulha e lenhite; petróleo bruto e gás natural,-,Dado nulo ou não aplicável,-,2023,
PTVNC,Vila Nova do Corvo,02,Hulha e lenhite; petróleo bruto e gás natural,-,Dado nulo ou não aplicável,-,2023,
PTVRE,Vila Real de Santo António,02,Hulha e lenhite; petróleo bruto e gás natural,-,Dado nulo ou não aplicável,-,2023,
A,Região Autónoma dos Açores,02,Hulha e lenhite; petróleo bruto e gás natural,,,120,2023,120
C,Continente,02,Hulha e lenhite; petróleo bruto e gás natural,,,46 826,2023,46826
M,Região Autónoma da Madeira,02,Hulha e lenhite; petróleo bruto e gás natural,-,Dado nulo ou não aplicável,-,2023,
P,Portugal,02,Hulha e lenhite; petróleo bruto e gás natural,,,46 946,2023,46946
PT88P,Instalações offshore de Portugal,02,Hulha e lenhite; petróleo bruto e gás natural,-,Dado nulo ou não aplicável,-,2023,
PTADH,Angra do Heroísmo,02,Hulha e lenhite; petróleo bruto e gás natural,-,Dado nulo ou não aplicável,-,2023,
PTAVE,Aveiro,02,Hulha e lenhite; petróleo bruto e gás natural,-,Dado nulo ou não aplicável,-,2023,
PTCAL,Calheta,02,Hulha e lenhite; petróleo bruto e gás natural,-,Dado nulo ou não aplicável,-,2023,
