geocod,geodsg,ind_string,valor,periodo
11B,Alto Tâmega,"3,0",3,2023
11C,Tâmega e Sousa,"3,1",3.1,2023
16E,Região de Coimbra,"3,1",3.1,2023
119,Ave,"3,3",3.3,2023
16G,Viseu Dão Lafões,"3,5",3.5,2023
112,Cávado,"3,9",3.9,2023
16I,Médio Tejo,"4,1",4.1,2023
3,Região Autónoma da Madeira,"4,2",4.2,2023
30,Região Autónoma da Madeira,"4,2",4.2,2023
300,Região Autónoma da Madeira,"4,2",4.2,2023
11,Norte,"4,5",4.5,2023
11A,Área Metropolitana do Porto,"4,5",4.5,2023
16F,Região de Leiria,"4,5",4.5,2023
16,Centro,"4,9",4.9,2023
16B,Oeste,"5,3",5.3,2023
185,Lezíria do Tejo,"5,3",5.3,2023
11D,Douro,"5,8",5.8,2023
111,Alto Minho,"5,9",5.9,2023
1,Continente,"6,3",6.3,2023
PT,Portugal,"6,4",6.4,2023
16D,Região de Aveiro,"6,6",6.6,2023
16J,Beiras e Serra da Estrela,"7,0",7,2023
16H,Beira Baixa,"7,4",7.4,2023
17,Área Metropolitana de Lisboa,"7,9",7.9,2023
170,Área Metropolitana de Lisboa,"7,9",7.9,2023
15,Algarve,"8,8",8.8,2023
150,Algarve,"8,8",8.8,2023
181,Alentejo Litoral,"9,9",9.9,2023
186,Alto Alentejo,"10,6",10.6,2023
2,Região Autónoma dos Açores,"10,9",10.9,2023
20,Região Autónoma dos Açores,"10,9",10.9,2023
200,Região Autónoma dos Açores,"10,9",10.9,2023
18,Alentejo,"11,3",11.3,2023
187,Alentejo Central,"13,7",13.7,2023
11E,Terras de Trás-os-Montes,"15,1",15.1,2023
184,Baixo Alentejo,"23,3",23.3,2023
