geocod,geodsg,dim_3,dim_3_t,ind_string,valor,periodo,sinal_conv,sinal_conv_desc
17,Área Metropolitana de Lisboa,41,Promoção imobiliária (desenvolvimento de projetos de edifícios); construção de edifícios,-60 475 251,-60475251,2022,,
170,Área Metropolitana de Lisboa,41,Promoção imobiliária (desenvolvimento de projetos de edifícios); construção de edifícios,-60 475 251,-60475251,2022,,
17,Área Metropolitana de Lisboa,411,Promoção imobiliária (desenvolvimento de projetos de edifícios),-44 307 301,-44307301,2022,,
17,Área Metropolitana de Lisboa,4110,Promoção imobiliária (desenvolvimento de projetos de edifícios),-44 307 301,-44307301,2022,,
17,Área Metropolitana de Lisboa,41100,Promoção imobiliária (desenvolvimento de projetos de edifícios),-44 307 301,-44307301,2022,,
170,Área Metropolitana de Lisboa,411,Promoção imobiliária (desenvolvimento de projetos de edifícios),-44 307 301,-44307301,2022,,
170,Área Metropolitana de Lisboa,4110,Promoção imobiliária (desenvolvimento de projetos de edifícios),-44 307 301,-44307301,2022,,
170,Área Metropolitana de Lisboa,41100,Promoção imobiliária (desenvolvimento de projetos de edifícios),-44 307 301,-44307301,2022,,
184,Baixo Alentejo,01,"Agricultura, produção animal, caça e atividades dos serviços relacionados",-26 243 888,-26243888,2022,,
184,Baixo Alentejo,A,"Agricultura, produção animal, caça, floresta e pesca",-26 221 862,-26221862,2022,,
18,Alentejo,012,Culturas permanentes,-22 288 885,-22288885,2022,,
18,Alentejo,01,"Agricultura, produção animal, caça e atividades dos serviços relacionados",-21 779 180,-21779180,2022,,
18,Alentejo,A,"Agricultura, produção animal, caça, floresta e pesca",-21 734 459,-21734459,2022,,
15,Algarve,36,"Captação, tratamento e distribuição de água",-20 495 618,-20495618,2022,,
15,Algarve,360,"Captação, tratamento e distribuição de água",-20 495 618,-20495618,2022,,
15,Algarve,3600,"Captação, tratamento e distribuição de água",-20 495 618,-20495618,2022,,
15,Algarve,36001,Captação e tratamento de água,-20 495 618,-20495618,2022,,
150,Algarve,36,"Captação, tratamento e distribuição de água",-20 495 618,-20495618,2022,,
150,Algarve,360,"Captação, tratamento e distribuição de água",-20 495 618,-20495618,2022,,
150,Algarve,3600,"Captação, tratamento e distribuição de água",-20 495 618,-20495618,2022,,
150,Algarve,36001,Captação e tratamento de água,-20 495 618,-20495618,2022,,
15,Algarve,E,"Captação, tratamento e distribuição de água; saneamento, gestão de resíduos e despoluição",-20 477 565,-20477565,2022,,
