geocod;geodsg;ind_string;valor;periodo
2004201;Lagoa;41,6;41.6;2023
3003108;Santa Cruz;42,2;42.2;2023
2004205;Ribeira Grande;42,3;42.3;2023
3003102;Câmara de Lobos;43,4;43.4;2023
3003201;Porto Santo;43,4;43.4;2023
2004206;Vila Franca do Campo;43,5;43.5;2023
11C1305;Lousada;43,6;43.6;2023
2004203;Ponta Delgada;43,7;43.7;2023
11C1309;Paços de Ferreira;44,1;44.1;2023
2004204;Povoação;45,0;45;2023
11A1310;Paredes;45,3;45.3;2023
2004901;Corvo;46,0;46;2023
2;Região Autónoma dos Açores;46,5;46.5;2023
20;Região Autónoma dos Açores;46,5;46.5;2023
200;Região Autónoma dos Açores;46,5;46.5;2023
11C1307;Marco de Canaveses;46,7;46.7;2023
2004802;Santa Cruz das Flores;47,1;47.1;2023
1190314;Vizela;47,2;47.2;2023
11C1303;Felgueiras;47,6;47.6;2023
11C1311;Penafiel;47,6;47.6;2023
2004801;Lajes das Flores;47,9;47.9;2023
2004101;Vila do Porto;48,1;48.1;2023
11C;Tâmega e Sousa;48,9;48.9;2023
1810211;Odemira;48,9;48.9;2023
3003104;Machico;49,1;49.1;2023
2004302;Vila da Praia da Vitória;49,3;49.3;2023
3;Região Autónoma da Madeira;49,5;49.5;2023
30;Região Autónoma da Madeira;49,5;49.5;2023
300;Região Autónoma da Madeira;49,5;49.5;2023
1120303;Braga;49,6;49.6;2023
3003105;Ponta do Sol;49,6;49.6;2023
11C0106;Castelo de Paiva;49,8;49.8;2023
2004301;Angra do Heroísmo;49,9;49.9;2023
3003107;Ribeira Brava;50,0;50;2023
1500801;Albufeira;50,2;50.2;2023
1120302;Barcelos;50,4;50.4;2023
1701502;Alcochete;50,4;50.4;2023
2004202;Nordeste;50,4;50.4;2023
11A1306;Maia;50,5;50.5;2023
11A1318;Trofa;50,6;50.6;2023
11A1315;Valongo;50,7;50.7;2023
2004502;Velas;50,7;50.7;2023
112;Cávado;51,0;51;2023
1701111;Sintra;51,0;51;2023
1190312;Vila Nova de Famalicão;51,3;51.3;2023
2004602;Madalena;51,4;51.4;2023
1701109;Mafra;51,5;51.5;2023
16B1102;Arruda dos Vinhos;51,6;51.6;2023
