geocod;geodsg;dim_3;dim_3_t;dim_4;dim_4_t;ind_string;valor;periodo
2004901;Corvo;1;H;91;80 - 84 anos;4;4;2023
2004901;Corvo;2;M;91;80 - 84 anos;4;4;2023
2004901;Corvo;2;M;92;85 e mais anos;4;4;2023
2004901;Corvo;1;H;12;5 - 9 anos;6;6;2023
2004901;Corvo;2;M;11;0 - 4 anos;6;6;2023
2004901;Corvo;1;H;81;70 - 74 anos;7;7;2023
2004901;Corvo;1;H;92;85 e mais anos;7;7;2023
2004901;Corvo;2;M;22;15 - 19 anos;7;7;2023
2004901;Corvo;1;H;11;0 - 4 anos;8;8;2023
2004901;Corvo;1;H;22;15 - 19 anos;8;8;2023
2004901;Corvo;1;H;82;75 - 79 anos;8;8;2023
2004901;Corvo;2;M;12;5 - 9 anos;8;8;2023
2004901;Corvo;2;M;32;25 - 29 anos;8;8;2023
2004901;Corvo;T;HM;91;80 - 84 anos;8;8;2023
3003106;Porto Moniz;1;H;92;85 e mais anos;8;8;2023
2004901;Corvo;2;M;81;70 - 74 anos;9;9;2023
2004802;Santa Cruz das Flores;1;H;92;85 e mais anos;10;10;2023
2004901;Corvo;2;M;71;60 - 64 anos;10;10;2023
2004901;Corvo;2;M;31;20 - 24 anos;11;11;2023
2004901;Corvo;T;HM;92;85 e mais anos;11;11;2023
2004901;Corvo;1;H;21;10 - 14 anos;12;12;2023
2004901;Corvo;1;H;32;25 - 29 anos;12;12;2023
2004901;Corvo;1;H;41;30 - 34 anos;12;12;2023
2004901;Corvo;1;H;42;35 - 39 anos;12;12;2023
2004901;Corvo;2;M;82;75 - 79 anos;12;12;2023
1500802;Alcoutim;2;M;11;0 - 4 anos;13;13;2023
2004901;Corvo;1;H;72;65 - 69 anos;13;13;2023
2004901;Corvo;2;M;72;65 - 69 anos;13;13;2023
2004901;Corvo;2;M;41;30 - 34 anos;14;14;2023
2004901;Corvo;2;M;51;40 - 44 anos;14;14;2023
2004901;Corvo;T;HM;11;0 - 4 anos;14;14;2023
2004901;Corvo;T;HM;12;5 - 9 anos;14;14;2023
1840204;Barrancos;1;H;91;80 - 84 anos;15;15;2023
2004901;Corvo;1;H;31;20 - 24 anos;15;15;2023
2004901;Corvo;1;H;62;55 - 59 anos;15;15;2023
2004901;Corvo;T;HM;22;15 - 19 anos;15;15;2023
2004901;Corvo;1;H;71;60 - 64 anos;16;16;2023
2004901;Corvo;2;M;21;10 - 14 anos;16;16;2023
2004901;Corvo;2;M;52;45 - 49 anos;16;16;2023
2004901;Corvo;T;HM;81;70 - 74 anos;16;16;2023
1840204;Barrancos;1;H;92;85 e mais anos;17;17;2023
1840204;Barrancos;2;M;11;0 - 4 anos;17;17;2023
2004801;Lajes das Flores;1;H;92;85 e mais anos;17;17;2023
2004901;Corvo;2;M;62;55 - 59 anos;17;17;2023
3003106;Porto Moniz;2;M;11;0 - 4 anos;17;17;2023
2004801;Lajes das Flores;1;H;82;75 - 79 anos;18;18;2023
2004801;Lajes das Flores;2;M;92;85 e mais anos;18;18;2023
2004801;Lajes das Flores;2;M;91;80 - 84 anos;19;19;2023
1840204;Barrancos;1;H;82;75 - 79 anos;20;20;2023
2004801;Lajes das Flores;1;H;12;5 - 9 anos;20;20;2023
2004801;Lajes das Flores;2;M;12;5 - 9 anos;20;20;2023
2004901;Corvo;1;H;52;45 - 49 anos;20;20;2023
2004901;Corvo;2;M;42;35 - 39 anos;20;20;2023
2004901;Corvo;T;HM;32;25 - 29 anos;20;20;2023
2004901;Corvo;T;HM;82;75 - 79 anos;20;20;2023
2004801;Lajes das Flores;2;M;11;0 - 4 anos;21;21;2023
16F1007;Castanheira de Pêra;1;H;11;0 - 4 anos;22;22;2023
2004603;São Roque do Pico;1;H;92;85 e mais anos;22;22;2023
2004901;Corvo;2;M;61;50 - 54 anos;22;22;2023
16F1007;Castanheira de Pêra;1;H;12;5 - 9 anos;23;23;2023
1500802;Alcoutim;1;H;12;5 - 9 anos;24;24;2023
1500802;Alcoutim;2;M;12;5 - 9 anos;24;24;2023
2004603;São Roque do Pico;1;H;91;80 - 84 anos;24;24;2023
2004901;Corvo;1;H;61;50 - 54 anos;24;24;2023
2004901;Corvo;1;H;51;40 - 44 anos;25;25;2023
16F1007;Castanheira de Pêra;2;M;11;0 - 4 anos;26;26;2023
2004802;Santa Cruz das Flores;1;H;91;80 - 84 anos;26;26;2023
2004901;Corvo;T;HM;31;20 - 24 anos;26;26;2023
2004901;Corvo;T;HM;41;30 - 34 anos;26;26;2023
2004901;Corvo;T;HM;71;60 - 64 anos;26;26;2023
2004901;Corvo;T;HM;72;65 - 69 anos;26;26;2023
1840204;Barrancos;2;M;21;10 - 14 anos;27;27;2023
2004801;Lajes das Flores;1;H;91;80 - 84 anos;27;27;2023
2004801;Lajes das Flores;2;M;21;10 - 14 anos;27;27;2023
3003201;Porto Santo;1;H;92;85 e mais anos;27;27;2023
16F1007;Castanheira de Pêra;2;M;12;5 - 9 anos;28;28;2023
1840203;Alvito;1;H;92;85 e mais anos;28;28;2023
2004801;Lajes das Flores;1;H;21;10 - 14 anos;28;28;2023
2004802;Santa Cruz das Flores;2;M;91;80 - 84 anos;28;28;2023
2004901;Corvo;T;HM;21;10 - 14 anos;28;28;2023
1500802;Alcoutim;1;H;11;0 - 4 anos;29;29;2023
1840204;Barrancos;1;H;41;30 - 34 anos;29;29;2023
11D1812;Penedono;2;M;11;0 - 4 anos;30;30;2023
1840204;Barrancos;2;M;12;5 - 9 anos;30;30;2023
1861209;Gavião;2;M;11;0 - 4 anos;30;30;2023
2004801;Lajes das Flores;2;M;22;15 - 19 anos;30;30;2023
1500802;Alcoutim;2;M;42;35 - 39 anos;31;31;2023
1840204;Barrancos;1;H;32;25 - 29 anos;31;31;2023
1840204;Barrancos;2;M;42;35 - 39 anos;31;31;2023
1500802;Alcoutim;1;H;21;10 - 14 anos;32;32;2023
1500802;Alcoutim;2;M;22;15 - 19 anos;32;32;2023
16J0908;Manteigas;1;H;12;5 - 9 anos;32;32;2023
1840204;Barrancos;2;M;81;70 - 74 anos;32;32;2023
2004101;Vila do Porto;1;H;92;85 e mais anos;32;32;2023
2004801;Lajes das Flores;1;H;81;70 - 74 anos;32;32;2023
2004801;Lajes das Flores;2;M;82;75 - 79 anos;32;32;2023
2004901;Corvo;T;HM;42;35 - 39 anos;32;32;2023
2004901;Corvo;T;HM;62;55 - 59 anos;32;32;2023
3003106;Porto Moniz;2;M;12;5 - 9 anos;32;32;2023
16E0612;Pampilhosa da Serra;2;M;11;0 - 4 anos;33;33;2023
16J0908;Manteigas;2;M;12;5 - 9 anos;33;33;2023
1840204;Barrancos;1;H;12;5 - 9 anos;33;33;2023
1840204;Barrancos;2;M;31;20 - 24 anos;33;33;2023
1861202;Arronches;2;M;22;15 - 19 anos;33;33;2023
1861210;Marvão;1;H;11;0 - 4 anos;33;33;2023
11D1812;Penedono;2;M;21;10 - 14 anos;34;34;2023
1500802;Alcoutim;2;M;21;10 - 14 anos;34;34;2023
1840203;Alvito;1;H;91;80 - 84 anos;34;34;2023
1840204;Barrancos;2;M;41;30 - 34 anos;34;34;2023
11D1812;Penedono;1;H;11;0 - 4 anos;35;35;2023
11D1812;Penedono;2;M;12;5 - 9 anos;35;35;2023
1500802;Alcoutim;1;H;42;35 - 39 anos;35;35;2023
1840204;Barrancos;1;H;42;35 - 39 anos;35;35;2023
1840204;Barrancos;1;H;51;40 - 44 anos;35;35;2023
2004801;Lajes das Flores;1;H;32;25 - 29 anos;35;35;2023
2004801;Lajes das Flores;T;HM;92;85 e mais anos;35;35;2023
2004802;Santa Cruz das Flores;1;H;11;0 - 4 anos;35;35;2023
2004802;Santa Cruz das Flores;2;M;92;85 e mais anos;35;35;2023
16J0908;Manteigas;1;H;21;10 - 14 anos;36;36;2023
1840204;Barrancos;1;H;11;0 - 4 anos;36;36;2023
1840204;Barrancos;2;M;22;15 - 19 anos;36;36;2023
1840204;Barrancos;2;M;32;25 - 29 anos;36;36;2023
2004801;Lajes das Flores;2;M;32;25 - 29 anos;36;36;2023
2004901;Corvo;T;HM;52;45 - 49 anos;36;36;2023
1840204;Barrancos;2;M;72;65 - 69 anos;37;37;2023
1861208;Fronteira;2;M;11;0 - 4 anos;37;37;2023
2004801;Lajes das Flores;1;H;11;0 - 4 anos;37;37;2023
3003110;São Vicente;1;H;92;85 e mais anos;37;37;2023
1500802;Alcoutim;1;H;22;15 - 19 anos;38;38;2023
