geocod;geodsg;ind_string;valor;periodo
11B;Alto Tâmega;1,02;1.02;2023
11D;Douro;1,21;1.21;2023
3;Região Autónoma da Madeira;1,22;1.22;2023
30;Região Autónoma da Madeira;1,22;1.22;2023
300;Região Autónoma da Madeira;1,22;1.22;2023
11C;Tâmega e Sousa;1,25;1.25;2023
11;Norte;1,26;1.26;2023
11A;Área Metropolitana do Porto;1,26;1.26;2023
11E;Terras de Trás-os-Montes;1,27;1.27;2023
16G;Viseu Dão Lafões;1,28;1.28;2023
112;Cávado;1,30;1.3;2023
119;Ave;1,30;1.3;2023
111;Alto Minho;1,31;1.31;2023
16E;Região de Coimbra;1,33;1.33;2023
2;Região Autónoma dos Açores;1,33;1.33;2023
20;Região Autónoma dos Açores;1,33;1.33;2023
200;Região Autónoma dos Açores;1,33;1.33;2023
16D;Região de Aveiro;1,35;1.35;2023
16I;Médio Tejo;1,35;1.35;2023
186;Alto Alentejo;1,36;1.36;2023
16J;Beiras e Serra da Estrela;1,37;1.37;2023
16;Centro;1,38;1.38;2023
16H;Beira Baixa;1,42;1.42;2023
16B;Oeste;1,44;1.44;2023
PT;Portugal;1,44;1.44;2023
1;Continente;1,45;1.45;2023
16F;Região de Leiria;1,49;1.49;2023
187;Alentejo Central;1,53;1.53;2023
185;Lezíria do Tejo;1,55;1.55;2023
18;Alentejo;1,56;1.56;2023
17;Área Metropolitana de Lisboa;1,67;1.67;2023
170;Área Metropolitana de Lisboa;1,67;1.67;2023
181;Alentejo Litoral;1,68;1.68;2023
15;Algarve;1,71;1.71;2023
150;Algarve;1,71;1.71;2023
184;Baixo Alentejo;1,73;1.73;2023
