geocod;geodsg;dim_3;dim_3_t;dim_4;dim_4_t;sinal_conv;sinal_conv_desc;ind_string;valor;periodo
1;Continente;1;H;1;Nenhum;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;10,7 §;10.7;4.º Trimestre de 2024
11;Norte;1;H;1;Nenhum;x;Dado não disponível;x;;4.º Trimestre de 2024
15;Algarve;1;H;1;Nenhum;x;Dado não disponível;x;;4.º Trimestre de 2024
16;Centro;1;H;1;Nenhum;x;Dado não disponível;x;;4.º Trimestre de 2024
17;Área Metropolitana de Lisboa;1;H;1;Nenhum;x;Dado não disponível;x;;4.º Trimestre de 2024
18;Alentejo;1;H;1;Nenhum;x;Dado não disponível;x;;4.º Trimestre de 2024
2;Região Autónoma dos Açores;1;H;1;Nenhum;x;Dado não disponível;x;;4.º Trimestre de 2024
20;Região Autónoma dos Açores;1;H;1;Nenhum;x;Dado não disponível;x;;4.º Trimestre de 2024
3;Região Autónoma da Madeira;1;H;1;Nenhum;x;Dado não disponível;x;;4.º Trimestre de 2024
30;Região Autónoma da Madeira;1;H;1;Nenhum;x;Dado não disponível;x;;4.º Trimestre de 2024
PT;Portugal;1;H;1;Nenhum;;;13,5;13.5;4.º Trimestre de 2024
1;Continente;2;M;1;Nenhum;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;10,6 §;10.6;4.º Trimestre de 2024
11;Norte;2;M;1;Nenhum;x;Dado não disponível;x;;4.º Trimestre de 2024
15;Algarve;2;M;1;Nenhum;x;Dado não disponível;x;;4.º Trimestre de 2024
16;Centro;2;M;1;Nenhum;x;Dado não disponível;x;;4.º Trimestre de 2024
17;Área Metropolitana de Lisboa;2;M;1;Nenhum;x;Dado não disponível;x;;4.º Trimestre de 2024
18;Alentejo;2;M;1;Nenhum;x;Dado não disponível;x;;4.º Trimestre de 2024
2;Região Autónoma dos Açores;2;M;1;Nenhum;x;Dado não disponível;x;;4.º Trimestre de 2024
20;Região Autónoma dos Açores;2;M;1;Nenhum;x;Dado não disponível;x;;4.º Trimestre de 2024
3;Região Autónoma da Madeira;2;M;1;Nenhum;x;Dado não disponível;x;;4.º Trimestre de 2024
30;Região Autónoma da Madeira;2;M;1;Nenhum;x;Dado não disponível;x;;4.º Trimestre de 2024
PT;Portugal;2;M;1;Nenhum;;;11,3;11.3;4.º Trimestre de 2024
1;Continente;T;HM;1;Nenhum;;;21,3;21.3;4.º Trimestre de 2024
11;Norte;T;HM;1;Nenhum;x;Dado não disponível;x;;4.º Trimestre de 2024
15;Algarve;T;HM;1;Nenhum;x;Dado não disponível;x;;4.º Trimestre de 2024
16;Centro;T;HM;1;Nenhum;x;Dado não disponível;x;;4.º Trimestre de 2024
17;Área Metropolitana de Lisboa;T;HM;1;Nenhum;x;Dado não disponível;x;;4.º Trimestre de 2024
18;Alentejo;T;HM;1;Nenhum;x;Dado não disponível;x;;4.º Trimestre de 2024
2;Região Autónoma dos Açores;T;HM;1;Nenhum;x;Dado não disponível;x;;4.º Trimestre de 2024
20;Região Autónoma dos Açores;T;HM;1;Nenhum;x;Dado não disponível;x;;4.º Trimestre de 2024
3;Região Autónoma da Madeira;T;HM;1;Nenhum;x;Dado não disponível;x;;4.º Trimestre de 2024
30;Região Autónoma da Madeira;T;HM;1;Nenhum;x;Dado não disponível;x;;4.º Trimestre de 2024
