geocod;geodsg;dim_3;dim_3_t;valor;periodo;indicador_cod;indicador_dsg
PT;Portugal;1;H;15.95;1984;0001228;"Esperança de vida aos 65 anos (Anos) por Sexo; Anual - INE, Indicadores demográficos"
PT;Portugal;2;M;19.3;1984;0001228;"Esperança de vida aos 65 anos (Anos) por Sexo; Anual - INE, Indicadores demográficos"
PT;Portugal;T;HM;17.76;1984;0001228;"Esperança de vida aos 65 anos (Anos) por Sexo; Anual - INE, Indicadores demográficos"
PT;Portugal;1;H;15.95;1985;0001228;"Esperança de vida aos 65 anos (Anos) por Sexo; Anual - INE, Indicadores demográficos"
PT;Portugal;2;M;19.3;1985;0001228;"Esperança de vida aos 65 anos (Anos) por Sexo; Anual - INE, Indicadores demográficos"
PT;Portugal;T;HM;17.76;1985;0001228;"Esperança de vida aos 65 anos (Anos) por Sexo; Anual - INE, Indicadores demográficos"
PT;Portugal;1;H;15.95;1983;0001228;"Esperança de vida aos 65 anos (Anos) por Sexo; Anual - INE, Indicadores demográficos"
PT;Portugal;2;M;19.3;1983;0001228;"Esperança de vida aos 65 anos (Anos) por Sexo; Anual - INE, Indicadores demográficos"
PT;Portugal;T;HM;17.76;1983;0001228;"Esperança de vida aos 65 anos (Anos) por Sexo; Anual - INE, Indicadores demográficos"
PT;Portugal;1;H;15.95;1981;0001228;"Esperança de vida aos 65 anos (Anos) por Sexo; Anual - INE, Indicadores demográficos"
PT;Portugal;2;M;19.3;1981;0001228;"Esperança de vida aos 65 anos (Anos) por Sexo; Anual - INE, Indicadores demográficos"
PT;Portugal;T;HM;17.76;1981;0001228;"Esperança de vida aos 65 anos (Anos) por Sexo; Anual - INE, Indicadores demográficos"
PT;Portugal;1;H;15.95;1982;0001228;"Esperança de vida aos 65 anos (Anos) por Sexo; Anual - INE, Indicadores demográficos"
PT;Portugal;2;M;19.3;1982;0001228;"Esperança de vida aos 65 anos (Anos) por Sexo; Anual - INE, Indicadores demográficos"
PT;Portugal;T;HM;17.76;1982;0001228;"Esperança de vida aos 65 anos (Anos) por Sexo; Anual - INE, Indicadores demográficos"
PT;Portugal;1;H;15.95;1970;0001228;"Esperança de vida aos 65 anos (Anos) por Sexo; Anual - INE, Indicadores demográficos"
PT;Portugal;2;M;19.3;1970;0001228;"Esperança de vida aos 65 anos (Anos) por Sexo; Anual - INE, Indicadores demográficos"
PT;Portugal;T;HM;17.76;1970;0001228;"Esperança de vida aos 65 anos (Anos) por Sexo; Anual - INE, Indicadores demográficos"
PT;Portugal;1;H;15.95;1971;0001228;"Esperança de vida aos 65 anos (Anos) por Sexo; Anual - INE, Indicadores demográficos"
PT;Portugal;2;M;19.3;1971;0001228;"Esperança de vida aos 65 anos (Anos) por Sexo; Anual - INE, Indicadores demográficos"
PT;Portugal;T;HM;17.76;1971;0001228;"Esperança de vida aos 65 anos (Anos) por Sexo; Anual - INE, Indicadores demográficos"
PT;Portugal;1;H;15.95;1972;0001228;"Esperança de vida aos 65 anos (Anos) por Sexo; Anual - INE, Indicadores demográficos"
PT;Portugal;2;M;19.3;1972;0001228;"Esperança de vida aos 65 anos (Anos) por Sexo; Anual - INE, Indicadores demográficos"
