geocod;geodsg;valor;periodo;indicador_cod;indicador_dsg
2004201;Lagoa;41.6;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
3003108;Santa Cruz;42.2;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
2004205;Ribeira Grande;42.3;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
3003102;Câmara de Lobos;43.4;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
3003201;Porto Santo;43.4;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
2004206;Vila Franca do Campo;43.5;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
11C1305;Lousada;43.6;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
2004203;Ponta Delgada;43.7;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
11C1309;Paços de Ferreira;44.1;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
2004204;Povoação;45;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
11A1310;Paredes;45.3;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
2004901;Corvo;46;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
2;Região Autónoma dos Açores;46.5;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
20;Região Autónoma dos Açores;46.5;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
200;Região Autónoma dos Açores;46.5;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
11C1307;Marco de Canaveses;46.7;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
