geocod;geodsg;valor;periodo;indicador_cod;indicador_dsg
11B;Alto Tâmega;1.02;2013;0008274;"Índice sintético de fecundidade (N.º) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
11D;Douro;1.21;2013;0008274;"Índice sintético de fecundidade (N.º) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
3;Região Autónoma da Madeira;1.22;2013;0008274;"Índice sintético de fecundidade (N.º) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
30;Região Autónoma da Madeira;1.22;2013;0008274;"Índice sintético de fecundidade (N.º) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
300;Região Autónoma da Madeira;1.22;2013;0008274;"Índice sintético de fecundidade (N.º) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
11C;Tâmega e Sousa;1.25;2013;0008274;"Índice sintético de fecundidade (N.º) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
11;Norte;1.26;2013;0008274;"Índice sintético de fecundidade (N.º) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
11A;Área Metropolitana do Porto;1.26;2013;0008274;"Índice sintético de fecundidade (N.º) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
11E;Terras de Trás-os-Montes;1.27;2013;0008274;"Índice sintético de fecundidade (N.º) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
16G;Viseu Dão Lafões;1.28;2013;0008274;"Índice sintético de fecundidade (N.º) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
112;Cávado;1.3;2013;0008274;"Índice sintético de fecundidade (N.º) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
119;Ave;1.3;2013;0008274;"Índice sintético de fecundidade (N.º) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
111;Alto Minho;1.31;2013;0008274;"Índice sintético de fecundidade (N.º) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
16E;Região de Coimbra;1.33;2013;0008274;"Índice sintético de fecundidade (N.º) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
2;Região Autónoma dos Açores;1.33;2013;0008274;"Índice sintético de fecundidade (N.º) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
20;Região Autónoma dos Açores;1.33;2013;0008274;"Índice sintético de fecundidade (N.º) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
200;Região Autónoma dos Açores;1.33;2013;0008274;"Índice sintético de fecundidade (N.º) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
16D;Região de Aveiro;1.35;2013;0008274;"Índice sintético de fecundidade (N.º) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
16I;Médio Tejo;1.35;2013;0008274;"Índice sintético de fecundidade (N.º) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
186;Alto Alentejo;1.36;2013;0008274;"Índice sintético de fecundidade (N.º) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
16J;Beiras e Serra da Estrela;1.37;2013;0008274;"Índice sintético de fecundidade (N.º) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
16;Centro;1.38;2013;0008274;"Índice sintético de fecundidade (N.º) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
16H;Beira Baixa;1.42;2013;0008274;"Índice sintético de fecundidade (N.º) por Local de residência (NUTS - 2013); Anual - INE, Indicadores demográficos"
