geocod;geodsg;dim_3;dim_3_t;dim_4;dim_4_t;sinal_conv;sinal_conv_desc;valor;periodo;indicador_cod;indicador_dsg
1;Continente;1;H;1;Nenhum;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;11.1;1.º Trimestre de 2011;0010683;"População empregada por conta de outrem (Série 2021 - N.º) por Local de residência (NUTS - 2013), Sexo e Nível de escolaridade mais elevado completo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
11;Norte;1;H;1;Nenhum;x;Dado não disponível;;1.º Trimestre de 2011;0010683;"População empregada por conta de outrem (Série 2021 - N.º) por Local de residência (NUTS - 2013), Sexo e Nível de escolaridade mais elevado completo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
15;Algarve;1;H;1;Nenhum;x;Dado não disponível;;1.º Trimestre de 2011;0010683;"População empregada por conta de outrem (Série 2021 - N.º) por Local de residência (NUTS - 2013), Sexo e Nível de escolaridade mais elevado completo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
16;Centro;1;H;1;Nenhum;x;Dado não disponível;;1.º Trimestre de 2011;0010683;"População empregada por conta de outrem (Série 2021 - N.º) por Local de residência (NUTS - 2013), Sexo e Nível de escolaridade mais elevado completo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
17;Área Metropolitana de Lisboa;1;H;1;Nenhum;x;Dado não disponível;;1.º Trimestre de 2011;0010683;"População empregada por conta de outrem (Série 2021 - N.º) por Local de residência (NUTS - 2013), Sexo e Nível de escolaridade mais elevado completo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
18;Alentejo;1;H;1;Nenhum;x;Dado não disponível;;1.º Trimestre de 2011;0010683;"População empregada por conta de outrem (Série 2021 - N.º) por Local de residência (NUTS - 2013), Sexo e Nível de escolaridade mais elevado completo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
2;Região Autónoma dos Açores;1;H;1;Nenhum;x;Dado não disponível;;1.º Trimestre de 2011;0010683;"População empregada por conta de outrem (Série 2021 - N.º) por Local de residência (NUTS - 2013), Sexo e Nível de escolaridade mais elevado completo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
20;Região Autónoma dos Açores;1;H;1;Nenhum;x;Dado não disponível;;1.º Trimestre de 2011;0010683;"População empregada por conta de outrem (Série 2021 - N.º) por Local de residência (NUTS - 2013), Sexo e Nível de escolaridade mais elevado completo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
3;Região Autónoma da Madeira;1;H;1;Nenhum;x;Dado não disponível;;1.º Trimestre de 2011;0010683;"População empregada por conta de outrem (Série 2021 - N.º) por Local de residência (NUTS - 2013), Sexo e Nível de escolaridade mais elevado completo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
30;Região Autónoma da Madeira;1;H;1;Nenhum;x;Dado não disponível;;1.º Trimestre de 2011;0010683;"População empregada por conta de outrem (Série 2021 - N.º) por Local de residência (NUTS - 2013), Sexo e Nível de escolaridade mais elevado completo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
PT;Portugal;1;H;1;Nenhum;;;12.8;1.º Trimestre de 2011;0010683;"População empregada por conta de outrem (Série 2021 - N.º) por Local de residência (NUTS - 2013), Sexo e Nível de escolaridade mais elevado completo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
1;Continente;2;M;1;Nenhum;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;10.9;1.º Trimestre de 2011;0010683;"População empregada por conta de outrem (Série 2021 - N.º) por Local de residência (NUTS - 2013), Sexo e Nível de escolaridade mais elevado completo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
11;Norte;2;M;1;Nenhum;x;Dado não disponível;;1.º Trimestre de 2011;0010683;"População empregada por conta de outrem (Série 2021 - N.º) por Local de residência (NUTS - 2013), Sexo e Nível de escolaridade mais elevado completo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
15;Algarve;2;M;1;Nenhum;x;Dado não disponível;;1.º Trimestre de 2011;0010683;"População empregada por conta de outrem (Série 2021 - N.º) por Local de residência (NUTS - 2013), Sexo e Nível de escolaridade mais elevado completo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
16;Centro;2;M;1;Nenhum;x;Dado não disponível;;1.º Trimestre de 2011;0010683;"População empregada por conta de outrem (Série 2021 - N.º) por Local de residência (NUTS - 2013), Sexo e Nível de escolaridade mais elevado completo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
17;Área Metropolitana de Lisboa;2;M;1;Nenhum;x;Dado não disponível;;1.º Trimestre de 2011;0010683;"População empregada por conta de outrem (Série 2021 - N.º) por Local de residência (NUTS - 2013), Sexo e Nível de escolaridade mais elevado completo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
18;Alentejo;2;M;1;Nenhum;x;Dado não disponível;;1.º Trimestre de 2011;0010683;"População empregada por conta de outrem (Série 2021 - N.º) por Local de residência (NUTS - 2013), Sexo e Nível de escolaridade mais elevado completo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
2;Região Autónoma dos Açores;2;M;1;Nenhum;x;Dado não disponível;;1.º Trimestre de 2011;0010683;"População empregada por conta de outrem (Série 2021 - N.º) por Local de residência (NUTS - 2013), Sexo e Nível de escolaridade mais elevado completo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
20;Região Autónoma dos Açores;2;M;1;Nenhum;x;Dado não disponível;;1.º Trimestre de 2011;0010683;"População empregada por conta de outrem (Série 2021 - N.º) por Local de residência (NUTS - 2013), Sexo e Nível de escolaridade mais elevado completo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
3;Região Autónoma da Madeira;2;M;1;Nenhum;x;Dado não disponível;;1.º Trimestre de 2011;0010683;"População empregada por conta de outrem (Série 2021 - N.º) por Local de residência (NUTS - 2013), Sexo e Nível de escolaridade mais elevado completo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
30;Região Autónoma da Madeira;2;M;1;Nenhum;x;Dado não disponível;;1.º Trimestre de 2011;0010683;"População empregada por conta de outrem (Série 2021 - N.º) por Local de residência (NUTS - 2013), Sexo e Nível de escolaridade mais elevado completo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
PT;Portugal;2;M;1;Nenhum;;;11.4;1.º Trimestre de 2011;0010683;"População empregada por conta de outrem (Série 2021 - N.º) por Local de residência (NUTS - 2013), Sexo e Nível de escolaridade mais elevado completo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
1;Continente;T;HM;1;Nenhum;;;22;1.º Trimestre de 2011;0010683;"População empregada por conta de outrem (Série 2021 - N.º) por Local de residência (NUTS - 2013), Sexo e Nível de escolaridade mais elevado completo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
