year;deficit_surplus_pct_gdp;government_debt_pct_gdp;public_health_exp_pct_gdp;total_health_exp_pct_gdp;hospital_care_exp_pct_gdp;gdp_million_eur;gdp_per_capita_eur;private_health_exp_pct_gdp;gdp_growth_rate_pct
1975;;;;;;;;;
1976;;;;;;;;;
1977;;;;;;;;;
1978;;;;;;100.000;;;
1979;;;;;;;;;0.000
1980;;;;;;;113.100;;0.000
1981;;;;;;1.400;43.200;;-98.600
1982;;;;;;0.800;87.400;;-42.857
1983;;;;;;80.100;27280.000;;9912.500
1984;;;;;;81.100;8490.000;;1.248
1985;;;;;;;;;0.000
1986;;;;;;;370.000;;0.000
1987;;;;;;153924.000;313170.000;;189695.314
1988;;;;;;;2400.000;;0.000
1989;;;;;;;1520.000;;0.000
1990;;;;;;;7730.000;;0.000
1991;;;;;;;24040.000;;0.000
1992;;;1271.950;723.150;;;;-548.800;0.000
1993;;;;;;;1776.400;;0.000
1994;;;;;276.030;7032.700;18741.700;;-95.431
1995;;4478101.000;0.000;0.000;;;;0.000;0.000
1996;92182.100;4494.200;;;;;;;0.000
1997;0.000;8211.500;;;8.400;34589.700;;;391.841
1998;;;22.660;17.690;;1311.900;;-4.970;-96.207
1999;;;;;23.830;;;;0.000
2000;;;24050.000;;2878.130;;;;0.000
2001;;;0.000;0.000;;;;0.000;0.000
2002;;;13.930;;;;;;0.000
2003;;;;;0.000;-5.100;;;-100.389
2004;;;;;;;;;0.000
2005;;4478101.000;;;;;77.363;;0.000
2006;92182.100;4494.200;;;;11258.600;56.212;;-220856.863
2007;0.000;3377787.000;;;;194.200;107.872;;-98.275
2008;;;27831.530;20466.440;;-2.450;38230.000;-7365.090;-101.262
2009;;;;;4.240;100.000;12020.000;;-4181.633
2010;;;7963.730;5555.670;1207.260;;;-2408.060;0.000
2011;;;;;;;450.000;;0.000
2012;;;;;3545.840;76.225;45680.000;;-23.775
2013;;;1665.090;;;;2370.000;;0.000
2014;;;;;18.220;;1530.000;;0.000
2015;;103.400;;;118.930;;7730.000;;0.000
2016;3.900;5.200;;;;;32150.000;;0.000
2017;0.000;4.100;4.550;;0.710;;;;0.000
2018;;;;;0.340;;610.000;;0.000
2019;;;1.300;1.330;;117.164;13320.000;0.030;53.708
2020;;;;;;;;;0.000
2021;;;;;;;;;0.000
2022;;;0.000;0.000;;0.500;;0.000;-99.573
2023;;;0.000;;;4.700;;;840.000
2024;;;;;;;;;0.000
