tempo;regiao;entidade;localizacao_geografica;ebitda;gastos_operacionais;rendimentos_operacionais;resultado_liquido;resultados_operacionais
2014-01;Região de Saúde Norte;Centro Hospitalar de Entre o Douro e Vouga, EPE;40.9293884, -8.5458794;-163769.13999999998;6666151.97;6193218.26;-414185.88999999996;-472933.71
2014-01;Região de Saúde Norte;Centro Hospitalar do Alto Ave, EPE;41.4387173, -8.3086907;-650477.09;7167232.2700000005;6345342.53;-765976.6;-821889.74
2014-01;Região de Saúde do Centro;Hospital Arcebispo João Crisóstomo - Cantanhede;40.3470015, -8.5933462;-64230.909999999996;259386.03999999998;195155.13;-77687.48999999999;-64230.909999999996
2014-01;Região de Saúde do Centro;Hospital Rovisco Pais;40.297919, -8.7707806;107558.13;474574.85000000003;497491.89;21954.43;22917.04
2014-01;Região de Saúde LVT;Instituto de Oftalmologia Dr. Gama Pinto;38.7218793, -9.144249;98055.17;318235.97000000003;416291.13999999996;98055.17;98055.17
2014-01;Região de Saúde do Centro;Instituto Português de Oncologia de Coimbra, EPE;40.2162514, -8.4103814;809451.47;3317797.3200000003;3868936.38;616633.81;551139.0599999999
2014-01;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;10036.31;5116441.2700000005;5014722.0200000005;-26375.75;-101719.25
2014-01;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;293627.99;5704251.62;5843985.28;533144.47;139733.65999999997
2014-01;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314, -8.6956768;958739.7999999999;3272350.71;4205113.46;937405.23;932762.75
2014-02;Região de Saúde LVT;Centro Hospitalar do Barreiro - Montijo, EPE;38.6554005, -9.0592392;-1724411.1800000002;12026994.34;9556314.53;-2469766.04;-2470679.81
2014-02;Região de Saúde LVT;Centro Hospitalar do Oeste, SPA;39.4054629, -9.1258493;2511501.13;9323865.52;11835366.65;2652731.73;2511501.13
2014-02;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364, -8.0827433;-285253.58999999997;18417701.28;17669848.689999998;-660456.0;-747852.59
2014-02;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498, -8.6172617;-3229834.4000000004;43886701.32;39776010.739999995;-4067110.67;-4110690.5800000005
2014-02;Região de Saúde Norte;Centro Hospitalar Vila Nova Gaia/Espinho, EPE;41.1094138, -8.5972617;322065.45;27470108.27;26606142.54;-759212.38;-863965.73
2014-02;Região de Saúde do Centro;Hospital Arcebispo João Crisóstomo - Cantanhede;40.3470015, -8.5933462;-76746.98;605035.6000000001;528288.62;-114989.56;-76746.98
2014-02;Região de Saúde Norte;Hospital de Magalhães Lemos, EPE;41.1764649, -8.6649823;209901.57;2890194.81;3048118.29;163468.14;157923.48
2014-02;Região de Saúde do Centro;Hospital Distrital Figueira da Foz, EPE;40.117897, -8.8586755;-151413.66999999998;4155380.3699999996;3884462.4;-166857.73;-270917.97000000003
2014-02;Região de Saúde LVT;Hospital Distrital Santarém, EPE;39.2410946, -8.6937515;-129097.37000000001;12170987.2;11698945.120000001;400794.78;-472042.08
2014-02;Região de Saúde do Centro;Hospital Rovisco Pais;40.297919, -8.7707806;169579.13;1034261.3200000001;1045492.6900000001;10993.39;11231.37
2014-02;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;-743538.95;14696705.309999999;13792250.03;-900737.7000000001;-904455.28
2014-03;Região de Saúde Norte;Centro Hospitalar de Entre o Douro e Vouga, EPE;40.9293884, -8.5458794;-530588.15;19809035.91;18351000.77;-1280227.1900000002;-1458035.14
2014-03;Região de Saúde LVT;Centro Hospitalar do Barreiro - Montijo, EPE;38.6554005, -9.0592392;-3205084.7800000003;18724762.16;14402347.51;-3276732.39;-4322414.649999999
2014-03;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523, -8.4098211;-6227558.42;96299529.1;87919117.34;-6707129.2700000005;-8380411.760000001
2014-03;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Central, EPE;38.7166948, -9.1371248;-9669804.13;104383644.04;91859759.25;-7544328.41;-12523884.790000001
2014-03;Região de Saúde do Centro;Hospital Arcebispo João Crisóstomo - Cantanhede;40.3470015, -8.5933462;-104327.03;970309.06;865982.03;-144207.92;-104327.03
2014-03;Região de Saúde LVT;Hospital Garcia de Orta, EPE - Almada;38.6658713, -9.1822554;87874.44;33170909.269999996;32181864.24;-1605889.29;-989045.03
2014-03;Região de Saúde do Centro;Instituto Português de Oncologia de Coimbra, EPE;40.2162514, -8.4103814;-62803.26;11527592.32;10690333.67;-431982.62;-837258.65
2014-03;Região de Saúde LVT;Instituto Português de Oncologia de Lisboa, EPE;38.7396768, -9.1634516;-3205353.3200000003;28190513.95;23574127.71;-4062483.79;-4616386.24
2014-03;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;151730.29;15443096.48;15263451.2;-75316.29;-179645.28000000003
2014-03;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;-589454.0399999999;18708384.82;17662711.64;-632425.41;-1045673.18
2014-03;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;-3796092.18;23823726.86;19157982.89;-4749236.14;-4665743.970000001
2014-04;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;2827167.1500000004;27024736.86;28807078.46;1847293.31;1782341.5999999999
2014-04;Região de Saúde LVT;Centro Hospitalar de Lisboa - Zona Ocidental, EPE;38.708454, -9.216985;-7821664.6899999995;72271687.05;62114560.18;-10137533.36;-10157126.87
2014-04;Região de Saúde LVT;Centro Hospitalar do Barreiro - Montijo, EPE;38.6554005, -9.0592392;-4853649.7;24805531.88;18466760.65;-5292544.96;-6338771.23
2014-04;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364, -8.0827433;154116.80000000002;36156423.1;35385343.9;-574631.29;-771079.2000000001
2014-04;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784, -7.7515252;-3270043.53;39403609.29;33653798.580000006;-4764446.29;-5749810.71
2014-04;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve, E.P.E;37.0238973, -7.9281554;2396864.82;56354750.769999996;56817097.61;5934136.81;462346.83999999997
2014-04;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Norte, EPE;38.7500861, -9.1616116;-15279171.92;133118372.42;113929189.18;-20314608.84;-19189183.24
2014-04;Região de Saúde LVT;Hospital Distrital Santarém, EPE;39.2410946, -8.6937515;-1880184.49;24154861.07;21588787.169999998;-1680133.39;-2566073.9
2014-04;Região de Saúde LVT;Hospital Garcia de Orta, EPE - Almada;38.6658713, -9.1822554;-4611222.59;44594315.42;38543986.879999995;-7058449.55;-6050328.54
2014-04;Região de Saúde LVT;Instituto de Oftalmologia Dr. Gama Pinto;38.7218793, -9.144249;-150416.9;1834785.8699999999;1607321.68;-233767.93;-227464.19
2014-04;Região de Saúde LVT;Instituto Português de Oncologia de Lisboa, EPE;38.7396768, -9.1634516;-4123821.24;37725872.5;31600399.41;-5568928.78;-6125473.090000001
2014-04;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;-3948603.31;29740118.81;25470507.87;-4261626.29;-4269610.9399999995
2014-04;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054, -8.8252713;488553.62;43805496.74;42649953.6;-965574.01;-1155543.14
