tempo;regiao;entidade;localizacao_geografica;tipologia_de_ausencia;valor
2017-04;Região de Saúde LVT;Hospital Distrital de Santarém, E.P.E.;39.2410946, -8.6937515;Greve;131
2017-04;Região de Saúde LVT;Hospital Garcia de Orta, E.P.E.;38.6658713, -9.1822554;Por conta do período de férias;29
2017-04;Região de Saúde LVT;Hospital Garcia de Orta, E.P.E.;38.6658713, -9.1822554;Com perda do vencimento;21
2017-04;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, E.P.E.;38.7422257, -9.2264834;Doença;10621
2017-04;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, E.P.E.;38.7422257, -9.2264834;Trabalhador-estudante;189
2017-04;Região de Saúde LVT;Instituto Português Oncologia de Lisboa, E.P.E.;38.7396768, -9.1634516;Doença;6176
2017-04;Região de Saúde LVT;Instituto Português Oncologia de Lisboa, E.P.E.;38.7396768, -9.1634516;Greve;179
2017-04;Região de Saúde LVT;Instituto Português Oncologia de Lisboa, E.P.E.;38.7396768, -9.1634516;Outras;724
2017-04;Região de Saúde LVT;Instituto de Oftalmologia Dr. Gama Pinto;38.7218793, -9.144249;Por acidente em serviço ou doença profissional;0
2017-04;Região de Saúde LVT;Instituto de Oftalmologia Dr. Gama Pinto;38.7218793, -9.144249;Greve;13
2017-04;Região de Saúde LVT;Instituto Nacional de Emergência Médica;38.7313954, -9.1447467;Doença;2915
2017-04;Região de Saúde LVT;Instituto Nacional de Emergência Médica;38.7313954, -9.1447467;Assistência a familiares;62
2017-04;Região de Saúde LVT;Instituto Nacional de Emergência Médica;38.7313954, -9.1447467;Com perda do vencimento;0
2017-04;Região de Saúde LVT;Instituto Nacional de Emergência Médica;38.7313954, -9.1447467;Greve;8
2017-04;Região de Saúde LVT;Instituto Nacional de Emergência Médica;38.7313954, -9.1447467;Injustificadas;-5
2017-04;Região de Saúde LVT;Instituto Nacional de Saúde Dr. Ricardo Jorge, I.P.;38.7643827, -9.1663422;Assistência a familiares;52
2017-04;Região de Saúde LVT;Instituto Nacional de Saúde Dr. Ricardo Jorge, I.P.;38.7643827, -9.1663422;Trabalhador-estudante;32
2017-04;Região de Saúde LVT;Instituto Nacional de Saúde Dr. Ricardo Jorge, I.P.;38.7643827, -9.1663422;Com perda do vencimento;0
2017-04;Região de Saúde LVT;Instituto Português do Sangue e da Transplantação, I.P.;38.7567758, -9.1505021;Doença;1856
2017-04;Região de Saúde LVT;Instituto Português do Sangue e da Transplantação, I.P.;38.7567758, -9.1505021;Com perda do vencimento;0
2017-04;Região de Saúde LVT;Instituto Português do Sangue e da Transplantação, I.P.;38.7567758, -9.1505021;Cumprimento de pena disciplinar;0
2017-04;Região de Saúde LVT;Secretaria-Geral do Ministério da Saúde;38.7362218, -9.1463126;Casamento;0
2017-04;Região de Saúde LVT;Secretaria-Geral do Ministério da Saúde;38.7362218, -9.1463126;Doença;141
2017-04;Região de Saúde LVT;Secretaria-Geral do Ministério da Saúde;38.7362218, -9.1463126;Com perda do vencimento;0
2017-04;Região de Saúde LVT;Secretaria-Geral do Ministério da Saúde;38.7362218, -9.1463126;Cumprimento de pena disciplinar;0
2017-04;Região de Saúde LVT;Serviços Partilhados do Ministério da Saúde, E.P.E.;38.739767, -9.1489431;Casamento;0
2017-04;Região de Saúde LVT;Serviços Partilhados do Ministério da Saúde, E.P.E.;38.739767, -9.1489431;Por acidente em serviço ou doença profissional;3
2017-04;Região de Saúde LVT;Serviços Partilhados do Ministério da Saúde, E.P.E.;38.739767, -9.1489431;Trabalhador-estudante;70
2017-04;Região de Saúde LVT;Serviço de Intervenção Comportamentos Aditivos e Dependências;38.7653399, -9.1611815;Protecção na parentalidade;70
2017-04;Região de Saúde LVT;Serviço de Intervenção Comportamentos Aditivos e Dependências;38.7653399, -9.1611815;Doença;524
2017-04;Região de Saúde LVT;Serviço de Intervenção Comportamentos Aditivos e Dependências;38.7653399, -9.1611815;Com perda do vencimento;3
2017-04;Região de Saúde LVT;Serviço de Intervenção Comportamentos Aditivos e Dependências;38.7653399, -9.1611815;Cumprimento de pena disciplinar;0
2017-04;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, E.P.E.;41.3031784, -7.7515252;Falecimento de familiar;264
2017-04;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, E.P.E.;41.3031784, -7.7515252;Por conta do período de férias;127
2017-04;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, E.P.E.;41.3828711, -8.7589945;Protecção na parentalidade;1717
2017-04;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, E.P.E.;41.3828711, -8.7589945;Por conta do período de férias;43
2017-04;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, E.P.E.;41.3828711, -8.7589945;Cumprimento de pena disciplinar;0
2017-04;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, E.P.E.;41.1094138, -8.5972617;Greve;159
2017-04;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, E.P.E.;41.1094138, -8.5972617;Injustificadas;3
2017-04;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, E.P.E.;40.9293884, -8.5458794;Protecção na parentalidade;5286
2017-04;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, E.P.E.;40.9293884, -8.5458794;Cumprimento de pena disciplinar;20
2017-04;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, E.P.E.;40.9293884, -8.5458794;Greve;39
2017-04;Região de Saúde Norte;Centro Hospitalar Universitário de São João, E.P.E.;41.1831056, -8.6010558;Doença;28469
2017-04;Região de Saúde Norte;Centro Hospitalar Universitário de São João, E.P.E.;41.1831056, -8.6010558;Por acidente em serviço ou doença profissional;3143
2017-04;Região de Saúde Norte;Centro Hospitalar Universitário de São João, E.P.E.;41.1831056, -8.6010558;Assistência a familiares;585
2017-04;Região de Saúde Norte;Centro Hospitalar do Médio Ave, E.P.E.;41.3423984, -8.4802503;Doença;5816
2017-04;Região de Saúde Norte;Centro Hospitalar do Médio Ave, E.P.E.;41.3423984, -8.4802503;Com perda do vencimento;0
2017-04;Região de Saúde Norte;Centro Hospitalar do Médio Ave, E.P.E.;41.3423984, -8.4802503;Greve;48
2017-04;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, E.P.E.;41.1472498, -8.6172617;Casamento;7
2017-04;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, E.P.E.;41.1472498, -8.6172617;Por acidente em serviço ou doença profissional;762
2017-04;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, E.P.E.;41.1472498, -8.6172617;Trabalhador-estudante;283
