ano;trimestre;regiao;instituicao;cod_capitulo;desc_capitulo;taxa_internamento;dias_internamento;taxa_mortalidade
2020;Terceiro;Região de Saúde do Algarve;Unidade Local de Saúde do Algarve, E.P.E.;15;Gravidez, parto e puerpério;15.42;4082;0.0
2020;Terceiro;Região de Saúde do Algarve;Unidade Local de Saúde do Algarve, E.P.E.;19;Lesões, envenenamento e algumas outras consequências de causas externas;9.37;9677;3.59
2020;Terceiro;Região de Saúde do Centro;Instituto Português Oncologia  F. Gentil - Coimbra, E.P.E.;2;Neoplasias;70.58;7617;7.73
2020;Terceiro;Região de Saúde do Centro;Instituto Português Oncologia  F. Gentil - Coimbra, E.P.E.;10;Doenças do aparelho respiratório;1.69;106;0.0
2020;Terceiro;Região de Saúde do Centro;Unidade Local de Saúde da Cova da Beira, E.P.E.;1;Algumas doenças infecciosas e parasitárias;2.8;1015;9.68
2020;Terceiro;Região de Saúde do Centro;Unidade Local de Saúde da Cova da Beira, E.P.E.;9;Doenças do aparelho circulatório;14.76;3265;4.28
2020;Primeiro;Região de Saúde do Norte;Unidade Local de Saúde do Alto Ave, E.P.E.;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;1.17;1002;0.0
2020;Primeiro;Região de Saúde do Norte;Unidade Local de Saúde do Alto Ave, E.P.E.;21;Fatores que influenciam o estado de saúde e o contacto com os serviços de saúde;11.95;2861;1.47
2020;Primeiro;Região de Saúde do Norte;Unidade Local de Saúde do Alto Minho, E.P.E.;1;Algumas doenças infecciosas e parasitárias;2.96;1589;26.92
2020;Primeiro;Região de Saúde do Norte;Unidade Local de Saúde do Alto Minho, E.P.E.;9;Doenças do aparelho circulatório;10.13;4618;12.36
2020;Primeiro;Região de Saúde do Norte;Unidade Local de Saúde do Alto Minho, E.P.E.;16;Algumas condições originadas no período perinatal;0.34;145;0.0
2020;Primeiro;Região de Saúde do Norte;Unidade Local de Saúde do Alto Minho, E.P.E.;17;Malformações congénitas, deformações e anomalias cromossómicas;0.18;24;0.0
2020;Primeiro;Região de Saúde do Norte;Unidade Local de Saúde do Alto Minho, E.P.E.;22;Códigos para fins especiais;0.2;49;11.11
2020;Primeiro;Região de Saúde do Norte;Unidade Local de Saúde do Médio Ave, E.P.E.;4;Doenças endócrinas, nutricionais e metabólicas;1.11;294;3.7
2020;Quarto;Região de Saúde do Norte;Unidade Local de Saúde de Entre Douro e Vouga, E.P.E.;8;Doenças do ouvido e da apófise mastóide;0.5;44;0.0
2020;Quarto;Região de Saúde do Norte;Unidade Local de Saúde de Entre Douro e Vouga, E.P.E.;10;Doenças do aparelho respiratório;9.44;4264;14.56
2020;Quarto;Região de Saúde do Norte;Unidade Local de Saúde de Gaia / Espinho, E.P.E.;1;Algumas doenças infecciosas e parasitárias;2.32;1817;36.3
2020;Quarto;Região de Saúde do Norte;Unidade Local de Saúde de Gaia / Espinho, E.P.E.;10;Doenças do aparelho respiratório;7.55;3387;20.68
2020;Quarto;Região de Saúde do Norte;Unidade Local de Saúde de Gaia / Espinho, E.P.E.;12;Doenças da pele e do tecido subcutâneo;1.12;747;4.62
2020;Quarto;Região de Saúde do Norte;Unidade Local de Saúde de Gaia / Espinho, E.P.E.;14;Doenças do aparelho geniturinário;6.57;2759;5.74
2020;Quarto;Região de Saúde do Norte;Unidade Local de Saúde de Matosinhos, E.P.E.;2;Neoplasias;7.45;2574;11.58
2020;Quarto;Região de Saúde do Norte;Unidade Local de Saúde de Matosinhos, E.P.E.;3;Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários;0.47;168;11.11
2020;Segundo;Região de Saúde do Centro;Unidade Local de Saúde de Viseu Dão-Lafões, E.P.E.;2;Neoplasias;8.37;4267;15.14
2020;Segundo;Região de Saúde do Centro;Unidade Local de Saúde de Viseu Dão-Lafões, E.P.E.;3;Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários;0.69;202;6.9
2020;Segundo;Região de Saúde do Centro;Unidade Local de Saúde de Viseu Dão-Lafões, E.P.E.;4;Doenças endócrinas, nutricionais e metabólicas;2.34;1120;4.08
2020;Segundo;Região de Saúde do Centro;Unidade Local de Saúde de Viseu Dão-Lafões, E.P.E.;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;1.31;1902;0.0
2020;Segundo;Região de Saúde do Centro;Unidade Local de Saúde de Viseu Dão-Lafões, E.P.E.;10;Doenças do aparelho respiratório;9.44;4171;25.82
2020;Segundo;Região de Saúde do Centro;Unidade Local de Saúde de Viseu Dão-Lafões, E.P.E.;21;Fatores que influenciam o estado de saúde e o contacto com os serviços de saúde;12.43;2779;2.88
2020;Segundo;Região de Saúde do Centro;Unidade Local de Saúde do Baixo Mondego, E.P.E.;1;Algumas doenças infecciosas e parasitárias;4.52;528;30.61
