tempo;no_de_notificacoes_por_profissionais;no_de_notificacoes_por_cidadaos
2016-03;244;57
2019-06;697;35
2014-06;91;18
2016-12;280;4
2015-12;279;25
2014-12;;
2013-06;75;24
2018-12;481;12
2017-06;316;2
2017-12;288;8
2017-03;365;28
2019-09;682;26
2014-09;187;48
2014-03;;
2019-03;635;48
2019-12;500;28
2015-03;438;27
2018-03;475;32
2013-03;85;22
2013-12;53;18
2013-09;31;10
2016-06;341;15
2016-09;367;27
2018-06;503;16
2015-09;190;7
2017-09;266;7
2015-06;246;6
2018-09;495;19
