tempo;regiao;instituicao;localizacao_geografica;mortalidade_avc_hemorragico_30_dias;mortalidade_avc_isquemico_30_dias
2024-01;Região de Saúde LVT;Hospital de Cascais, PPP;38.730076, -9.418207;57.14;4.0
2024-01;Região de Saúde Norte;Instituto Português Oncologia  F. Gentil - Porto, E.P.E.;41.1811, -8.60469;0.0;
2024-01;Região de Saúde LVT;Unidade Local de Saúde da Lezíria, EPE;39.232503, -8.715083;0.0;7.69
2024-01;Região de Saúde Norte;Unidade Local de Saúde da Póvoa de Varzim/Vila do Conde, EPE;41.383183, -8.758784;20.0;0.0
2024-01;Região de Saúde do Centro;Unidade Local de Saúde da Região de Leiria, EPE;39.7418, -8.79444;37.5;10.91
2024-01;Região de Saúde LVT;Unidade Local de Saúde de Almada-Seixal, EPE;38.67381, -9.17597;30.43;17.5
2024-01;Região de Saúde LVT;Unidade Local de Saúde de Loures-Odivelas, EPE;38.821769, -9.176301;0.0;15.15
2024-01;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.181859, -8.663374;40.0;33.33
2024-01;Região de Saúde Norte;Unidade Local de Saúde de Vila Nova de Gaia/Espinho, EPE;41.1254463195801, -8.0;5.26;12.9
2024-01;Região de Saúde do Alentejo;Unidade Local de Saúde do Alto Alentejo, EPE;39.2999, -7.4267;0.0;21.43
2024-01;Região de Saúde LVT;Unidade Local de Saúde do Estuário do Tejo, EPE;38.977344, -8.984882;40.0;5.56
2024-01;Região de Saúde Norte;Unidade Local de Saúde do Médio Ave, EPE;41.3422317504883, -8.0;0.0;21.05
2024-01;Região de Saúde LVT;Unidade Local de Saúde do Médio Tejo, EPE;39.605565, -8.404399;71.43;13.79
2025-01;Região de Saúde do Centro;Instituto Português Oncologia  F. Gentil - Centro, E.P.E.;40.217, -8.40991;;
2025-01;Região de Saúde LVT;Unidade Local de Saúde da Lezíria, EPE;39.232503, -8.715083;0.0;0.0
2025-01;Região de Saúde Norte;Unidade Local de Saúde de Barcelos/Esposende, EPE;41.533438, -8.616604;25.0;0.0
